product,flow_sector,value
Animal waste,Supply,0.0
Other solid biofuels,Generation,-5.3923924577832
Vegetal waste,Consumption,0.0
Firewood,Other,0.0
Total,Other,0.0
Bagasse,Exports,0.0
Waste,Supply,0.0
Animal waste,Exports,0.0
Charcoal,Industry,0.0
Biogasoline,Other,0.0
Firewood,Production,14.425807792136
Biogasoline,Residential,0.0
Biogasoline,Others,-0.00019318618652054
Bagasse,Consumption,13.575769807208
Biogasoline,Consumption,2.0355994048174
Biodiesel,Imports,0.0
Biodiesel,Industry,0.0
Other solid biofuels,Commercial,0.0
Biogases,Commercial,0.0
Biogasoline,Exports,0.0
Biogasoline,Industry,0.0
Firewood,Generation,-3.4108660250334
Biodiesel,Generation,0.0
Biogases,Others,0.0
Other solid biofuels,Other,0.0
Total,Generation,-11.714085338499
Animal waste,Others,0.0
Firewood,Industry,5.6646950953545
Biodiesel,Exports,-42.87282796011
Total,Consumption,68.884303010302
Biodiesel,Others,-0.0085260350958904
Charcoal,Generation,0.0
Waste,Exports,0.0
Biodiesel,Consumption,11.665913235508
Firewood,Consumption,9.6968807025868
Biodiesel,Supply,15.192229381267
Bagasse,Others,-0.0032349507073972
Bagasse,Transport,0.0
Waste,Consumption,0.0
Bagasse,Production,13.968196672315
Biogases,Generation,0.0
Waste,Transport,0.0
Waste,Generation,0.0
Total,Imports,0.0
Biogasoline,Generation,0.0
Bagasse,Generation,-2.7383907556011
Vegetal waste,Production,0.0
Animal waste,Production,0.0
Vegetal waste,Imports,0.0
Firewood,Transport,0.0
Animal waste,Generation,0.0
Total,Production,81.078855883641
Biogasoline,Production,1.7755521602216
Biogases,Residential,0.0
Charcoal,Consumption,2.6255064534991
Biogases,Consumption,0.0
Biogases,Supply,0.0
Vegetal waste,Generation,0.0
Animal waste,Imports,0.0
Vegetal waste,Supply,0.0
Waste,Other,0.0
Biogases,Production,0.0
Biogasoline,Commercial,0.0
Biogasoline,Supply,1.660313555783
Total,Commercial,0.37426266680548
Animal waste,Commercial,0.0
Vegetal waste,Commercial,0.0
Biodiesel,Other,0.0
Firewood,Commercial,0.1671818969589
Other solid biofuels,Transport,0.0
Biogases,Transport,0.0
Other solid biofuels,Exports,0.0
Biodiesel,Production,39.250025127848
Other solid biofuels,Industry,0.0
Other solid biofuels,Imports,0.0
Firewood,Imports,0.0
Vegetal waste,Exports,0.0
Total,Supply,58.559047680822
Biodiesel,Transport,13.14870187066
Vegetal waste,Others,0.0
Biogases,Other,0.0
Total,Others,-3.0012762115617
Animal waste,Consumption,0.0
Vegetal waste,Residential,0.0
Animal waste,Transport,0.0
Biogases,Imports,0.0
Biogases,Industry,0.0
Charcoal,Imports,0.0
Waste,Residential,0.0
Other solid biofuels,Production,9.8186028606178
Total,Residential,5.0444047435808
Bagasse,Residential,0.0
Vegetal waste,Industry,0.0
Waste,Others,0.0
Charcoal,Supply,3.0301851568093
Waste,Imports,0.0
Biogasoline,Imports,0.0
Bagasse,Imports,0.0
Charcoal,Others,-0.00092674294520548
Bagasse,Industry,6.0711517150248
Biogases,Exports,0.0
Biodiesel,Residential,0.0
Animal waste,Industry,0.0
Total,Exports,-21.492237974795
Biogasoline,Transport,1.8502971832276
Charcoal,Commercial,0.49864225176986
Bagasse,Supply,22.699808104519
Firewood,Exports,0.0
Vegetal waste,Transport,0.0
Firewood,Others,-4.4237374795297
Charcoal,Production,3.898483827474
Total,Transport,18.807562762127
Other solid biofuels,Residential,0.0
Firewood,Supply,15.657445155522
Bagasse,Other,0.0
Waste,Commercial,0.0
Waste,Production,0.0
Total,Industry,24.77605120925
Vegetal waste,Other,0.0
Bagasse,Commercial,0.0
Animal waste,Other,0.0
Charcoal,Exports,0.0
Animal waste,Residential,0.0
Other solid biofuels,Supply,12.243048685922
Other solid biofuels,Consumption,2.5777479279452
Firewood,Residential,3.1220270316159
Waste,Industry,0.0
Charcoal,Other,0.0
Charcoal,Residential,2.8068435648308
Other solid biofuels,Others,-0.0013789935024658
Charcoal,Transport,0.0
Biodiesel,Commercial,0.0
,,
,,
