product,flow_sector,value
Animal waste,Supply,0.0
Other solid biofuels,Generation,0.0
Vegetal waste,Consumption,0.51219758663014
Firewood,Other,0.0
Total,Other,0.0
Bagasse,Exports,0.0
Waste,Supply,0.0
Animal waste,Exports,0.0
Charcoal,Industry,0.0
Biogasoline,Other,0.0
Firewood,Production,3.0451843011489
Biogasoline,Residential,0.0
Biogasoline,Others,0.0
Bagasse,Consumption,1.4616805795279
Biogasoline,Consumption,0.0
Biodiesel,Imports,0.0
Biodiesel,Industry,0.0
Other solid biofuels,Commercial,0.0
Biogases,Commercial,0.0
Biogasoline,Exports,0.0
Biogasoline,Industry,0.0
Firewood,Generation,0.0
Biodiesel,Generation,0.0
Biogases,Others,0.0
Other solid biofuels,Other,0.0
Total,Generation,-0.1489142276
Animal waste,Others,0.0
Firewood,Industry,0.0
Biodiesel,Exports,0.0
Total,Consumption,6.6883554969863
Biodiesel,Others,0.0
Charcoal,Generation,0.0
Waste,Exports,0.0
Biodiesel,Consumption,0.0
Firewood,Consumption,3.8702787846968
Biodiesel,Supply,0.0
Bagasse,Others,0.0014688917552877
Bagasse,Transport,0.0
Waste,Consumption,0.0
Bagasse,Production,0.89047711753425
Biogases,Generation,0.0
Waste,Transport,0.0
Waste,Generation,0.0
Total,Imports,0.0
Biogasoline,Generation,0.0
Bagasse,Generation,-0.014568405123287
Vegetal waste,Production,0.62608169161479
Animal waste,Production,0.0
Vegetal waste,Imports,0.0
Firewood,Transport,0.0
Animal waste,Generation,0.0
Total,Production,4.0117044533918
Biogasoline,Production,0.0
Biogases,Residential,0.0
Charcoal,Consumption,0.087712405794
Biogases,Consumption,0.0
Biogases,Supply,0.0
Vegetal waste,Generation,-0.11652441958356
Animal waste,Imports,0.0
Vegetal waste,Supply,0.436957255944
Waste,Other,0.0
Biogases,Production,0.0
Biogasoline,Commercial,0.0
Biogasoline,Supply,0.0
Total,Commercial,0.0
Animal waste,Commercial,0.0
Vegetal waste,Commercial,0.0
Biodiesel,Other,0.0
Firewood,Commercial,0.0
Other solid biofuels,Transport,0.0
Biogases,Transport,0.0
Other solid biofuels,Exports,0.0
Biodiesel,Production,0.0
Other solid biofuels,Industry,0.0
Other solid biofuels,Imports,0.0
Firewood,Imports,0.0
Vegetal waste,Exports,0.0
Total,Supply,5.4268472505863
Biodiesel,Transport,0.0
Vegetal waste,Others,0.0005650357610959
Biogases,Other,0.0
Total,Others,-0.15023787297535
Animal waste,Consumption,0.0
Vegetal waste,Residential,0.0
Animal waste,Transport,0.0
Biogases,Imports,0.0
Biogases,Industry,0.0
Charcoal,Imports,0.0
Waste,Residential,0.0
Other solid biofuels,Production,0.0
Total,Residential,3.3643114551123
Bagasse,Residential,0.0
Vegetal waste,Industry,0.28870870633052
Waste,Others,0.0
Charcoal,Supply,0.12714051200219
Waste,Imports,0.0
Biogasoline,Imports,0.0
Bagasse,Imports,0.0
Charcoal,Others,8.3387043945206E-5
Bagasse,Industry,1.1560299530242
Biogases,Exports,0.0
Biodiesel,Residential,0.0
Animal waste,Industry,0.0
Total,Exports,0.0
Biogasoline,Transport,0.0
Charcoal,Commercial,0.0
Bagasse,Supply,1.0731359279315
Firewood,Exports,0.0
Vegetal waste,Transport,0.0
Firewood,Others,-0.11031963635638
Charcoal,Production,0.081289924297999
Total,Transport,0.0
Other solid biofuels,Residential,0.0
Firewood,Supply,2.3188997031209
Bagasse,Other,0.0
Waste,Commercial,0.0
Waste,Production,0.0
Total,Industry,1.1846210849753
Vegetal waste,Other,0.0
Bagasse,Commercial,0.0
Animal waste,Other,0.0
Charcoal,Exports,0.0
Animal waste,Residential,0.0
Other solid biofuels,Supply,0.0
Other solid biofuels,Consumption,0.0
Firewood,Residential,3.2903319637307
Waste,Industry,0.0
Charcoal,Other,0.0
Charcoal,Residential,0.12846733703112
Other solid biofuels,Others,0.0
Charcoal,Transport,0.0
Biodiesel,Commercial,0.0
,,
,,
