product,flow_sector,value
Animal waste,Supply,0.0
Other solid biofuels,Generation,-10.633428201995
Vegetal waste,Consumption,0.0
Firewood,Other,0.0
Total,Other,0.0
Bagasse,Exports,0.0
Waste,Supply,0.0
Animal waste,Exports,0.0
Charcoal,Industry,102.27737964492
Biogasoline,Other,0.0
Firewood,Production,420.95790943504
Biogasoline,Residential,0.0
Biogasoline,Others,0.0
Bagasse,Consumption,157.89185522286
Biogasoline,Consumption,102.14779516649
Biodiesel,Imports,0.0
Biodiesel,Industry,0.0
Other solid biofuels,Commercial,0.0
Biogases,Commercial,0.0
Biogasoline,Exports,-2.5431124368658
Biogasoline,Industry,0.0
Firewood,Generation,-2.0958641093786
Biodiesel,Generation,0.0
Biogases,Others,0.0
Other solid biofuels,Other,0.0
Total,Generation,-27.54674334937
Animal waste,Others,0.0
Firewood,Industry,70.192964492022
Biodiesel,Exports,0.0
Total,Consumption,430.3591441296
Biodiesel,Others,0.0
Charcoal,Generation,0.0
Waste,Exports,0.0
Biodiesel,Consumption,0.0
Firewood,Consumption,241.13201004718
Biodiesel,Supply,0.0
Bagasse,Others,-21.618141797151
Bagasse,Transport,0.0
Waste,Consumption,0.0
Bagasse,Production,180.1525636096
Biogases,Generation,0.0
Waste,Transport,0.0
Waste,Generation,0.0
Total,Imports,23.012749236822
Biogasoline,Generation,0.0
Bagasse,Generation,-3.5383117611275
Vegetal waste,Production,0.0
Animal waste,Production,0.0
Vegetal waste,Imports,0.0
Firewood,Transport,0.0
Animal waste,Generation,0.0
Total,Production,867.64628998093
Biogasoline,Production,71.840145472
Biogases,Residential,0.0
Charcoal,Consumption,158.67726462036
Biogases,Consumption,0.0
Biogases,Supply,0.0
Vegetal waste,Generation,0.0
Animal waste,Imports,0.0
Vegetal waste,Supply,0.0
Waste,Other,0.0
Biogases,Production,0.0
Biogasoline,Commercial,0.0
Biogasoline,Supply,95.770229062833
Total,Commercial,2.976041371178
Animal waste,Commercial,0.0
Vegetal waste,Commercial,0.0
Biodiesel,Other,0.0
Firewood,Commercial,2.0395414103573
Other solid biofuels,Transport,0.0
Biogases,Transport,0.0
Other solid biofuels,Exports,0.0
Biodiesel,Production,0.0
Other solid biofuels,Industry,16.376923933808
Other solid biofuels,Imports,0.0
Firewood,Imports,0.0
Vegetal waste,Exports,0.0
Total,Supply,813.62217191345
Biodiesel,Transport,0.0
Vegetal waste,Others,0.0
Biogases,Other,0.0
Total,Others,-290.19751801348
Animal waste,Consumption,0.0
Vegetal waste,Residential,0.0
Animal waste,Transport,0.0
Biogases,Imports,0.0
Biogases,Industry,0.0
Charcoal,Imports,0.0
Waste,Residential,0.0
Other solid biofuels,Production,158.83551669884
Total,Residential,138.26340408299
Bagasse,Residential,0.0
Vegetal waste,Industry,0.0
Waste,Others,0.0
Charcoal,Supply,137.78115274585
Waste,Imports,0.0
Biogasoline,Imports,22.873278029326
Bagasse,Imports,0.0
Charcoal,Others,-3.5563611140876
Bagasse,Industry,166.36434000995
Biogases,Exports,0.0
Biodiesel,Residential,0.0
Animal waste,Industry,0.0
Total,Exports,-3.3554257720603
Biogasoline,Transport,172.91476297775
Charcoal,Commercial,0.94597533221129
Bagasse,Supply,148.87025799056
Firewood,Exports,0.0
Vegetal waste,Transport,0.0
Firewood,Others,-75.323067018871
Charcoal,Production,105.01681741548
Total,Transport,94.062428934654
Other solid biofuels,Residential,0.0
Firewood,Supply,478.58657425028
Bagasse,Other,0.0
Waste,Commercial,0.0
Waste,Production,0.0
Total,Industry,306.03113201701
Vegetal waste,Other,0.0
Bagasse,Commercial,0.0
Animal waste,Other,0.0
Charcoal,Exports,0.0
Animal waste,Residential,0.0
Other solid biofuels,Supply,92.853571109333
Other solid biofuels,Consumption,11.317624218543
Firewood,Residential,88.813904269781
Waste,Industry,0.0
Charcoal,Other,0.0
Charcoal,Residential,15.555288857838
Other solid biofuels,Others,-98.280822593232
Charcoal,Transport,0.0
Biodiesel,Commercial,0.0
,,
,,
