product,flow_sector,value
Animal waste,Supply,0.0
Other solid biofuels,Generation,0.0
Vegetal waste,Consumption,4.064684976819
Firewood,Other,0.0
Total,Other,0.4470014739726
Bagasse,Exports,0.0
Waste,Supply,0.0
Animal waste,Exports,0.0
Charcoal,Industry,0.17925329553009
Biogasoline,Other,0.0
Firewood,Production,23.195840312738
Biogasoline,Residential,0.0
Biogasoline,Others,0.0
Bagasse,Consumption,10.552370094549
Biogasoline,Consumption,0.0
Biodiesel,Imports,0.0
Biodiesel,Industry,0.0
Other solid biofuels,Commercial,0.0
Biogases,Commercial,0.0
Biogasoline,Exports,0.0
Biogasoline,Industry,0.0
Firewood,Generation,0.0
Biodiesel,Generation,0.0
Biogases,Others,0.0
Other solid biofuels,Other,0.0
Total,Generation,-2.4845906245808
Animal waste,Others,0.0
Firewood,Industry,0.16205454098667
Biodiesel,Exports,0.0
Total,Consumption,55.57019546983
Biodiesel,Others,0.0
Charcoal,Generation,0.0
Waste,Exports,0.0
Biodiesel,Consumption,0.0
Firewood,Consumption,42.122879995486
Biodiesel,Supply,0.0
Bagasse,Others,0.00020040420821918
Bagasse,Transport,0.0
Waste,Consumption,0.0
Bagasse,Production,17.555708170875
Biogases,Generation,0.0
Waste,Transport,0.0
Waste,Generation,0.0
Total,Imports,0.0
Biogasoline,Generation,0.0
Bagasse,Generation,-1.7290850321398
Vegetal waste,Production,5.6776529324264
Animal waste,Production,0.0
Vegetal waste,Imports,0.0
Firewood,Transport,0.0
Animal waste,Generation,0.0
Total,Production,89.224164363274
Biogasoline,Production,0.0
Biogases,Residential,0.0
Charcoal,Consumption,1.9103305553184
Biogases,Consumption,0.0
Biogases,Supply,0.0
Vegetal waste,Generation,-0.38174261036992
Animal waste,Imports,0.0
Vegetal waste,Supply,3.416297149084
Waste,Other,0.0
Biogases,Production,0.0
Biogasoline,Commercial,0.0
Biogasoline,Supply,0.0
Total,Commercial,0.0
Animal waste,Commercial,0.0
Vegetal waste,Commercial,0.0
Biodiesel,Other,0.0
Firewood,Commercial,0.0
Other solid biofuels,Transport,0.0
Biogases,Transport,0.0
Other solid biofuels,Exports,0.0
Biodiesel,Production,0.0
Other solid biofuels,Industry,0.0
Other solid biofuels,Imports,0.0
Firewood,Imports,0.0
Vegetal waste,Exports,0.0
Total,Supply,50.7464745844
Biodiesel,Transport,0.0
Vegetal waste,Others,4.3425731506849E-5
Biogases,Other,0.0
Total,Others,-1.4888023085918
Animal waste,Consumption,0.0
Vegetal waste,Residential,0.0
Animal waste,Transport,0.0
Biogases,Imports,0.0
Biogases,Industry,0.0
Charcoal,Imports,0.0
Waste,Residential,0.0
Other solid biofuels,Production,0.0
Total,Residential,27.618085656986
Bagasse,Residential,0.0
Vegetal waste,Industry,2.444385258553
Waste,Others,0.0
Charcoal,Supply,1.1004592957764
Waste,Imports,0.0
Biogasoline,Imports,0.0
Bagasse,Imports,0.0
Charcoal,Others,7.5141456657535E-5
Bagasse,Industry,9.4097298225366
Biogases,Exports,0.0
Biodiesel,Residential,0.0
Animal waste,Industry,0.0
Total,Exports,0.0
Biogasoline,Transport,0.0
Charcoal,Commercial,0.0
Bagasse,Supply,34.472415469629
Firewood,Exports,0.0
Vegetal waste,Transport,0.0
Firewood,Others,-2.1500649626546
Charcoal,Production,2.0413000852079
Total,Transport,0.0
Other solid biofuels,Residential,0.0
Firewood,Supply,49.861163584373
Bagasse,Other,0.48307259488516
Waste,Commercial,0.0
Waste,Production,0.0
Total,Industry,12.992852847079
Vegetal waste,Other,0.004517761374092
Bagasse,Commercial,0.0
Animal waste,Other,0.0
Charcoal,Exports,0.0
Animal waste,Residential,0.0
Other solid biofuels,Supply,0.0
Other solid biofuels,Consumption,0.0
Firewood,Residential,49.437869305645
Waste,Industry,0.0
Charcoal,Other,0.0
Charcoal,Residential,0.91024607311148
Other solid biofuels,Others,0.0
Charcoal,Transport,0.0
Biodiesel,Commercial,0.0
,,
,,
