product,flow_sector,value
Animal waste,Supply,0.0
Other solid biofuels,Generation,0.0
Vegetal waste,Consumption,2.3064014482252
Firewood,Other,0.0
Total,Other,0.0
Bagasse,Exports,0.0
Waste,Supply,0.0
Animal waste,Exports,0.0
Charcoal,Industry,0.0
Biogasoline,Other,0.0
Firewood,Production,6.1866044259681
Biogasoline,Residential,0.0
Biogasoline,Others,0.0
Bagasse,Consumption,2.9547394754301
Biogasoline,Consumption,0.0
Biodiesel,Imports,0.0
Biodiesel,Industry,0.0
Other solid biofuels,Commercial,0.0
Biogases,Commercial,0.0
Biogasoline,Exports,0.0
Biogasoline,Industry,0.0
Firewood,Generation,0.0
Biodiesel,Generation,0.0
Biogases,Others,-7.3018849315069E-8
Other solid biofuels,Other,0.0
Total,Generation,-1.3012515325068
Animal waste,Others,0.0
Firewood,Industry,4.4338303641996
Biodiesel,Exports,0.0
Total,Consumption,13.653382048811
Biodiesel,Others,0.0
Charcoal,Generation,0.0
Waste,Exports,0.0
Biodiesel,Consumption,0.0
Firewood,Consumption,9.0529041981441
Biodiesel,Supply,0.0
Bagasse,Others,-0.00013681245383014
Bagasse,Transport,0.0
Waste,Consumption,0.0
Bagasse,Production,3.1775584934338
Biogases,Generation,-0.10880186060517
Waste,Transport,0.0
Waste,Generation,0.0
Total,Imports,0.0
Biogasoline,Generation,0.0
Bagasse,Generation,-0.42193200682357
Vegetal waste,Production,3.5095339247742
Animal waste,Production,0.0
Vegetal waste,Imports,0.0
Firewood,Transport,0.0
Animal waste,Generation,0.0
Total,Production,19.314084109216
Biogasoline,Production,0.0
Biogases,Residential,0.0
Charcoal,Consumption,0.047617365273436
Biogases,Consumption,0.0
Biogases,Supply,0.12736560701619
Vegetal waste,Generation,-0.46236139972735
Animal waste,Imports,0.0
Vegetal waste,Supply,2.6423941279933
Waste,Other,0.0
Biogases,Production,0.10276088747897
Biogasoline,Commercial,0.0
Biogasoline,Supply,0.0
Total,Commercial,0.34042737475616
Animal waste,Commercial,0.0
Vegetal waste,Commercial,0.0
Biodiesel,Other,0.0
Firewood,Commercial,0.45376978310137
Other solid biofuels,Transport,0.0
Biogases,Transport,0.0
Other solid biofuels,Exports,0.0
Biodiesel,Production,0.0
Other solid biofuels,Industry,0.0
Other solid biofuels,Imports,0.0
Firewood,Imports,0.0
Vegetal waste,Exports,0.0
Total,Supply,12.487554380959
Biodiesel,Transport,0.0
Vegetal waste,Others,-4.3665850257534E-5
Biogases,Other,0.0
Total,Others,-0.063887950652055
Animal waste,Consumption,0.0
Vegetal waste,Residential,0.0
Animal waste,Transport,0.0
Biogases,Imports,0.0
Biogases,Industry,0.0
Charcoal,Imports,0.0
Waste,Residential,0.0
Other solid biofuels,Production,0.0
Total,Residential,3.8873424965754
Bagasse,Residential,0.0
Vegetal waste,Industry,2.2990145995366
Waste,Others,0.0
Charcoal,Supply,0.0435898898258
Waste,Imports,0.0
Biogasoline,Imports,0.0
Bagasse,Imports,0.0
Charcoal,Others,-1.7489821808219E-6
Bagasse,Industry,3.6478265128767
Biogases,Exports,0.0
Biodiesel,Residential,0.0
Animal waste,Industry,0.0
Total,Exports,0.0
Biogasoline,Transport,0.0
Charcoal,Commercial,0.0
Bagasse,Supply,4.1304207406358
Firewood,Exports,0.0
Vegetal waste,Transport,0.0
Firewood,Others,-0.066283599763529
Charcoal,Production,0.0270583499769
Total,Transport,0.0
Other solid biofuels,Residential,0.0
Firewood,Supply,4.6267340792496
Bagasse,Other,0.0
Waste,Commercial,0.0
Waste,Production,0.0
Total,Industry,4.598238008
Vegetal waste,Other,0.0
Bagasse,Commercial,0.0
Animal waste,Other,0.0
Charcoal,Exports,0.0
Animal waste,Residential,0.0
Other solid biofuels,Supply,0.0
Other solid biofuels,Consumption,0.0
Firewood,Residential,1.9827734433868
Waste,Industry,0.0
Charcoal,Other,0.0
Charcoal,Residential,0.039009610781699
Other solid biofuels,Others,0.0
Charcoal,Transport,0.0
Biodiesel,Commercial,0.0
,,
,,
