product,flow_sector,value
Animal waste,Supply,0.0
Other solid biofuels,Generation,0.0
Vegetal waste,Consumption,0.30273742166795
Firewood,Other,4.4920227300764
Total,Other,6.6148213787945
Bagasse,Exports,0.0
Waste,Supply,0.0
Animal waste,Exports,0.0
Charcoal,Industry,0.0
Biogasoline,Other,0.0
Firewood,Production,16.081316318152
Biogasoline,Residential,0.30512240184353
Biogasoline,Others,0.0086279876582219
Bagasse,Consumption,15.31346026902
Biogasoline,Consumption,0.28809619081454
Biodiesel,Imports,0.0
Biodiesel,Industry,0.0
Other solid biofuels,Commercial,0.0
Biogases,Commercial,0.0
Biogasoline,Exports,0.0
Biogasoline,Industry,0.0
Firewood,Generation,0.0
Biodiesel,Generation,0.0
Biogases,Others,0.0
Other solid biofuels,Other,0.0
Total,Generation,-7.0602568354192
Animal waste,Others,0.0
Firewood,Industry,0.246179106986
Biodiesel,Exports,0.0
Total,Consumption,53.126871837534
Biodiesel,Others,0.0
Charcoal,Generation,0.0
Waste,Exports,0.0
Biodiesel,Consumption,0.0
Firewood,Consumption,11.727325966456
Biodiesel,Supply,0.0
Bagasse,Others,1.5673426140033
Bagasse,Transport,0.0
Waste,Consumption,0.0
Bagasse,Production,19.953719882818
Biogases,Generation,0.0
Waste,Transport,0.0
Waste,Generation,0.0
Total,Imports,0.0
Biogasoline,Generation,0.0
Bagasse,Generation,-8.4174153121589
Vegetal waste,Production,0.37648998739513
Animal waste,Production,0.0
Vegetal waste,Imports,0.0
Firewood,Transport,0.0
Animal waste,Generation,0.0
Total,Production,46.232212476397
Biogasoline,Production,0.18109461247962
Biogases,Residential,0.0
Charcoal,Consumption,9.2284199470167
Biogases,Consumption,0.0
Biogases,Supply,0.0
Vegetal waste,Generation,0.0
Animal waste,Imports,0.0
Vegetal waste,Supply,0.52218498022945
Waste,Other,0.0
Biogases,Production,0.0
Biogasoline,Commercial,0.0
Biogasoline,Supply,0.22916922276668
Total,Commercial,0.4364408919452
Animal waste,Commercial,0.0
Vegetal waste,Commercial,0.0
Biodiesel,Other,0.0
Firewood,Commercial,0.55364759676493
Other solid biofuels,Transport,0.0
Biogases,Transport,0.0
Other solid biofuels,Exports,0.0
Biodiesel,Production,0.0
Other solid biofuels,Industry,0.0
Other solid biofuels,Imports,0.0
Firewood,Imports,0.0
Vegetal waste,Exports,0.0
Total,Supply,27.881447934066
Biodiesel,Transport,0.0
Vegetal waste,Others,0.024595913804384
Biogases,Other,0.0
Total,Others,1.3084453732383
Animal waste,Consumption,0.0
Vegetal waste,Residential,0.0
Animal waste,Transport,0.0
Biogases,Imports,0.0
Biogases,Industry,0.0
Charcoal,Imports,0.0
Waste,Residential,0.0
Other solid biofuels,Production,0.0
Total,Residential,11.161820236767
Bagasse,Residential,0.0
Vegetal waste,Industry,0.31676671681841
Waste,Others,0.0
Charcoal,Supply,7.1881681072187
Waste,Imports,0.0
Biogasoline,Imports,0.0
Bagasse,Imports,0.0
Charcoal,Others,0.026463723800055
Bagasse,Industry,10.842679867316
Biogases,Exports,0.0
Biodiesel,Residential,0.0
Animal waste,Industry,0.0
Total,Exports,0.0
Biogasoline,Transport,0.0
Charcoal,Commercial,0.017122110450411
Bagasse,Supply,25.621443157804
Firewood,Exports,0.0
Vegetal waste,Transport,0.0
Firewood,Others,-0.410906189656
Charcoal,Production,7.8049746114686
Total,Transport,0.0
Other solid biofuels,Residential,0.0
Firewood,Supply,8.3966052816818
Bagasse,Other,0.0
Waste,Commercial,0.0
Waste,Production,0.0
Total,Industry,13.811390637534
Vegetal waste,Other,0.0
Bagasse,Commercial,0.0
Animal waste,Other,0.0
Charcoal,Exports,0.0
Animal waste,Residential,0.0
Other solid biofuels,Supply,0.0
Other solid biofuels,Consumption,0.0
Firewood,Residential,5.094871095323
Waste,Industry,0.0
Charcoal,Other,0.16939086969501
Charcoal,Residential,6.1051352352925
Other solid biofuels,Others,0.0
Charcoal,Transport,0.0
Biodiesel,Commercial,0.0
,,
,,
