product,flow_sector,value
Animal waste,Supply,0.0
Other solid biofuels,Generation,0.0
Vegetal waste,Consumption,7.711931357308
Firewood,Other,0.0
Total,Other,0.0
Bagasse,Exports,0.0
Waste,Supply,0.0
Animal waste,Exports,0.0
Charcoal,Industry,0.49138393957151
Biogasoline,Other,0.0
Firewood,Production,46.544609992404
Biogasoline,Residential,0.0
Biogasoline,Others,1.3127776964382E-5
Bagasse,Consumption,0.92763699811791
Biogasoline,Consumption,1.4656910234301
Biodiesel,Imports,0.0
Biodiesel,Industry,0.0
Other solid biofuels,Commercial,0.0
Biogases,Commercial,0.0
Biogasoline,Exports,0.0
Biogasoline,Industry,0.0
Firewood,Generation,0.0
Biodiesel,Generation,0.0
Biogases,Others,0.0
Other solid biofuels,Other,0.0
Total,Generation,0.0
Animal waste,Others,0.0
Firewood,Industry,7.4301512987349
Biodiesel,Exports,0.0
Total,Consumption,59.57742928995
Biodiesel,Others,0.0
Charcoal,Generation,0.0
Waste,Exports,0.0
Biodiesel,Consumption,0.0
Firewood,Consumption,21.357038841706
Biodiesel,Supply,0.0
Bagasse,Others,0.00024701674257534
Bagasse,Transport,0.0
Waste,Consumption,0.0
Bagasse,Production,0.63314858371883
Biogases,Generation,0.0
Waste,Transport,0.0
Waste,Generation,0.0
Total,Imports,0.0
Biogasoline,Generation,0.0
Bagasse,Generation,0.0
Vegetal waste,Production,5.9667783977254
Animal waste,Production,0.0
Vegetal waste,Imports,0.0
Firewood,Transport,0.0
Animal waste,Generation,0.0
Total,Production,37.537753859868
Biogasoline,Production,1.3221361881553
Biogases,Residential,0.0
Charcoal,Consumption,0.58688776750394
Biogases,Consumption,0.0
Biogases,Supply,0.0
Vegetal waste,Generation,0.0
Animal waste,Imports,0.0
Vegetal waste,Supply,7.7879637721315
Waste,Other,0.0
Biogases,Production,0.0
Biogasoline,Commercial,0.0
Biogasoline,Supply,1.2636345869095
Total,Commercial,0.063979874876713
Animal waste,Commercial,0.0
Vegetal waste,Commercial,0.0
Biodiesel,Other,0.0
Firewood,Commercial,0.088993942086575
Other solid biofuels,Transport,0.0
Biogases,Transport,0.0
Other solid biofuels,Exports,0.0
Biodiesel,Production,0.0
Other solid biofuels,Industry,0.0
Other solid biofuels,Imports,0.0
Firewood,Imports,0.0
Vegetal waste,Exports,0.0
Total,Supply,61.598911502575
Biodiesel,Transport,0.0
Vegetal waste,Others,0.002420710610411
Biogases,Other,0.0
Total,Others,-2.8944183871233
Animal waste,Consumption,0.0
Vegetal waste,Residential,0.0
Animal waste,Transport,0.0
Biogases,Imports,0.0
Biogases,Industry,0.0
Charcoal,Imports,0.0
Waste,Residential,0.0
Other solid biofuels,Production,0.0
Total,Residential,20.616958674422
Bagasse,Residential,0.0
Vegetal waste,Industry,7.8301831021151
Waste,Others,0.0
Charcoal,Supply,0.4674550855691
Waste,Imports,0.0
Biogasoline,Imports,0.0
Bagasse,Imports,0.0
Charcoal,Others,0.0060173489016987
Bagasse,Industry,1.1247232394637
Biogases,Exports,0.0
Biodiesel,Residential,0.0
Animal waste,Industry,0.0
Total,Exports,-3.3999430871672
Biogasoline,Transport,1.4382949295342
Charcoal,Commercial,0.0012632313948493
Bagasse,Supply,0.98140693002
Firewood,Exports,0.0
Vegetal waste,Transport,0.0
Firewood,Others,-2.5563481549683
Charcoal,Production,5.0147898271399
Total,Transport,1.0159384819726
Other solid biofuels,Residential,0.0
Firewood,Supply,27.027751212211
Bagasse,Other,0.0
Waste,Commercial,0.0
Waste,Production,0.0
Total,Industry,17.921975212466
Vegetal waste,Other,0.0
Bagasse,Commercial,0.0
Animal waste,Other,0.0
Charcoal,Exports,-2.8797137002301
Animal waste,Residential,0.0
Other solid biofuels,Supply,0.0
Other solid biofuels,Consumption,0.0
Firewood,Residential,27.052749763453
Waste,Industry,0.0
Charcoal,Other,0.0
Charcoal,Residential,0.099824474012671
Other solid biofuels,Others,0.0
Charcoal,Transport,0.0
Biodiesel,Commercial,0.0
,,
,,
