gdp,country,population
73039632686,Brazil,102103413
126021334832,Canada,22195665
3963443173073,World,3854434293
308037499,Suriname,369345
1356898250000,USA,210830000
1332735948,Trinidad & Tobago,976188
1454549050,Panama,1630829
1377716374,Costa Rica,1971684
230688922016,France,53190832
616899999,Bahamas,179574
10302325122,Peru,14264324
160715352065,Italy,54579277
48251744272,Argentina,25001821
1429084638,Bolivia,4749842
20405418300,Norway,3945478
4107805617,Ecuador,6521914
1260819261468,Europe,443924662
8639161659,Israel,3218000
14187654073,Korea,33795881
9110869081,Cuba,9096670
1389509999,El Salvador,3909989
19731864477,Venezuela,12463808
,Slovenia,1758349
2454200000,Guatemala,5821650
122436614480,China,871356250
13537523057,Chile,10000147
42930604301,Belgium,9724604
347047955555,Germany,78726348
2230999975,Dominican Republic,4824989
76707436,Belize,128135
70225084750,Spain,34666448
63768108428,Netherlands,13376867
138940524135,Southern Cone,142555521
26537414650,Denmark,5005470
17911238121,Finland,4652109
1535826296044,North America,289419047
53223556491,Sweden,8129225
3262795354,Uruguay,2821464
,Croatia,4466750
327108283,Guyana,716786
,Switzerland,6280776
,Haiti,4919579
1923998131,Jamaica,1940680
870249975,Honduras,2888875
13262224975,Portugal,8665412
45365469817,Andean,61410219
8626585405,Central America,18813975
52906711211,Mexico,56393382
82383825552,India,586826110
251327024626,LAC,291834535
179187068167,United Kingdom,56101697
26092707542,Austria,7557459
9794389959,Colombia,23410329
848828762,Paraguay,2628675
361356776652,Japan,107781500
1080360005,Nicaragua,2590946
,Barbados,242249
