gdp,country,population
2460658440428,Brazil,202401584
1824288757447,Canada,34751476
73799410246296,World,7061227325
4980000000,Suriname,528535
16155255000000,USA,314102623
24580844842,Trinidad & Tobago,1341579
39954761200,Panama,3743761
45300669857,Costa Rica,4654148
2681416108537,France,65659790
8234470000,Bahamas,372388
192703386156,Peru,30158768
2072823111961,Italy,59539717
604378456915,Argentina,42095224
27084497539,Bolivia,10238762
509704856037,Norway,5018573
87924544000,Ecuador,15419493
17192897652757,Europe,500831017
259613579190,Israel,7910500
1222807195712,Korea,50004441
73139050000,Cuba,11342631
23813600000,El Salvador,6072233
381286237847,Venezuela,29854238
46240004973,Slovenia,2057159
50388460920,Guatemala,15368759
8461623162714,China,1350695000
265231582123,Chile,17388437
497815990388,Belgium,11128246
3539615377794,Germany,80425823
60595109805,Dominican Republic,10155036
1573618750,Belize,336707
1339946773437,Spain,46773055
828946812396,Netherlands,16754962
3406144918995,Southern Cone,271661160
325012162409,Denmark,5591572
256706466091,Finland,5413971
19166142081909,North America,470925062
543880647757,Sweden,9519374
51265399742,Uruguay,3396753
56485301967,Croatia,4267558
2851154075,Guyana,758410
665408300271,Switzerland,7996861
7890216507,Haiti,10288828
14746420946,Jamaica,2707805
18528601901,Honduras,7736131
216368178659,Portugal,10514844
1058658365919,Andean,132552279
188424935994,Central America,43452066
1186598324461,Mexico,122070963
1824960308640,India,1263589639
5947639137472,LAC,594229716
2630472981169,United Kingdom,63700300
407373026611,Austria,8429991
369659700375,Colombia,46881018
24611039786,Paraguay,6379162
5957250118648,Japan,127561489
10438842115,Nicaragua,5877034
4313000000,Barbados,281580
