gdp,period,population
568484766044,2005-2008,123119133
285418581703,1997,106376672
277852588599,2003,117047457
127971115632,1986,85245358
120163827781,1987,87182643
134420424819,1984,81416688
131466534175,1985,83322221
162402148410,1982,77666901
156777134469,1983,79531058
140610448715,1980,74006961
160663659421,1981,75825138
285798453125,1999-2002,112647968
130320451556,1988,89129827
122192130955,1989,91081986
252017774383,1996,104540253
715184782430,2014,135923171
925711778509,2011,130849486
918546460711,2010,129140427
1078992961588,2013,134245112
1058658365919,2012,132552279
45365469817,1971-1974,61410219
418083816911,2005,120525794
618232466560,2015,137582525
128505475601,1984-1987,84291727
149058441939,1991,94985656
133118633322,1990,93034511
172809307930,1993,98868410
166668992843,1992,96932579
250534128344,1995,102676704
210615255918,1994,100785045
117830094548,1979,72211784
97613968323,1978,70441461
90292816097,1977,68702153
78957046758,1976,67001684
71061591797,1975,65344560
63647609579,1974,63735264
45619323789,1973,62169551
37983578432,1972,60632510
34211367468,1971,59103551
281714042888,2002,115298498
261423530966,1999,109985332
294740731419,2000,111768419
305315507229,2001,113539626
492183672724,2006,122257765
604079664780,2007,123985035
341586500476,2004,118789213
280796204690,1998,108189681
759591909763,2008,125707940
764292660417,2009,127426555
