gdp,period,population
304144952328,2005-2008,39764001
292859000000,1997,35833965
127586251760,2003,38309475
110934442762,1986,30857242
111106191358,1987,31326473
79092001998,1984,29920907
88416668900,1985,30388781
84307486836,1982,28993989
103979106777,1983,29454739
76961923741,1980,28105889
78676842366,1981,28543366
233537003364,1999-2002,37266621
126206817196,1988,31795515
76636898036,1989,32263559
272149750000,1996,35419683
548054865646,2014,42980026
557890203658,2011,41655616
461640242696,2010,41222875
623932049499,2013,42538304
604378456915,2012,42095224
48251744272,1971-1974,25001821
220813784300,2005,39145491
,2015,43416755
97387326254,1984-1987,30623350
189719984268,1991,33193920
141352368714,1990,32729740
236741715015,1993,34110912
228788617201,1992,33655149
258031750000,1995,34994818
257440000000,1994,34558114
69252328953,1979,27684530
58082870156,1978,27277742
56781000100,1977,26878567
51169499890,1976,26477153
52438647921,1975,26066975
72436777342,1974,25644505
52544000116,1973,25213388
34733000536,1972,24782950
33293199095,1971,24366442
97724513456,2002,37889443
283523000000,1999,36648054
284203750000,2000,37057453
268696750000,2001,37471535
262666517346,2006,39558750
329317513142,2007,39969903
181873056796,2004,38728778
298948250000,1998,36241578
403781994527,2008,40381860
376627876887,2009,40798641
