gdp,period,population
8059363999,2005-2008,338972
4961119000,1997,286968
6949317000,2003,315757
2472500000,1986,239132
2713999900,1987,243391
2041100000,1984,230016
2320699900,1985,234684
1578300000,1982,220275
1732800000,1983,225185
1335300000,1980,210660
1426500000,1981,215404
6455542749,1999-2002,300942
2817900000,1988,247576
3062000000,1989,251855
3609000000,1996,283792
8510500000,2014,383054
7889750000,2011,366711
7909580000,2010,360830
8431750000,2013,377841
8234470000,2012,372388
616899999,1971-1974,179574
7706221999,2005,329243
8884441432,2015,388019
2387074950,1984-1987,236805
3111160000,1991,261117
3166000000,1990,256338
3092000000,1993,271165
3109000000,1992,266133
3429000000,1995,280151
3259000000,1994,275903
1139800100,1979,206038
832400000,1978,201511
713000000,1977,197118
642100000,1976,192905
596200000,1975,188882
632399999,1974,185097
670899999,1973,181489
590900000,1972,177844
573400000,1971,173867
6957996000,2002,309170
6019972000,1999,293572
6327551999,2000,297891
6516650999,2001,303138
7965588000,2006,335801
8318995999,2007,342259
7094413000,2004,322539
5353524000,1998,290054
8246649999,2008,348587
7820420000,2009,354780
