gdp,period,population
115539846757,2005-2008,39925105
61482499345,1997,33742137
81638276696,2003,37669936
29119699645,1986,26539946
30857203169,1987,27147143
29568826333,1984,25329877
30361575435,1985,25934465
25125752467,1982,24129245
27542526061,1983,24727773
25028815229,1980,22949967
24529065308,1981,23536148
73514462797,1999-2002,36048635
29857729529,1988,27760259
29400939900,1989,28385141
56153089855,1996,33072605
213666116582,2014,44723934
173870832668,2011,42816155
152552493969,2010,42177943
201666120196,2013,44087258
188424935994,2012,43452066
8626585405,1971-1974,18813975
96637751944,2005,38957363
225728140689,2015,45363563
29976826145,1984-1987,26237857
32622816332,1991,29682986
29538537852,1990,29025560
40893956749,1993,31036032
37213463856,1992,30354878
52302406447,1995,32398512
47110688020,1994,31719095
21205768698,1979,22370989
19386833964,1978,21799092
17590652545,1977,21234934
14365574760,1976,20679224
12149788094,1975,20132588
10793801201,1974,19595182
9071802440,1973,19067290
7618950348,1972,18549774
7021787634,1971,18043655
77922349722,2002,37025182
68936819007,1999,35067588
72887957551,2000,35724569
74310724910,2001,36377204
107081386566,2006,39602233
121231612336,2007,40247762
87940979681,2004,38313505
66916818993,1998,34406943
137208636183,2008,40893065
137339032908,2009,41536756
