gdp,period,population
56611065481,2005-2008,4438127
23822087053,1997,4572000
34658113497,2003,4440000
,1986,4722000
,1987,4740000
,1984,4680000
,1985,4701000
,1982,4635000
,1983,4659000
,1980,4588000
,1981,4608000
23832347434,1999-2002,4465000
,1988,4757000
,1989,4767000
23678012697,1996,4494000
57136241867,2014,4238389
62249565358,2011,4280622
59680624422,2010,4417781
57770884728,2013,4255689
56485301967,2012,4267558
,1971-1974,4466750
45416076680,2005,4442000
48732003674,2015,4224404
,1984-1987,4710750
,1991,4510000
,1990,4780000
,1993,4640000
,1992,4470000
22387561845,1995,4669000
,1994,4650000
,1979,4571000
,1978,4556000
,1977,4532000
,1976,4530000
,1975,4514000
,1974,4497000
,1973,4478000
,1972,4457000
,1971,4435000
26878499206,2002,4440000
23386945596,1999,4554000
21774273832,2000,4426000
23289671102,2001,4440000
50453577898,2006,4440000
60093155532,2007,4436000
41574530815,2004,4439000
25432144406,1998,4501000
70481451814,2008,4434508
62703095750,2009,4429078
