gdp,period,population
16529345561570,2005-2008,494560687
9156909852667,1997,480837098
11825002544338,2003,487812932
4190396037431,1986,467166308
5223388597029,1987,468490098
2956338610676,1984,464769808
3056012097382,1985,465886065
3177174963938,1982,462711238
3079604313248,1983,463760741
3730897534202,1980,459752783
3300943565057,1981,461473804
9216567364298,1999-2002,484140971
5826404148460,1988,469984457
5948088360416,1989,471588806
9711770839303,1996,480087653
18449681180837,2014,504106346
18259003517988,2011,501245959
16886378259421,2010,499994428
17928496371226,2013,503795199
17192897652757,2012,500831017
1260819261468,1971-1974,443924662
14288595362457,2005,491758867
16172031170080,2015,505443957
3856533835629,1984-1987,466578069
7812841672438,1991,474432970
7494614803485,1990,473208417
7762672111384,1993,477280881
8513523767073,1992,475872226
9503069593651,1995,479258331
8243127522619,1994,478351906
3251270424669,1979,457927335
2662128924972,1978,456150924
2172223125413,1977,454214586
1918113236186,1976,452272618
1851972723697,1975,450124308
1588086099343,1974,447759892
1413010854427,1973,445310759
1112810638174,1972,442694812
929369453929,1971,439933185
9705862943457,2002,485984475
9464721958288,1999,482506355
8796312441785,2000,483439459
8899372113665,2001,484633595
15244676895784,2006,493634489
17625456990956,2007,495479977
13660116315299,2004,489793263
9476759289524,1998,481554038
18958652997084,2008,497369417
16958185454629,2009,498881296
