gdp,period,population
240028906667,2005-2008,5278620
126833123353,1997,5139835
171071106094,2003,5213014
73586676049,1986,4918154
91642093872,1987,4932123
52926394934,1984,4881803
55914236377,1985,4902206
52832120389,1982,4826933
51014090520,1983,4855787
53685049410,1980,4779535
52485533204,1981,4799964
132392214136,1999-2002,5182572
109103056147,1988,4946481
119064708327,1989,4964371
132099404607,1996,5124573
272335981538,2014,5461512
273657214345,2011,5388272
247814569536,2010,5363352
269980111642,2013,5438972
256706466091,2012,5413971
17911238121,1971-1974,4652109
204436015420,2005,5246096
229810358212,2015,5482013
68517350308,1984-1987,4908571
127866490222,1991,5013740
141517648888,1990,4986431
89255751014,1993,5066447
112625431377,1992,5041992
134199346405,1995,5107790
103321570859,1994,5088333
44498283620,1979,4764690
36283091407,1978,4752528
33524682307,1977,4738902
31873171718,1976,4725664
29494515597,1975,4711440
24867278714,1974,4690574
19486826979,1973,4666081
14754136507,1972,4639657
12536710287,1971,4612124
139552983248,2002,5200598
135225868314,1999,5165474
125539893126,2000,5176209
129250111856,2001,5188008
216552502822,2006,5266268
255384615384,2007,5288720
196768065557,2004,5228172
133936359590,1998,5153498
283742493042,2008,5313399
251499027507,2009,5338871
