gdp,period,population
3264043927623,2005-2008,82305585
2218689375140,1997,82034771
2505733634311,2003,82534176
1042300769791,1986,77720436
1293264353318,1987,77839920
722367608343,1984,77858685
729763282952,1985,77684873
773638200773,1982,78333366
767768378016,1983,78128282
946695355820,1980,78288576
797443405711,1981,78407907
2044924042063,1999-2002,82287542
1395931548502,1988,78144619
1393674332154,1989,78751283
2503665193657,1996,81914831
3868291231823,2014,80982500
3757464553794,2011,81797673
3417298013245,2010,81776930
3745317149399,2013,82132753
3539615377794,2012,80425823
347047955555,1971-1974,78726348
2861410272354,2005,82469422
3355772429854,2015,81413145
946924003601,1984-1987,77775978
1861873895109,1991,80013896
1764967948916,1990,79433029
2068555542410,1993,81156363
2123130870381,1992,80624598
2591620035485,1995,81678051
2205966011811,1994,81438348
878010536975,1979,78126350
737668356280,1978,78091820
598226205424,1977,78159814
517787921003,1976,78336950
488780155338,1975,78673554
443618642959,1974,78967433
396866742553,1973,78936666
298667219346,1972,78688452
249039217364,1971,78312842
2079136081309,2002,82488495
2199957383336,1999,82100243
1949953934033,2000,82211508
1950648769574,2001,82349925
3002446368084,2006,82376451
3439953462907,2007,82266372
2819245095604,2004,82516260
2243225519617,1998,82047195
3752365607148,2008,82110097
3418005001389,2009,81902307
