gdp,period,population
32673042554,2005-2008,13644465
17788559414,1997,10871786
21917430474,2003,12573346
7231963327,1986,8320498
7084399840,1987,8523785
9470000100,1984,7913814
9721652288,1985,8117499
8716999700,1982,7508161
9050000400,1983,7710142
7878700000,1980,7118628
8607500300,1981,7310397
19271736238,1999-2002,11836602
7841603166,1988,8729406
8410724406,1989,8940285
15781579950,1996,10612300
58722323918,2014,16015494
47654783850,2011,15049280
41338008617,2010,14732261
53851143340,2013,15690793
50388460920,2012,15368759
2454200000,1971-1974,5821650
27211377220,2005,13183505
63794348774,2015,16342897
8377003888,1984-1987,8218899
9406097735,1991,9385000
7650125576,1990,9158547
11399942453,1993,9860063
10440842165,1992,9619113
14656917900,1995,10357354
12983235568,1994,10106463
6902600200,1979,6933492
6070600199,1978,6754258
5480500200,1977,6579710
4365300199,1976,6408029
3645900000,1975,6237963
3161499900,1974,6069077
2569200100,1973,5901980
2101300000,1972,5737720
1984800000,1971,5577824
20776403844,2002,12272208
18317172141,1999,11408815
19290566570,2000,11688660
18702802398,2001,11976725
30231249362,2006,13490041
34113107084,2007,13797629
23965275999,2004,12877711
19393672243,1998,11136814
39136436553,2008,14106687
37733609938,2009,14418033
