gdp,period,population
994093568723,2005-2008,112310739
480554647428,1997,97925825
713284260879,2003,106888418
129440191340,1986,78939441
140263673924,1987,80571067
175632163244,1984,75721210
184473097296,1985,77322643
173720847690,1982,72547995
148866911934,1983,74133377
194356825709,1980,69330974
250083027275,1981,70950741
682342683316,1999-2002,103473255
183144276294,1988,82223153
222977042346,1989,83901643
397404138184,1996,96181710
1297845522512,2014,125385833
1171187519660,2011,120365271
1051128603513,2010,118617542
1261832901816,2013,123740109
1186598324461,2012,122070963
52906711211,1971-1974,56393382
866346483685,2005,109747906
1144331343172,2015,127017224
157452281451,1984-1987,78138590
314453895611,1991,87347208
262709785592,1990,85609404
503962814551,1993,90887097
363609268789,1992,89110043
343792780638,1995,94426946
527318769550,1994,92663664
134540322292,1979,67688533
102517450025,1978,66025613
81825780563,1977,64337694
89023916066,1976,62620087
88003982688,1975,60872399
71976542927,1974,59090495
55271303176,1973,57283361
45178119326,1972,55480125
39200879415,1971,53719547
741559499084,2002,105578297
579459682094,1999,101266570
683647980782,2000,102808590
724703571306,2001,104239563
965281191371,2006,111382857
1043471321169,2007,113139374
770267585947,2004,108257822
502010268264,1998,99632299
1101275278668,2008,114972821
894948748436,2009,116815612
