gdp,period,population
16405271712855,2005-2008,444870212
9741895012155,1997,400570025
13116335247247,2003,428672351
5097033118652,1986,345276441
5441797416005,1987,349410067
4571697721348,1984,337248210
4895963596746,1985,341188643
3832218372777,1982,329413995
4127551623716,1983,333381377
3330715652086,1980,321148974
3767253890900,1981,325316741
11796704573175,1999-2002,417850594
5943127627476,1988,353617153
6445725785589,1989,358099643
9126151526156,1996,395247610
20429692613408,2014,479836892
18477816905208,2011,466426908
17628906738244,2010,461969679
19762436388532,2013,475323003
19166142081909,2012,470925062
1535826296044,1971-1974,289419047
15129430463549,2005,437576505
20641863863314,2015,484287818
5001622963187,1984-1987,343280840
7098825079254,1991,368499890
6836228336501,1990,363023404
7959851576508,1993,379639507
7495295958042,1992,374143640
8611884404072,1995,390058946
8414213048988,1994,384901570
3009755424478,1979,317020533
2677721317475,1978,312646613
2379388937498,1977,308372694
2173186480468,1976,304173087
1950761012476,1975,300054399
1781210240575,1974,295718582
1615142162390,1973,291561769
1440709940318,1972,287369756
1306242840893,1971,283026082
12477024177731,2002,424565490
10916166336735,1999,410805770
11710720429035,2000,415740701
12082907349199,2001,420290418
16136584388833,2006,442333274
16986083511374,2007,447258509
14068391589021,2004,433058120
10222991547670,1998,405734199
17368988487665,2008,452312560
16684840753423,2009,457215712
