gdp,period,population
795207683511,2005-2008,16373314
412199006098,1997,15610650
571863431151,2003,16225302
198298498021,1986,14572278
241918791122,1987,14665037
142075910370,1984,14424211
142009922306,1985,14491632
156456858050,1982,14312690
151487045479,1983,14367070
192661371425,1980,14149800
162039376225,1981,14247208
436681262643,1999-2002,15983177
258567751142,1988,14760094
255039560739,1989,14848907
445704575163,1996,15530498
879319321494,2014,16865008
893701695857,2011,16693074
836439735099,2010,16615394
864169242952,2013,16804432
828946812396,2012,16754962
63768108428,1971-1974,13376867
678533764457,2005,16319868
752547410446,2015,16936520
181075780454,1984-1987,14538289
323320449905,1991,15069798
314267667675,1990,14951510
349037818106,1993,15290368
358330385839,1992,15184166
446528959648,1995,15459006
374291430318,1994,15382838
177376289135,1979,14038270
153870462415,1978,13941700
125395875998,1977,13856185
107775403067,1976,13774037
98970041042,1975,13666335
86129928026,1974,13545056
70924006306,1973,13439322
54008338917,1972,13328593
44010160463,1971,13194497
465368906455,2002,16148929
441975282335,1999,15812088
412807259996,2000,15925513
426573601789,2001,16046180
726649102998,2006,16346101
839419655078,2007,16381696
650532654581,2004,16281779
432476116418,1998,15707209
936228211513,2008,16445593
857932759099,2009,16530388
