gdp,period,population
379244356523,2005-2008,4690333
161354369892,1997,4405157
228752436371,2003,4564855
78693253275,1986,4167354
94230055658,1987,4186905
62057955032,1984,4140099
65416879914,1985,4152516
62647195537,1982,4114787
61627240831,1983,4128432
64439382896,1980,4085620
63596654760,1981,4099702
175755809566,1999-2002,4501197
101900260856,1988,4209488
102633789557,1989,4226901
163517783497,1996,4381336
500519016133,2014,5137232
498157406416,2011,4953088
428524701366,2010,4889252
522746212765,2013,5079623
509704856037,2012,5018573
20405418300,1971-1974,3945478
308722079937,2005,4623291
388314890978,2015,5195921
75099535969,1984-1987,4161718
121872464483,1991,4261732
119791683307,1990,4241473
120579072750,1993,4311991
130838040067,1992,4286401
152027402449,1995,4359184
127131461119,1994,4336613
53132244623,1979,4072517
46523091009,1978,4058671
41508030431,1977,4043205
35942270686,1976,4026152
32877805200,1975,4007313
27145693810,1974,3985258
22534253702,1973,3960612
17358610849,1972,3933004
14583114840,1971,3903039
195418347152,2002,4538159
162286003692,1999,4461913
171315639982,2000,4490967
174003247439,2001,4513751
345424664369,2006,4660677
400883873279,2007,4709153
264357494659,2004,4591910
154165219811,1998,4431464
461946808510,2008,4768212
386383919342,2009,4828726
