gdp,period,population
19999853624,2005-2008,3408744
10677104500,1997,2852739
13693884200,2003,3202511
5943877599,1986,2268619
5969924500,1987,2318444
5406634200,1984,2170390
5719726200,1985,2219276
5044942500,1982,2073826
5179623899,1983,2121921
4034408100,1980,1978575
4566357500,1981,2026057
12482571800,1999-2002,3057639
5161200500,1988,2368772
5174965100,1989,2419618
9870392300,1996,2794845
49165773100,2014,3867535
34373820500,2011,3681979
28917200000,2010,3620506
44856189500,2013,3805683
39954761200,2012,3743761
1454549050,1971-1974,1630829
16374277899,2005,3319301
52132289700,2015,3929141
5760040624,1984-1987,2244182
6185922999,1991,2522901
5625703300,1990,2471010
7679277700,1993,2628511
7032023199,1992,2575330
8371108300,1995,2738125
8188780099,1994,2682720
2984909200,1979,1931393
2607864900,1978,1884512
2199585300,1977,1837887
2074539000,1976,1791459
1953304500,1975,1745207
1743976500,1974,1699114
1525966200,1973,1653257
1334108700,1972,1607835
1214144800,1971,1563113
12994218400,2002,3144728
12130118300,1999,2970193
12303975900,2000,3028751
12501974600,2001,3086887
18144936600,2006,3378600
20958000000,2007,3438398
15013275299,2004,3260611
11575510300,1998,2911383
24522200000,2008,3498679
26593500000,2009,3559401
