gdp,period,population
1384039652138,2005-2008,44807845
588692045454,1997,39582413
906853273137,2003,42187645
250638463466,1986,38535617
317882187036,1987,38630820
171635463361,1984,38278575
180302412230,1985,38418817
195464408602,1982,37942805
170486866357,1983,38122429
232134606637,1980,37439035
202257045774,1981,37740556
639929610749,1999-2002,40594260
375138723325,1988,38715849
413630538018,1989,38791473
640998292394,1996,39478186
1381342101735,2014,46480882
1487924659438,2011,46742697
1431672847682,2010,46576897
1369261671178,2013,46620045
1339946773437,2012,46773055
70225084750,1971-1974,34666448
1157276458151,2005,43653155
1199057336142,2015,46418269
230114631523,1984-1987,38465957
575598537069,1991,38939049
535101248775,1990,38850435
523649481762,1993,39189400
629202392003,1992,39067745
612939685081,1995,39387017
529121577319,1994,39294967
214019077342,1979,37201123
160163483072,1978,36872506
132089531434,1977,36370050
118185307386,1976,35939437
114465300289,1975,35530725
97009800115,1974,35154338
78425934894,1973,34817071
58971806626,1972,34502705
46492797365,1971,34191678
705145868624,2002,41431558
633194118900,1999,39926268
595402616546,2000,40263216
625975838926,2001,40756001
1264551499184,2006,44397319
1479341637010,2007,45226803
1069555500372,2004,42921895
617041986858,1998,39721108
1634989014208,2008,45954106
1499074742984,2009,46362946
