gdp,period,population
452714099755,2005-2008,9119451
264477727278,1997,8846062
331108912605,2003,8958229
148376104539,1986,8369829
180429286795,1987,8397804
107661673734,1984,8336605
112514448261,1985,8350386
112767844570,1982,8325263
103533702638,1983,8329033
140088635568,1980,8310531
127858412114,1981,8320503
258623372890,1999-2002,8887725
204068257817,1988,8436489
214875344909,1989,8492964
288103936773,1996,8840998
571100683085,2014,9696110
563113421113,2011,9449213
488379327089,2010,9378126
578742001487,2013,9600379
543880647757,2012,9519374
53223556491,1971-1974,8129225
389042298376,2005,9029572
492618068568,2015,9798871
137245378332,1984-1987,8363656
270362531376,1991,8617375
258154283908,1990,8558835
209950792712,1993,8718561
280312318915,1992,8668067
264051981551,1995,8826939
226079963711,1994,8780745
121646718574,1979,8293678
102969762221,1978,8275599
93136775102,1977,8251540
88102107647,1976,8222286
81716751697,1975,8192437
65082581294,1974,8159955
58567384058,1973,8136312
48263914958,1972,8122300
40980345656,1971,8098334
263926220332,2002,8924958
270847937645,1999,8857874
259802012617,2000,8872109
239917320966,2001,8895960
420032121655,2006,9080505
487816328342,2007,9148092
381705425301,2004,8993531
266800462898,1998,8850974
513965650650,2008,9219637
429657033107,2009,9298515
