gdp,period,population
54218147304629,2005-2008,6612773271
30842049606172,1997,5849858794
38229489922346,2003,6331353378
14327871343785,1986,4900265798
16391163223888,1987,4988096471
11492340886124,1984,4731902061
12108548055823,1985,4814690098
10824512303060,1982,4569705112
11071896510799,1983,4650910547
10642002203169,1980,4411686309
10925997033740,1981,4489235553
32885709377078,1999-2002,6132861761
18355726337957,1988,5076794301
19756324516323,1989,5165485161
30938060945534,1996,5767098991
76807090092751,2014,7232206076
72164616189559,2011,6983658973
65028121403413,2010,6900478104
75783472870973,2013,7147678465
73799410246296,2012,7061227325
3963443173073,1971-1974,3854434293
46674479613690,2005,6491167786
71240478773699,2015,7317870690
13579980877405,1984-1987,4858738607
23511920710577,1991,5349382778
22468134659050,1990,5262763618
25422209644771,1993,5516822896
24940672268113,1992,5432712514
30286437552958,1995,5684519374
27293968053644,1994,5600065372
9320276666261,1979,4335889020
8021365471004,1978,4260746916
6813943004368,1977,4187297907
6026506548794,1976,4115145819
5537358812800,1975,4042748383
4957834999194,1974,3968315916
4301549438906,1973,3892240832
3531432897410,1972,3816779545
3062955356784,1971,3740400880
34012815131570,2002,6252211406
31888797066425,1999,6012844176
32900194043803,2000,6093201745
32741031266516,2001,6173189720
50589150236256,2006,6571835561
57062436706444,2007,6652850654
43118314023799,2004,6411040532
30754705078574,1998,5931779509
62546522662128,2008,6735239086
59285233547850,2009,6817810320
