country,flow,value
Argentina,Heat and Waste,140.46790273972607
Argentina,Industry,151.26168419863015
Argentina,Transport,173.05116351369864
Argentina,Residential,80.3657434589041
Argentina,Commercial,20.08222190410959
Argentina,Other,63.28017617123288
Argentina,Total Consumption,488.04101434931505
Argentina,Hydrocarbon Heat and Waste,16.449835383561663
Argentina,Electricity Heat and Waste,124.01806735616441
Austria,Heat and Waste,53.90028644520544
Austria,Industry,102.25840005479454
Austria,Transport,72.1059329589041
Austria,Residential,106.18333892465753
Austria,Commercial,9.223027726027397
Austria,Other,24.845346273972606
Austria,Total Consumption,314.616055979452
Austria,Hydrocarbon Heat and Waste,10.010681410958881
Austria,Electricity Heat and Waste,43.88960503424656
Belgium,Heat and Waste,177.9504300821917
Belgium,Industry,257.5813209589041
Belgium,Transport,85.67018330821918
Belgium,Residential,207.00492342465756
Belgium,Commercial,18.75245447260274
Belgium,Other,67.83148362328768
Belgium,Total Consumption,633.4872572876711
Belgium,Hydrocarbon Heat and Waste,50.42726717808216
Belgium,Electricity Heat and Waste,127.52316290410954
Bolivia,Heat and Waste,2.4670219520547985
Bolivia,Industry,4.901555938356164
Bolivia,Transport,7.564243705479453
Bolivia,Residential,5.939900643835616
Bolivia,Commercial,0.16148090410958904
Bolivia,Other,0.8344602534246577
Bolivia,Total Consumption,19.40164144520548
Bolivia,Hydrocarbon Heat and Waste,0.5011259931506888
Bolivia,Electricity Heat and Waste,1.9658959589041096
Brazil,Heat and Waste,48.08917791780834
Brazil,Industry,416.2156848356165
Brazil,Transport,354.77533364383555
Brazil,Residential,448.5724235068493
Brazil,Commercial,33.06160352054795
Brazil,Other,151.47614192465753
Brazil,Total Consumption,1404.1011874315068
Brazil,Hydrocarbon Heat and Waste,8.825470616438452
Brazil,Electricity Heat and Waste,39.26370730136989
Andean,Heat and Waste,77.01777599999991
Andean,Industry,211.5282513630137
Andean,Transport,205.43562063013695
Andean,Residential,211.7134543561644
Andean,Commercial,15.554370452054796
Andean,Other,54.27494985616439
Andean,Total Consumption,698.506671760274
Andean,Hydrocarbon Heat and Waste,-9.803910143835765
Andean,Electricity Heat and Waste,86.82168614383568
Canada,Heat and Waste,268.4803531849316
Canada,Industry,858.6418029315068
Canada,Transport,643.3417996575342
Canada,Residential,529.6570240821918
Canada,Commercial,353.0407293082191
Canada,Other,178.64719678767122
Canada,Total Consumption,2561.768869342466
Canada,Hydrocarbon Heat and Waste,1.318902965753523
Canada,Electricity Heat and Waste,267.16145021917805
Central America,Heat and Waste,23.826074630136958
Central America,Industry,38.29813041780822
Central America,Transport,30.104490739726028
Central America,Residential,102.70700107534248
Central America,Commercial,2.087142191780822
Central America,Other,2.771342465753425
Central America,Total Consumption,175.96810689041095
Central America,Hydrocarbon Heat and Waste,11.354079630136965
Central America,Electricity Heat and Waste,12.471994999999993
Chile,Heat and Waste,18.12362080136984
Chile,Industry,47.41828711643836
Chile,Transport,37.93009413013699
Chile,Residential,41.303164328767124
Chile,Commercial,2.122918616438356
Chile,Other,3.226450116438357
Chile,Total Consumption,132.00094443150684
Chile,Hydrocarbon Heat and Waste,2.0094040273972382
Chile,Electricity Heat and Waste,16.1142167739726
Colombia,Heat and Waste,18.9943595342466
Colombia,Industry,65.01863126712328
