country,flow,value
Argentina,Production,445.6704413630137
Argentina,Imports,49.810387431506854
Argentina,Exports,-0.7504765273972602
Argentina,Oil Products,-484.3062538356165
Austria,Production,50.57601597260274
Austria,Imports,122.62287716438355
Austria,Oil Products,-172.6790656027397
Belgium,Imports,693.4003226506849
Belgium,Exports,-3.0091457397260277
Belgium,Oil Products,-688.6687323424658
Bolivia,Production,47.07257218493151
Bolivia,Exports,-31.31243457534247
Bolivia,Oil Products,-16.14985764383562
Brazil,Production,175.08709611643837
Brazil,Imports,583.4762688424657
Brazil,Exports,-16.800545760273977
Brazil,Oil Products,-701.6960903150685
Andean,Industry,3.1694468150684934
Andean,Production,4173.883598239726
Andean,Imports,56.90037009589041
Andean,Exports,-2519.0321628561646
Andean,Total Consumption,3.1694468150684934
Andean,Oil Products,-1671.612273630137
Canada,Production,1722.3901658356165
Canada,Imports,794.6393606917808
Canada,Exports,-951.4356316780822
Canada,Oil Products,-1615.491499239726
Central America,Imports,141.5301352123288
Central America,Oil Products,-141.31726397945204
Chile,Production,35.692571465753424
Chile,Imports,73.22382824657534
Chile,Oil Products,-99.93586947260273
Colombia,Industry,2.7456473013698632
Colombia,Production,205.0703556849315
Colombia,Exports,-35.14621033561644
Colombia,Total Consumption,2.7456473013698632
Colombia,Oil Products,-166.83402821232877
Costa Rica,Imports,8.291314438356165
Costa Rica,Oil Products,-8.271091671232877
Southern Cone,Production,656.4501089452056
Southern Cone,Imports,745.5392753630136
Southern Cone,Exports,-17.551022287671238
Southern Cone,Oil Products,-1324.9262928424657
Cuba,Industry,4.890184397260273
Cuba,Production,4.095717828767123
Cuba,Imports,102.18357882876712
Cuba,Total Consumption,4.890184397260273
Cuba,Oil Products,-99.13154254794522
Denmark,Production,1.1930328082191781
Denmark,Imports,203.619613130137
Denmark,Exports,-0.33794312328767123
Denmark,Oil Products,-205.4987640616438
Dominican Republic,Imports,13.711011006849317
Dominican Republic,Oil Products,-13.832347609589041
Ecuador,Production,120.98346743835617
Ecuador,Imports,23.269968616438355
Ecuador,Exports,-110.5247071438356
Ecuador,Oil Products,-31.060568746575346
El Salvador,Imports,11.435954726027399
El Salvador,Oil Products,-11.36517504109589
Finland,Imports,186.44997174657533
Finland,Oil Products,-187.47618680821918
France,Production,43.30309960273973
France,Imports,2460.1706713424655
France,Oil Products,-2460.793093773973
Germany,Production,142.22979375342467
Germany,Imports,2447.55499830137
Germany,Exports,-1.4813980205479453
Germany,Oil Products,-2667.4091205342465
Guatemala,Imports,18.51021805479452
Guatemala,Oil Products,-18.433850500000002
Honduras,Imports,12.01735928082192
Honduras,Oil Products,-12.02747066438356
India,Production,151.32824160273972
India,Imports,271.5524314931507
India,Exports,-0.092358
India,Oil Products,-417.77534817808214
Israel,Industry,2.172973479452055
Israel,Production,111.85231573972602
Israel,Imports,32.13560361643836
Israel,Total Consumption,2.172973479452055
Israel,Electricity,-2.218886390410959
Israel,Oil Products,-133.19443913013697
Italy,Production,22.765157541095892
Italy,Imports,2319.6748744383563
Italy,Oil Products,-2395.2486906438357
Jamaica,Imports,34.62637276027397
Jamaica,Oil Products,-35.061162253424655
Japan,Industry,3.59291497260274
Japan,Production,16.34233039041096
Japan,Imports,4472.663023541097
Japan,Total Consumption,3.59291497260274
Japan,Electricity,-319.18486004109593
Japan,Oil Products,-4152.011857246575
LAC,Industry,3.1694468150684934
LAC,Production,5561.218279226026
LAC,Imports,1578.9883050821918
LAC,Exports,-2599.8168258561645
LAC,Total Consumption,3.1694468150684934
LAC,Oil Products,-4411.75032189726
Mexico,Production,573.3717132260275
Mexico,Imports,31.490829705479452
Mexico,Exports,-4.326753404109589
Mexico,Oil Products,-564.5343740342466
Netherlands,Production,33.224630753424655
Netherlands,Imports,1358.277597041096
Netherlands,Exports,-0.05120456849315068
Netherlands,Oil Products,-1379.7149803082193
Nicaragua,Imports,10.925329856164382
Nicaragua,Oil Products,-10.91521847260274
North America,Production,13056.494285815068
North America,Imports,3732.3624740753426
North America,Exports,-957.4810391369864
North America,Oil Products,-15086.024530178081
Norway,Production,25.04064056849315
Norway,Imports,120.32802988356164
Norway,Exports,-25.677497075342462
Norway,Oil Products,-119.27570797260275
Panama,Imports,80.34995885616439
Panama,Oil Products,-80.30445763013698
Paraguay,Imports,3.791768835616439
Paraguay,Oil Products,-3.771546068493151
Peru,Production,70.90217123972602
Peru,Imports,33.630401479452054
Peru,Exports,-1.6044215273972606
Peru,Oil Products,-99.33582864383561
Portugal,Imports,95.01258460273974
Portugal,Oil Products,-94.89481760958905
Korea,Imports,273.03484868493155
Korea,Oil Products,-273.4128658219178
Spain,Industry,0.9976431232876711
Spain,Production,14.381414815068494
Spain,Imports,817.080045239726
Spain,Exports,-1.0539184452054795
Spain,Total Consumption,0.9976431232876711
Spain,Oil Products,-822.8152129589041
Sweden,Imports,221.27712123972606
Sweden,Exports,-0.11628091095890412
Sweden,Oil Products,-221.44395906849317
Switzerland,Imports,118.83576237671232
Switzerland,Oil Products,-118.64399250684933
Trinidad & Tobago,Production,157.45724620547944
Trinidad & Tobago,Imports,290.115812130137
Trinidad & Tobago,Exports,-57.51152139726027
Trinidad & Tobago,Oil Products,-408.8048339315069
United Kingdom,Production,9.389634609589042
United Kingdom,Imports,2281.8678138561645
United Kingdom,Exports,-50.150494410958906
United Kingdom,Oil Products,-2248.296624719178
Uruguay,Imports,35.237022006849315
Uruguay,Oil Products,-35.21653315068493
USA,Production,10760.732406753425
USA,Imports,2906.2322836780827
USA,Exports,-1.7186540547945204
USA,Oil Products,-12905.998656904108
Venezuela,Industry,0.42379951369863017
Venezuela,Production,3729.8550316917804
Venezuela,Exports,-2340.444389273973
Venezuela,Total Consumption,0.42379951369863017
Venezuela,Oil Products,-1358.2319903835617
World,Industry,305.469777369863
World,Residential,0.030725753424657533
World,Other,107.61356752054796
World,Production,55874.04199660958
World,Imports,28437.170592780825
World,Exports,-29697.98254039041
World,Total Consumption,413.1140606027397
World,Electricity,-359.2698787808219
World,Oil Products,-52763.2349405548
China,Industry,164.0005765479452
China,Production,1040.2853832260275
China,Imports,0.2555458904109589
China,Exports,-39.87573217808219
China,Total Consumption,164.0005765479452
China,Electricity,-15.332888979452056
China,Oil Products,-821.3317414520549
