country,flow,value
Argentina,Industry,41.216524732876714
Argentina,Residential,26.42706990410959
Argentina,Other,2.221165719178082
Argentina,Electricity output in GWh,6085.25
Argentina,Production,113.60605338356164
Argentina,Imports,18.976722349315068
Argentina,Total Consumption,69.86476035616438
Argentina,Electricity,-31.514697390410962
Austria,Industry,22.18380319178082
Austria,Transport,0.3722284452054794
Austria,Residential,1.600139
Austria,Commercial,0.7213573493150683
Austria,Other,2.797951369863014
Austria,Electricity output in GWh,4489.75
Austria,Production,36.097287876712336
Austria,Imports,28.723327958904115
Austria,Total Consumption,27.67548437671233
Austria,Electricity,-22.63575793835616
Belgium,Industry,53.92712629452054
Belgium,Residential,19.517475527397263
Belgium,Commercial,6.391930698630137
Belgium,Other,6.102240061643836
Belgium,Electricity output in GWh,8595.0
Belgium,Production,0.8252626095890412
Belgium,Imports,130.5589476712329
Belgium,Total Consumption,85.93877258219177
Belgium,Electricity,-41.27866405479452
Bolivia,Industry,0.07897321917808219
Bolivia,Electricity output in GWh,48.75
Bolivia,Production,22.73426610958904
Bolivia,Exports,-21.18149095890411
Bolivia,Total Consumption,0.07897321917808219
Bolivia,Electricity,-0.24340118493150686
Brazil,Industry,0.9198848767123287
Brazil,Other,0.9616357534246576
Brazil,Production,3.495902924657534
Brazil,Total Consumption,1.8815206301369864
Andean,Industry,61.336897780821914
Andean,Residential,9.854918910958906
Andean,Electricity output in GWh,8076.5
Andean,Production,257.1157755890411
Andean,Exports,-21.18149095890411
Andean,Total Consumption,71.19181669178083
Andean,Electricity,-59.52443478767123
Canada,Industry,234.5177671506849
Canada,Residential,124.1661584589041
Canada,Commercial,116.1946930890411
Canada,Electricity output in GWh,11361.25
Canada,Production,1151.8678294520548
Canada,Imports,6.593254671232877
Canada,Exports,-442.07796317808226
Canada,Total Consumption,474.87861869863013
Canada,Electricity,-64.34081210958904
Chile,Industry,0.03355734246575342
Chile,Residential,0.4968384452054795
Chile,Commercial,0.1105876095890411
Chile,Electricity output in GWh,96.25
Chile,Production,11.754141993150684
Chile,Total Consumption,0.6409884178082192
Chile,Electricity,-0.49824419863013697
Colombia,Industry,3.7639047945205477
Colombia,Electricity output in GWh,993.0
Colombia,Production,26.962325582191784
Colombia,Total Consumption,3.7639047945205477
Colombia,Electricity,-5.509268164383562
Southern Cone,Industry,42.1699669520548
Southern Cone,Residential,26.92390834931507
Southern Cone,Commercial,0.1105876095890411
Southern Cone,Other,3.1828014726027396
Southern Cone,Electricity output in GWh,6181.5
Southern Cone,Production,128.85609830136985
Southern Cone,Imports,18.976722349315068
Southern Cone,Total Consumption,72.38726940410959
Southern Cone,Electricity,-32.0129415890411
Cuba,Industry,0.03215660958904109
Cuba,Residential,0.5307171027397259
Cuba,Other,0.13518829452054795
Cuba,Electricity output in GWh,26.5
Cuba,Production,0.1803983287671233
Cuba,Total Consumption,0.6980620068493151
Cuba,Electricity,-0.11436306164383561
Denmark,Production,0.003880883561643836
Ecuador,Production,1.4917102260273971
Finland,Industry,1.7373756780821918
Finland,Electricity output in GWh,81.25
Finland,Imports,1.9371934863013698
Finland,Total Consumption,1.7373756780821918
Finland,Electricity,-0.19992323972602738
France,Industry,76.26952859589042
France,Transport,0.2678914178082192
France,Residential,52.445984321917805
France,Commercial,28.512941897260273
France,Other,26.47897232876712
France,Electricity output in GWh,9359.5
France,Production,125.2137911780822
France,Imports,132.06996692465754
France,Exports,-1.388131301369863
France,Total Consumption,183.9753135410959
France,Electricity,-37.430393972602744
Germany,Industry,212.80480098630142
Germany,Residential,0.039381178082191784
Germany,Other,121.8099048561644
Germany,Electricity output in GWh,37662.25
Germany,Production,303.65479908219174
Germany,Imports,220.7460577191781
Germany,Exports,-2.086509602739726
Germany,Total Consumption,334.65410208219174
Germany,Electricity,-170.80174215068496
India,Industry,2.4122377328767124
India,Residential,0.024922000000000003
India,Other,4.089417041095891
India,Electricity output in GWh,418.5
India,Production,13.307454342465753
India,Total Consumption,6.526576773972602
India,Electricity,-5.5963395273972605
Israel,Residential,0.001400732876712329
Israel,Other,1.4266539657534247
Israel,Electricity output in GWh,27.0
Israel,Production,1.5475939452054794
Israel,Total Consumption,1.428054698630137
Israel,Electricity,-0.11964969863013698
Italy,Industry,167.7938364863014
Italy,Transport,2.5130101712328767
Italy,Residential,65.27494530136987
Italy,Other,0.035605726027397255
Italy,Electricity output in GWh,3719.25
Italy,Production,240.51719141095893
Italy,Imports,31.508436767123293
Italy,Total Consumption,235.61739768493152
Italy,Electricity,-17.460306006849315
Japan,Industry,33.613080589041104
Japan,Residential,17.543606938356167
Japan,Commercial,6.271517876712329
Japan,Other,0.2850466301369863
Japan,Electricity output in GWh,9211.5
Japan,Production,44.603888431506846
Japan,Imports,48.76322162328766
Japan,Total Consumption,57.71325203424658
Japan,Electricity,-37.718573424657535
LAC,Industry,224.56628302054798
LAC,Residential,43.97508488356165
LAC,Commercial,0.1105876095890411
LAC,Other,21.422738328767124
LAC,Electricity output in GWh,20516.25
LAC,Production,620.5580460068493
LAC,Imports,18.976722349315068
LAC,Exports,-25.04951187671233
LAC,Total Consumption,290.0746988630137
LAC,Electricity,-130.61127684246574
Mexico,Industry,119.729871760274
Mexico,Residential,7.181477130136987
Mexico,Other,9.720925506849316
Mexico,Electricity output in GWh,5229.75
Mexico,Production,202.91146986301368
Mexico,Exports,-3.8680209178082197
Mexico,Total Consumption,136.63227439726026
Mexico,Electricity,-31.918530184931505
Netherlands,Industry,153.26117264383564
Netherlands,Residential,131.07035072602739
Netherlands,Other,71.38009226027397
Netherlands,Electricity output in GWh,37243.25
Netherlands,Production,978.1311101164383
Netherlands,Exports,-451.6626159520548
Netherlands,Total Consumption,355.71162065068495
Netherlands,Electricity,-168.81600498630135
North America,Industry,3752.122763383562
North America,Transport,339.02294776027395
North America,Residential,2440.398468273973
North America,Commercial,1314.4139331780823
North America,Other,9.720925506849316
North America,Electricity output in GWh,394050.75
North America,Production,11350.404759739726
North America,Imports,466.8990652260274
North America,Exports,-482.40782902054787
North America,Total Consumption,7855.6790381027395
North America,Electricity,-1847.2690463013698
Norway,Production,0.06095949315068493
Peru,Industry,0.022657732876712328
Peru,Residential,0.8396063150684933
Peru,Electricity output in GWh,21.75
Peru,Production,6.2386182260273975
Peru,Total Consumption,0.8622690684931507
Peru,Electricity,-0.15342292465753424
Spain,Industry,6.199995150684932
Spain,Residential,0.7407818493150685
Spain,Commercial,0.13950094520547945
Spain,Electricity output in GWh,377.25
Spain,Production,0.02751260273972603
Spain,Imports,14.923463294520547
Spain,Total Consumption,7.080277945205479
Spain,Electricity,-1.5528805821917808
Switzerland,Industry,0.67679998630137
Switzerland,Residential,1.3544685273972603
Switzerland,Commercial,0.014132842465753423
Switzerland,Imports,3.045886109589041
Switzerland,Total Consumption,2.045406376712329
Trinidad & Tobago,Industry,1.3295465273972604
Trinidad & Tobago,Other,8.49009801369863
Trinidad & Tobago,Electricity output in GWh,1028.5
Trinidad & Tobago,Production,31.631008424657534
Trinidad & Tobago,Total Consumption,9.81964454109589
Trinidad & Tobago,Electricity,-7.155370280821918
United Kingdom,Industry,160.87551137671232
United Kingdom,Residential,128.4493435479452
United Kingdom,Commercial,11.748313136986301
United Kingdom,Other,15.887036979452056
United Kingdom,Electricity output in GWh,5561.25
United Kingdom,Production,462.6466309931507
United Kingdom,Imports,13.371862952054794
United Kingdom,Total Consumption,316.9602000205479
United Kingdom,Electricity,-28.824853479452052
USA,Industry,3397.875124472603
USA,Transport,339.02294776027395
USA,Residential,2309.0508326849317
USA,Commercial,1198.219240089041
USA,Electricity output in GWh,377459.75
USA,Production,9995.625460424659
USA,Imports,460.3058105547946
USA,Exports,-36.461844924657534
USA,Total Consumption,7244.168145006851
USA,Electricity,-1751.0097040068495
Venezuela,Industry,57.471362034246575
Venezuela,Residential,9.015312595890412
Venezuela,Electricity output in GWh,7013.0
Venezuela,Production,199.6888554452055
Venezuela,Total Consumption,66.48666960958904
Venezuela,Electricity,-53.61834251369863
World,Industry,6854.25876079452
World,Transport,356.6209171917808
World,Residential,2949.8350798698634
World,Commercial,1386.3421136369861
World,Other,1109.9988794931508
World,Electricity output in GWh,738203.75
World,Production,19377.417155773972
