country,flow,value
Argentina,Industry,40.53702871232877
Argentina,Residential,24.152169260273972
Argentina,Other,2.4163495616438357
Argentina,Electricity output in GWh,5868.0
Argentina,Production,111.50809693150684
Argentina,Imports,18.436074602739726
Argentina,Total Consumption,67.10554753424658
Argentina,Electricity,-29.60329947945205
Austria,Industry,20.408346657534246
Austria,Transport,0.3612183835616438
Austria,Residential,1.0948810958904112
Austria,Commercial,0.8907456164383561
Austria,Other,2.325276821917808
Austria,Electricity output in GWh,4369.0
Austria,Production,34.02037756164383
Austria,Imports,28.22616317808219
Austria,Total Consumption,25.080468575342465
Austria,Electricity,-22.639096602739727
Belgium,Industry,56.757876904109594
Belgium,Residential,18.236698602739725
Belgium,Commercial,5.678982767123287
Belgium,Electricity output in GWh,7696.0
Belgium,Production,0.7932264931506849
Belgium,Imports,117.71100400000002
Belgium,Total Consumption,80.6735582739726
Belgium,Electricity,-36.645160191780825
Bolivia,Industry,0.1829889315068493
Bolivia,Electricity output in GWh,39.0
Bolivia,Production,22.36376975342466
Bolivia,Exports,-20.798483397260274
Bolivia,Total Consumption,0.1829889315068493
Bolivia,Electricity,-0.19463660273972602
Brazil,Industry,0.36812665753424656
Brazil,Other,0.8527701917808219
Brazil,Production,2.4081359452054794
Brazil,Total Consumption,1.2208968493150687
Andean,Industry,49.3504801369863
Andean,Residential,8.039202602739726
Andean,Electricity output in GWh,7892.0
Andean,Production,239.56331742465753
Andean,Exports,-20.798483397260274
Andean,Total Consumption,57.389682739726034
Andean,Electricity,-55.24870019178083
Canada,Industry,220.89290372602738
Canada,Residential,127.00564482191781
Canada,Commercial,120.23350802739726
Canada,Electricity output in GWh,9195.0
Canada,Production,1156.1061358630138
Canada,Imports,7.088471479452054
Canada,Exports,-455.9683533424658
Canada,Total Consumption,468.1320565753425
Canada,Electricity,-63.25380323287672
Chile,Industry,0.016407150684931506
Chile,Residential,0.30424520547945205
Chile,Commercial,0.06775731506849315
Chile,Electricity output in GWh,91.0
Chile,Production,12.698411671232876
Chile,Total Consumption,0.38840967123287673
Chile,Electricity,-0.47343767123287667
Colombia,Industry,3.4119643835616436
Colombia,Electricity output in GWh,1026.0
Colombia,Production,27.422594356164385
Colombia,Total Consumption,3.4119643835616436
Colombia,Electricity,-5.6897669041095895
Southern Cone,Industry,40.921562520547944
Southern Cone,Residential,24.456414465753426
Southern Cone,Commercial,0.06775731506849315
Southern Cone,Other,3.269119753424657
Southern Cone,Electricity output in GWh,5959.0
Southern Cone,Production,126.6146445479452
Southern Cone,Imports,18.436074602739726
Southern Cone,Total Consumption,68.71485405479453
Southern Cone,Electricity,-30.076737150684927
Cuba,Industry,0.030645424657534247
Cuba,Residential,0.5187430958904109
Cuba,Other,0.12860635616438357
Cuba,Production,0.10703808219178082
Cuba,Total Consumption,0.6779948767123288
Denmark,Production,0.00387586301369863
Ecuador,Production,1.7474117534246576
France,Industry,72.80738383561643
France,Transport,0.2800863287671233
France,Residential,48.6681675890411
France,Commercial,25.424436356164385
France,Other,22.43584473972603
France,Electricity output in GWh,9306.0
France,Production,125.65959575342465
France,Imports,111.32209567123287
France,Exports,-1.356853287671233
France,Total Consumption,169.61591884931505
France,Electricity,-37.10952071232877
Germany,Industry,191.56623643835619
Germany,Residential,0.018555945205479454
Germany,Other,111.4386125479452
Germany,Electricity output in GWh,27758.0
Germany,Production,292.93857002739725
Germany,Imports,152.93069005479452
Germany,Exports,-1.7905683835616442
Germany,Total Consumption,303.0234250136986
Germany,Electricity,-130.38997610958904
India,Industry,2.3857041369863015
India,Other,3.673916493150685
India,Electricity output in GWh,474.0
India,Production,12.817097424657534
India,Total Consumption,6.059620630136986
India,Electricity,-5.710049917808219
Israel,Other,1.8751545753424657
Israel,Electricity output in GWh,49.0
Israel,Production,2.07366704109589
Israel,Total Consumption,1.8751545753424657
Israel,Electricity,-0.19851246575342466
Italy,Industry,163.41128471232878
Italy,Transport,2.182853917808219
Italy,Residential,54.06188282191781
Italy,Other,0.030645424657534247
Italy,Electricity output in GWh,3623.0
Italy,Production,234.55327246575345
Italy,Imports,23.88891180821918
Italy,Total Consumption,219.68666687671237
Italy,Electricity,-17.683855945205476
Japan,Industry,32.537950328767124
Japan,Residential,11.953964821917808
Japan,Commercial,4.259131643835617
Japan,Other,0.1428446301369863
Japan,Electricity output in GWh,5500.0
Japan,Production,43.82771673972603
Japan,Imports,25.332520164383563
Japan,Total Consumption,48.89387134246576
Japan,Electricity,-21.736703315068493
LAC,Industry,205.54081115068493
LAC,Residential,39.370896
LAC,Commercial,0.06775731506849315
LAC,Other,21.828197780821917
LAC,Electricity output in GWh,20141.0
LAC,Production,593.186575890411
LAC,Imports,18.436074602739726
LAC,Exports,-25.46026298630137
LAC,Total Consumption,266.80768232876716
LAC,Electricity,-124.77318789041095
Mexico,Industry,113.85064443835617
Mexico,Residential,6.875278931506849
Mexico,Other,9.814689260273973
Mexico,Electricity output in GWh,5240.0
Mexico,Production,193.7594527671233
Mexico,Exports,-4.661779589041096
Mexico,Total Consumption,130.540612630137
Mexico,Electricity,-31.98207526027397
Netherlands,Industry,154.59568449315069
Netherlands,Residential,131.36014679452055
Netherlands,Other,71.78026005479452
Netherlands,Electricity output in GWh,35386.0
Netherlands,Production,887.5873102191781
Netherlands,Exports,-369.07895506849314
Netherlands,Total Consumption,357.7360913424658
Netherlands,Electricity,-159.23328512328766
North America,Industry,3649.869715232877
North America,Transport,357.9829617260274
North America,Residential,2533.356765150685
North America,Commercial,1339.0078102465752
North America,Other,9.814689260273973
North America,Electricity output in GWh,416755.0
North America,Production,11453.27463241096
North America,Imports,483.1945639452055
North America,Exports,-497.16694969863016
North America,Total Consumption,7890.031941616438
North America,Electricity,-1954.2280046575343
Peru,Residential,0.8307601095890411
Peru,Electricity output in GWh,10.0
Peru,Production,6.1752739726027395
Peru,Total Consumption,0.8307601095890411
Peru,Electricity,-0.07207498630136985
Spain,Industry,5.4744255616438355
Spain,Residential,0.6702230684931507
