country,flow,value
Argentina,Production,681.2675309315068
Argentina,Imports,97.23616520547945
Argentina,Exports,-0.08189517808219178
Argentina,Total Consumption,136.48688936986304
Argentina,Oil Products,-514.9896137534247
Argentina,Electricity,-183.10042783561647
Austria,Production,157.1935369041096
Austria,Imports,265.34357005479455
Austria,Exports,-1.0904228493150685
Austria,Total Consumption,104.39578789041096
Austria,Oil Products,-203.53200958904108
Austria,Electricity,-103.80667679452057
Belgium,Production,166.18517761643832
Belgium,Imports,971.8759843287672
Belgium,Exports,-10.679187452054794
Belgium,Total Consumption,221.73260041095892
Belgium,Oil Products,-694.6121473698631
Belgium,Electricity,-238.789771479452
Bolivia,Production,81.04202632876714
Bolivia,Exports,-41.05974808219178
Bolivia,Total Consumption,6.321753479452053
Bolivia,Oil Products,-29.244330301369864
Bolivia,Electricity,-5.113207178082193
Brazil,Production,1148.175618082192
Brazil,Imports,979.3403944383562
Brazil,Exports,-5.19255191780822
Brazil,Total Consumption,688.0708352876712
Brazil,Oil Products,-1100.3251170136987
Brazil,Electricity,-231.78052424657534
Andean,Production,3662.384294520548
Andean,Imports,29.92425306849315
Andean,Exports,-1615.5935318356164
Andean,Total Consumption,342.706358109589
Andean,Oil Products,-1507.3478271232877
Andean,Electricity,-217.26810827397264
Canada,Production,3836.8291972876714
Canada,Imports,837.1829166575342
Canada,Exports,-939.2222400821918
Canada,Total Consumption,852.821401369863
Canada,Oil Products,-1823.3441472054797
Canada,Electricity,-933.5866147671233
Central America,Production,161.8470024657534
Central America,Imports,112.67700098630137
Central America,Total Consumption,138.9693896712329
Central America,Oil Products,-112.20856378082192
Central America,Electricity,-40.1175117260274
Chile,Production,106.70013906849314
Chile,Imports,79.84201495890412
Chile,Exports,-12.027184493150685
Chile,Total Consumption,45.71640671232877
Chile,Oil Products,-100.10074928767123
Chile,Electricity,-31.46156493150685
China,Production,12134.130799726028
China,Imports,42.46303139726027
China,Exports,-275.6388864109589
China,Total Consumption,8435.317951534247
China,Oil Products,-1373.8268164109588
China,Electricity,-1512.425227753425
Colombia,Production,351.31242073972606
Colombia,Imports,25.267996082191786
Colombia,Exports,-18.122832575342464
Colombia,Total Consumption,127.52115468493153
Colombia,Oil Products,-163.40497890410958
Colombia,Electricity,-50.23170679452055
Costa Rica,Production,14.408832027397258
Costa Rica,Imports,9.375491726027398
