country,flow,value
Argentina,Electricity output in GWh,7752.0
Argentina,Production,13.388234958904109
Argentina,Electricity,-13.38823495890411
Austria,Electricity output in GWh,24500.0
Austria,Production,42.31317808219178
Austria,Electricity,-42.31317808219179
Belgium,Electricity output in GWh,223.0
Belgium,Production,0.3851362739726028
Belgium,Electricity,-0.3851362739726028
Bolivia,Electricity output in GWh,1259.0
Bolivia,Production,2.174379232876712
Bolivia,Electricity,-2.174379232876712
Brazil,Electricity output in GWh,102746.0
Brazil,Production,177.4493793972603
Brazil,Electricity,-177.4493793972603
Andean,Electricity output in GWh,32544.0
Andean,Production,56.20571704109589
Andean,Electricity,-56.205717041095895
Canada,Electricity output in GWh,235254.0
Canada,Production,406.2997712876712
Canada,Electricity,-406.2997712876712
Central America,Electricity output in GWh,4118.0
Central America,Production,7.112068054794521
Central America,Electricity,-7.112068054794522
Chile,Electricity output in GWh,7251.0
Chile,Production,12.522973643835616
Chile,Electricity,-12.522973643835616
China,Electricity output in GWh,44600.0
China,Production,77.02725479452054
China,Electricity,-77.02725479452054
Colombia,Electricity output in GWh,12070.0
Colombia,Production,20.845716712328766
Colombia,Electricity,-20.845716712328766
Costa Rica,Electricity output in GWh,1478.0
Costa Rica,Production,2.552607232876712
Costa Rica,Electricity,-2.552607232876712
Southern Cone,Electricity output in GWh,119628.0
Southern Cone,Production,206.60574969863012
Southern Cone,Electricity,-206.60574969863015
Cuba,Electricity output in GWh,83.0
Cuba,Production,0.14334668493150685
Cuba,Electricity,-0.14334668493150685
Denmark,Electricity output in GWh,23.0
Denmark,Production,0.03972257534246575
Denmark,Electricity,-0.03972257534246575
Dominican Republic,Electricity output in GWh,744.0
Dominican Republic,Production,1.2849389589041096
Dominican Republic,Electricity,-1.2849389589041096
Ecuador,Electricity output in GWh,791.0
Ecuador,Production,1.3661111780821917
Ecuador,Electricity,-1.3661111780821917
El Salvador,Electricity output in GWh,666.0
El Salvador,Production,1.1502276164383562
El Salvador,Electricity,-1.1502276164383562
Finland,Electricity output in GWh,9742.0
Finland,Production,16.825101260273975
Finland,Electricity,-16.825101260273975
France,Electricity output in GWh,68348.0
France,Production,118.04167736986301
France,Electricity,-118.04167736986301
Germany,Electricity output in GWh,18358.0
Germany,Production,31.705523397260276
Germany,Electricity,-31.705523397260272
Guatemala,Electricity output in GWh,283.0
Guatemala,Production,0.4887603835616439
Guatemala,Electricity,-0.4887603835616439
Haiti,Electricity output in GWh,190.0
Haiti,Production,0.32814301369863014
Haiti,Electricity,-0.32814301369863014
Honduras,Electricity output in GWh,647.0
Honduras,Production,1.117413315068493
Honduras,Electricity,-1.117413315068493
India,Electricity output in GWh,47172.0
India,Production,81.46927495890411
India,Electricity,-81.46927495890411
Italy,Electricity output in GWh,45491.0
Italy,Production,78.56607282191781
Italy,Electricity,-78.5660728219178
Jamaica,Electricity output in GWh,115.0
Jamaica,Production,0.19861287671232877
Jamaica,Electricity,-0.19861287671232877
Japan,Electricity output in GWh,70047.0
Japan,Production,120.97596673972605
Japan,Electricity,-120.97596673972603
LAC,Electricity output in GWh,173591.0
LAC,Production,299.80354679452057
LAC,Electricity,-299.80354679452057
Mexico,Electricity output in GWh,16252.0
Mexico,Production,28.068317150684933
Mexico,Electricity,-28.06831715068493
Nicaragua,Electricity output in GWh,325.0
Nicaragua,Production,0.5612972602739726
Nicaragua,Electricity,-0.5612972602739726
North America,Electricity output in GWh,534729.0
North America,Production,923.5136082739727
North America,Electricity,-923.5136082739725
Norway,Electricity output in GWh,80706.0
Norway,Production,139.38478980821918
Norway,Electricity,-139.38478980821918
Panama,Electricity output in GWh,719.0
Panama,Production,1.2417622465753424
Panama,Electricity,-1.2417622465753424
Paraguay,Electricity output in GWh,248.0
Paraguay,Production,0.4283129863013698
Paraguay,Electricity,-0.4283129863013698
Peru,Electricity output in GWh,6192.0
Peru,Production,10.69400810958904
Peru,Electricity,-10.69400810958904
Portugal,Electricity output in GWh,10811.0
Portugal,Production,18.671337479452053
Portugal,Electricity,-18.671337479452056
Korea,Electricity output in GWh,1808.0
Korea,Production,3.1225398356164384
Korea,Electricity,-3.1225398356164384
Spain,Electricity output in GWh,40251.0
Spain,Production,69.51623391780821
Spain,Electricity,-69.51623391780822
Sweden,Electricity output in GWh,57753.0
Sweden,Production,99.74338668493151
Sweden,Electricity,-99.74338668493151
Switzerland,Electricity output in GWh,31882.0
Switzerland,Production,55.06239769863013
Switzerland,Electricity,-55.062397698630136
United Kingdom,Electricity output in GWh,3995.0
United Kingdom,Production,6.8996386301369865
United Kingdom,Electricity,-6.899638630136987
Uruguay,Electricity output in GWh,1631.0
Uruguay,Production,2.816848712328767
Uruguay,Electricity,-2.816848712328767
USA,Electricity output in GWh,283223.0
USA,Production,489.1455198356164
USA,Electricity,-489.1455198356164
Venezuela,Electricity output in GWh,12232.0
Venezuela,Production,21.12550180821918
Venezuela,Electricity,-21.12550180821918
World,Electricity output in GWh,1599646.0
World,Production,2762.698206794521
World,Electricity,-2762.6982067945205
