country,flow,value
Brazil,Production,2027.7594468972602
Brazil,Imports,751.8254632808221
Brazil,Exports,-4.8342956575342475
Brazil,Total Consumption,870.9707223561645
Brazil,Oil Products,-1190.3474275753424
Brazil,Electricity,-393.8471907465753
Argentina,Production,861.9043106232876
Argentina,Imports,52.11581300684931
Argentina,Exports,-3.356808643835617
Argentina,Total Consumption,202.4860888767123
Argentina,Oil Products,-457.2116619178082
Argentina,Electricity,-199.07043941095887
Austria,Production,153.80315083561644
Austria,Imports,286.0580747465754
Austria,Exports,-0.24733227397260277
Austria,Total Consumption,131.52541821232876
Austria,Oil Products,-169.90601615068493
Austria,Electricity,-116.29205155479451
Belgium,Production,277.35511052054795
Belgium,Imports,788.1435347739726
Belgium,Exports,-36.82058315753425
Belgium,Total Consumption,206.1153325342466
Belgium,Oil Products,-513.6573460890412
Belgium,Electricity,-293.7375450479452
Bolivia,Production,93.1370685479452
Bolivia,Imports,0.9975627945205481
Bolivia,Exports,-42.97103052054795
Bolivia,Total Consumption,18.842056191780824
Bolivia,Oil Products,-23.310248472602737
Bolivia,Electricity,-5.8035023972602735
Andean,Production,3709.580979671233
Andean,Imports,26.156612986301376
Andean,Exports,-1425.9475997602738
Andean,Total Consumption,429.96959642465754
Andean,Electricity,-342.4358309041096
Canada,Production,4831.485345575344
Canada,Imports,543.5381915
Canada,Exports,-1325.514219089041
Canada,Total Consumption,1046.6051385273972
Canada,Oil Products,-1527.105149287671
Canada,Electricity,-1344.2694298424656
Central America,Production,177.63934689041093
Central America,Imports,79.13658278767123
Central America,Exports,-3.3497547739726024
Central America,Total Consumption,143.73559163698633
Central America,Electricity,-40.14053595890411
Chile,Production,138.79992107534247
Chile,Imports,54.219608356164386
Chile,Exports,-0.2011281712328767
Chile,Total Consumption,59.32636413013699
Chile,Oil Products,-82.0018195410959
Chile,Electricity,-38.47258943835616
China,Production,15108.57860380137
China,Imports,107.04391104794523
China,Exports,-680.7387166164385
China,Total Consumption,9654.409592547943
China,Oil Products,-1833.5477180684932
China,Electricity,-2249.7873007123285
Colombia,Production,602.9319263630138
Colombia,Imports,11.863996602739727
Colombia,Exports,-119.96700730136985
Colombia,Total Consumption,153.17983474657535
Colombia,Oil Products,-215.13951141780822
Colombia,Electricity,-80.30213311643836
Costa Rica,Production,20.0591775890411
Costa Rica,Imports,10.46752115068493
Costa Rica,Exports,-0.022160698630136984
Costa Rica,Total Consumption,14.631829705479452
Costa Rica,Oil Products,-10.515818821917808
Costa Rica,Electricity,-5.461121109589041
Southern Cone,Production,3103.562796972603
Southern Cone,Imports,886.7369850342468
Southern Cone,Exports,-8.39223247260274
Southern Cone,Total Consumption,1178.415809212329
Southern Cone,Electricity,-660.6984614726027
Cuba,Production,122.81968264383562
Cuba,Imports,153.6098898630137
Cuba,Exports,-29.25688669178082
Cuba,Total Consumption,92.96928183561643
Cuba,Oil Products,-131.82692219863014
Cuba,Electricity,-73.71240286986301
Denmark,Production,116.36012014383562
Denmark,Imports,249.19579091780824
Denmark,Exports,-33.765936191780824
Denmark,Total Consumption,30.616486219178086
Denmark,Oil Products,-151.7261903150685
Denmark,Electricity,-143.22167830821917
Dominican Republic,Production,30.45257034931507
Dominican Republic,Imports,38.645005095890404
Dominican Republic,Total Consumption,23.305965945205482
Dominican Republic,Oil Products,-37.042988410958905
Dominican Republic,Electricity,-26.181600253424655
Ecuador,Production,290.7374262534247
Ecuador,Imports,3.8282933219178084
Ecuador,Exports,-170.74601406849317
Ecuador,Total Consumption,21.334065410958907
Ecuador,Oil Products,-93.46698381506849
Ecuador,Electricity,-13.155808691780823
El Salvador,Production,38.3604555
El Salvador,Imports,14.034580301369862
El Salvador,Total Consumption,27.097348198630137
El Salvador,Oil Products,-14.075025835616438
El Salvador,Electricity,-12.124266828767123
Finland,Production,215.4657918082192
Finland,Imports,295.0718159109589
Finland,Exports,-3.387484191780822
Finland,Total Consumption,100.30447810273972
Finland,Oil Products,-206.0377148630137
Finland,Electricity,-199.84127426027396
France,Production,1917.7602204246575
France,Imports,2142.8237184315067
France,Exports,-25.598890356164382
France,Total Consumption,831.7138229178082
France,Oil Products,-1554.778660589041
France,Electricity,-1576.1969758150685
Germany,Production,4049.7325717123285
Germany,Imports,2734.3999585890415
Germany,Exports,-268.9628880890411
Germany,Total Consumption,1793.5824444178083
Germany,Oil Products,-2231.8594360958905
Germany,Electricity,-2731.299167767123
Guatemala,Production,58.90087269178081
Guatemala,Imports,12.869587253424656
Guatemala,Exports,-3.3497547739726024
Guatemala,Total Consumption,50.94462962328766
Guatemala,Oil Products,-12.777957232876712
Guatemala,Electricity,-6.134230993150685
Haiti,Production,28.696653787671234
Haiti,Imports,0.48572295205479454
Haiti,Total Consumption,23.721747643835617
Haiti,Electricity,-1.7198991506849315
Honduras,Production,29.680450239726028
Honduras,Imports,6.8319365410958905
Honduras,Total Consumption,27.122345506849317
Honduras,Oil Products,-6.511715952054794
Honduras,Electricity,-2.7737774315068497
India,Production,4935.083659589041
India,Imports,344.11715718493156
India,Exports,-37.505134869863014
India,Total Consumption,3314.834382863014
India,Oil Products,-885.1616374999999
India,Electricity,-935.5660611849316
Israel,Production,5.229071383561644
Israel,Imports,178.42751769178082
Israel,Total Consumption,5.532488198630137
Israel,Oil Products,-146.09969737671233
Israel,Electricity,-73.31781290410957
Italy,Production,474.011580109589
Italy,Imports,2127.300364924657
Italy,Exports,-8.984978445205481
Italy,Total Consumption,555.1346531438355
Italy,Oil Products,-1604.447955561644
Italy,Electricity,-733.6181750479452
Jamaica,Production,5.202266678082192
Jamaica,Imports,14.648372410958904
Jamaica,Total Consumption,0.9741871232876713
Jamaica,Oil Products,-14.648372410958904
Jamaica,Electricity,-11.451940150684933
Japan,Production,1339.8698182465755
Japan,Imports,5382.870618369864
Japan,Exports,-55.17173017123287
Japan,Total Consumption,762.7706293219179
Japan,Oil Products,-3180.60117730137
Japan,Electricity,-2794.699822027397
LAC,Production,11145.978249164384
LAC,Imports,1111.0971092945206
LAC,Exports,-3110.460994705479
LAC,Total Consumption,2320.5328559589043
LAC,Electricity,-1549.872259821918
Mexico,Production,3820.336270541096
Mexico,Imports,6.707974191780822
Mexico,Exports,-1580.6176184863014
Mexico,Total Consumption,466.4124486164383
Mexico,Oil Products,-1314.4994883356162
Mexico,Electricity,-415.30936045890417
Netherlands,Production,1272.8777601986303
Netherlands,Imports,1123.5875999931507
Netherlands,Exports,-604.7893031780822
Netherlands,Total Consumption,497.52324794520547
Netherlands,Oil Products,-1299.2663476027396
Netherlands,Electricity,-283.30528320547944
Nicaragua,Production,24.972441445205476
Nicaragua,Imports,9.944525650684932
Nicaragua,Total Consumption,19.017147801369862
Nicaragua,Oil Products,-9.93946995890411
Nicaragua,Electricity,-8.275670410958904
North America,Production,40313.46324541781
North America,Imports,5791.98441180137
North America,Exports,-4069.066350410959
North America,Total Consumption,9926.387008404112
North America,Oil Products,-16856.15280207534
North America,Electricity,-13582.059518136986
Norway,Production,1523.942460130137
Norway,Imports,58.19256374657534
Norway,Exports,-1164.567009267123
Norway,Total Consumption,33.64326914383562
Norway,Oil Products,-163.56629915068496
Norway,Electricity,-178.49283502054794
Panama,Production,12.06274001369863
Panama,Imports,27.152026986301372
Panama,Total Consumption,8.120475232876712
Panama,Oil Products,-27.002399595890413
Panama,Electricity,-7.8672136917808215
Paraguay,Production,51.3985373630137
Paraguay,Imports,4.221502636986302
Paraguay,Total Consumption,34.23238526027397
Paraguay,Oil Products,-4.1153331095890415
Paraguay,Electricity,-15.975659691780821
Peru,Production,281.7778367191781
Peru,Imports,3.0978136369863014
Peru,Exports,-15.777252657534246
Peru,Total Consumption,69.74001982191781
Peru,Oil Products,-176.13796708904107
Peru,Electricity,-34.018720780821916
Portugal,Production,37.56465848630137
Portugal,Imports,182.38286602054794
Portugal,Total Consumption,26.36065809589041
Portugal,Oil Products,-159.37450811643836
Portugal,Electricity,-62.0242710410959
Korea,Production,336.6798630547945
Korea,Imports,808.670346280822
Korea,Total Consumption,256.4834727191781
Korea,Oil Products,-571.6214347397259
Korea,Electricity,-309.39966147945205
Spain,Production,541.0100895616438
Spain,Imports,1064.2843605068495
Spain,Exports,-1.179964321917808
Spain,Total Consumption,122.83086340410958
Spain,Oil Products,-975.8848717808218
Spain,Electricity,-528.6623581438356
Sweden,Production,550.3800536643836
Sweden,Imports,365.54415795890407
Sweden,Exports,-9.577001458904109
Sweden,Total Consumption,114.47182177397261
Sweden,Oil Products,-309.4903878013699
Sweden,Electricity,-483.36872675342465
Switzerland,Production,193.09751360273972
Switzerland,Imports,131.88941797945208
Switzerland,Exports,-0.12361091095890411
Switzerland,Total Consumption,50.30017200684932
Switzerland,Oil Products,-90.99499654109589
Switzerland,Electricity,-184.79031415068494
Trinidad & Tobago,Production,249.7627865
Trinidad & Tobago,Imports,11.61958628767123
Trinidad & Tobago,Exports,-91.31454437671233
Trinidad & Tobago,Total Consumption,39.61459339726028
Trinidad & Tobago,Oil Products,-94.63326212328766
Trinidad & Tobago,Electricity,-21.05628351369863
United Kingdom,Production,4684.791837869863
United Kingdom,Imports,1151.140593041096
United Kingdom,Exports,-1775.099407609589
United Kingdom,Total Consumption,1109.6833229931508
United Kingdom,Oil Products,-1646.3997295
United Kingdom,Electricity,-1413.6338976164384
Uruguay,Production,23.70058101369863
Uruguay,Imports,24.354597753424667
Uruguay,Total Consumption,11.400248589041096
Uruguay,Oil Products,-23.356497760273975
Uruguay,Electricity,-13.332582184931507
USA,Production,31661.641629301368
USA,Imports,5241.7382461095885
USA,Exports,-1162.9345128356165
USA,Total Consumption,8413.369421260275
USA,Oil Products,-14014.548164452057
USA,Electricity,-11822.480727835617
Venezuela,Production,2440.9967217876706
Venezuela,Imports,6.368946630136987
Venezuela,Exports,-1076.4862952123285
Venezuela,Total Consumption,166.87362025342466
Venezuela,Oil Products,-960.9574171506849
Venezuela,Electricity,-209.15566591780822
World,Production,157859.23135802738
World,Imports,33653.602721787676
World,Exports,-32012.997387410953
World,Total Consumption,49501.66044814384
World,Oil Products,-58725.74348832877
World,Electricity,-46422.100248267125
