country,flow,value
Brazil,Industry,365.169504589041
Brazil,Transport,95.1892024589041
Brazil,Residential,229.7886218493151
Brazil,Commercial,4.788191965753425
Brazil,Other,53.155463054794524
Brazil,Electricity output in GWh,3442.5
Brazil,Production,1030.6850613219178
Brazil,Exports,-4.591486897260275
Brazil,Total Consumption,748.0910040000001
Brazil,Electricity,-13.73311145890411
Argentina,Industry,27.342988547945204
Argentina,Residential,5.008056821917809
Argentina,Electricity output in GWh,106.5
Argentina,Production,39.0862811369863
Argentina,Total Consumption,32.351050390410954
Argentina,Electricity,-1.7543601917808218
Austria,Industry,7.408405897260275
Austria,Transport,0.03117258219178082
Austria,Residential,22.006773650684934
Austria,Commercial,0.04267967808219179
Austria,Other,4.83339195890411
Austria,Electricity output in GWh,1013.5
Austria,Production,37.92454140410959
Austria,Imports,2.3550135273972606
Austria,Exports,-0.14734806164383565
Austria,Total Consumption,34.32242878767123
Austria,Electricity,-4.314402856164383
Belgium,Electricity output in GWh,388.25
Belgium,Production,3.393749835616438
Belgium,Electricity,-3.3224078493150686
Bolivia,Industry,2.067160410958904
Bolivia,Residential,14.660326335616436
Bolivia,Electricity output in GWh,25.75
Bolivia,Production,17.137419506849312
Bolivia,Total Consumption,16.727486746575345
Bolivia,Electricity,-0.29792935616438354
Andean,Industry,37.33860329452055
Andean,Residential,156.05106603424656
Andean,Other,19.237655287671235
Andean,Electricity output in GWh,1661.424808219178
Andean,Production,219.061267260274
Andean,Total Consumption,212.62731457534247
Andean,Electricity,-2.7284770273972603
Canada,Industry,123.82549419863014
Canada,Residential,38.85189685616439
Canada,Electricity output in GWh,2026.25
Canada,Production,172.02142904794522
Canada,Total Consumption,162.67738603424658
Canada,Electricity,-9.344027952054796
Central America,Industry,20.626474404109594
Central America,Transport,0.022065308219178077
Central America,Residential,122.7420699931507
Central America,Other,0.03693617123287671
Central America,Electricity output in GWh,1661.424808219178
Central America,Production,148.8866186027397
Central America,Total Consumption,143.42752579452056
Central America,Electricity,-2.909618397260274
Chile,Industry,13.553757404109588
Chile,Residential,30.494557191780824
Chile,Electricity output in GWh,236.75
Chile,Production,45.958296712328774
Chile,Total Consumption,44.048319616438356
Chile,Electricity,-1.6338670410958902
China,Residential,3811.813187527397
China,Other,0.2843889383561644
China,Production,3811.813187527397
China,Imports,0.30654963698630133
China,Exports,-0.022160698630136984
China,Total Consumption,3812.097576465753
Colombia,Industry,17.28495834931507
Colombia,Residential,66.14509160958904
Colombia,Other,16.543950575342468
Colombia,Electricity output in GWh,290.75
Colombia,Production,103.07853668493152
Colombia,Total Consumption,99.97401057534246
Colombia,Electricity,-1.4323372260273972
Costa Rica,Industry,3.477788787671233
Costa Rica,Residential,11.141665267123289
Costa Rica,Electricity output in GWh,10.0
Costa Rica,Production,15.02865883561644
Costa Rica,Exports,-0.022160698630136984
Costa Rica,Total Consumption,14.619459075342466
Costa Rica,Electricity,-0.07012701369863014
Southern Cone,Industry,422.36189987671224
Southern Cone,Transport,95.63243149315068
Southern Cone,Residential,293.8097505684932
Southern Cone,Commercial,4.951962239726028
Southern Cone,Other,53.174290109589045
Southern Cone,Electricity output in GWh,1661.424808219178
Southern Cone,Production,1163.3955698356165
Southern Cone,Exports,-4.591486897260275
Southern Cone,Total Consumption,869.930369431507
Southern Cone,Electricity,-17.84199818493151
Cuba,Industry,54.95585665068492
Cuba,Residential,26.00083040410959
Cuba,Commercial,0.2942141506849315
Cuba,Other,3.8118259246575343
Cuba,Electricity output in GWh,1161.5
Cuba,Production,100.44590693835617
Cuba,Total Consumption,85.06271708904109
Cuba,Electricity,-13.368293342465753
Denmark,Industry,2.26461354109589
Denmark,Residential,7.221611390410959
Denmark,Commercial,0.49885670547945205
Denmark,Other,1.6749903493150684
Denmark,Electricity output in GWh,45.25
Denmark,Production,19.916358061643837
Denmark,Total Consumption,11.660077006849315
Denmark,Electricity,-0.22012090410958904
Dominican Republic,Industry,10.415146794520547
Dominican Republic,Residential,12.867599116438356
Dominican Republic,Electricity output in GWh,73.5
Dominican Republic,Production,28.1996095
Dominican Republic,Total Consumption,23.282750931506854
Dominican Republic,Electricity,-1.0232730205479452
Ecuador,Industry,4.339083869863014
Ecuador,Residential,16.994986561643834
Ecuador,Production,21.334065410958907
Ecuador,Total Consumption,21.334065410958907
El Salvador,Industry,3.247481191780822
El Salvador,Residential,23.84987704794521
El Salvador,Electricity output in GWh,23.75
El Salvador,Production,28.21483682191781
El Salvador,Total Consumption,27.097348198630137
El Salvador,Electricity,-0.9877777465753423
Finland,Industry,44.69740115753425
Finland,Residential,11.80575824657534
Finland,Other,3.5301832260273978
Finland,Production,74.6329153150685
Finland,Total Consumption,60.03334765068494
Finland,Electricity,-14.338087486301369
France,Industry,24.37174292465753
France,Residential,162.27611371917808
France,Commercial,0.5306367739726028
France,Other,0.803267589041096
France,Electricity output in GWh,298.0
France,Production,210.91648755479451
France,Total Consumption,187.9817610068493
France,Electricity,-9.31070155479452
Germany,Industry,0.47440663698630137
Germany,Residential,12.944960739726028
Germany,Commercial,10.631667965753426
Germany,Other,27.375004582191778
Germany,Electricity output in GWh,4374.75
Germany,Production,94.47003406849315
Germany,Exports,-0.7458375410958904
Germany,Total Consumption,51.42602988356165
Germany,Electricity,-42.222988958904104
Guatemala,Industry,3.981329664383562
Guatemala,Transport,0.022065308219178077
Guatemala,Residential,46.9361438150685
Guatemala,Electricity output in GWh,106.0
Guatemala,Production,52.93030654109588
Guatemala,Total Consumption,50.939538787671225
Guatemala,Electricity,-0.9654764726027396
Haiti,Industry,2.513507205479452
Haiti,Residential,20.59333878767123
Haiti,Commercial,0.14773464383561646
Haiti,Electricity output in GWh,15.75
Haiti,Production,28.241571239726028
Haiti,Total Consumption,23.254585657534246
Haiti,Electricity,-0.13151827397260274
Honduras,Industry,4.802580856164384
Honduras,Residential,22.317123842465755
Honduras,Production,27.368769061643835
Honduras,Total Consumption,27.11970469863014
India,Industry,425.1242153972603
India,Residential,2006.9121537328765
India,Commercial,89.01451589041096
India,Production,2521.050890041096
India,Total Consumption,2521.050890041096
Israel,Residential,0.05131000000000001
Israel,Production,0.05131000000000001
Israel,Total Consumption,0.05131000000000001
Italy,Industry,2.441095842465753
Italy,Residential,13.961149767123285
Italy,Electricity output in GWh,751.25
Italy,Production,17.479700383561646
Italy,Imports,2.5504383561643835
Italy,Total Consumption,16.40224560958904
Italy,Electricity,-2.7758308356164383
Jamaica,Residential,0.9741871232876713
Jamaica,Electricity output in GWh,56.75
Jamaica,Production,4.954000582191781
Jamaica,Total Consumption,0.9741871232876713
Jamaica,Electricity,-3.058412376712329
Japan,Industry,46.18476860958904
Japan,Residential,2.4918083972602743
Japan,Electricity output in GWh,12537.0
Japan,Production,92.54349920547945
Japan,Total Consumption,48.676577006849314
Japan,Electricity,-43.86667619178082
LAC,Industry,536.7460980273974
LAC,Transport,95.65449680136986
LAC,Residential,722.1418300136986
LAC,Commercial,5.099696883561645
LAC,Other,73.4159144109589
LAC,Electricity output in GWh,1661.424808219178
LAC,Production,1754.2607748904109
LAC,Imports,0.0036951232876712326
LAC,Exports,-4.591486897260275
LAC,Total Consumption,1433.058066260274
LAC,Electricity,-29.63001883561644
Mexico,Industry,37.485499506849315
Mexico,Residential,109.91049832876713
Mexico,Production,147.39601289726028
Mexico,Total Consumption,147.39601289726028
Netherlands,Electricity output in GWh,428.25
Netherlands,Production,1.6735494520547944
Netherlands,Electricity,-1.6735494520547944
Nicaragua,Industry,3.9319375136986308
Nicaragua,Residential,15.048284157534246
Nicaragua,Other,0.03693617123287671
Nicaragua,Electricity output in GWh,0.8986780821917808
Nicaragua,Production,19.852100068493147
Nicaragua,Total Consumption,19.017147801369862
Nicaragua,Electricity,-0.22071834931506848
North America,Industry,1060.4550480136984
North America,Residential,148.7623951849315
North America,Other,455.8677867465754
North America,Electricity output in GWh,3197.75
North America,Production,1680.1991376849317
North America,Total Consumption,1665.0852349657534
North America,Electricity,-15.11388765753425
Norway,Industry,6.342694184931507
Norway,Residential,8.707542965753426
Norway,Electricity output in GWh,25.75
Norway,Production,16.57717154109589
Norway,Imports,0.030093164383561643
Norway,Exports,-0.0016818835616438357
Norway,Total Consumption,15.05023715068493
Norway,Electricity,-0.49886172602739726
Panama,Industry,1.8485908561643836
Panama,Residential,5.984161794520549
Panama,Electricity output in GWh,1.1898698630136986
Panama,Production,8.80333
Panama,Total Consumption,7.832752650684931
Panama,Electricity,-0.6814590547945206
Paraguay,Industry,12.197541726027396
Paraguay,Transport,0.4432290342465754
Paraguay,Residential,21.519198116438357
Paraguay,Commercial,0.07241638356164383
Paraguay,Electricity output in GWh,33.75
Paraguay,Production,36.105345856164384
Paraguay,Total Consumption,34.23238526027397
Paraguay,Electricity,-0.40390810273972605
Peru,Industry,7.2880382602739715
Peru,Residential,55.48048884931507
Peru,Other,2.693704712328767
Peru,Electricity output in GWh,150.25
Peru,Production,68.02034157534247
