country,flow,value
Central America,Electricity output in GWh,669.0
Central America,Production,11.549790630136986
Central America,Electricity,-11.549790630136986
El Salvador,Electricity output in GWh,435.0
El Salvador,Production,7.509956520547945
El Salvador,Electricity,-7.509956520547945
France,Residential,2.1230290684931505
France,Other,0.08824115068493152
France,Production,2.211270219178082
France,Total Consumption,2.211270219178082
Italy,Electricity output in GWh,2986.0
Italy,Production,51.55106663013698
Italy,Electricity,-51.55106663013698
Japan,Electricity output in GWh,1410.0
Japan,Production,24.342608684931506
Japan,Electricity,-24.342608684931506
LAC,Electricity output in GWh,5087.0
LAC,Production,87.82328043835616
LAC,Electricity,-87.82328043835616
Mexico,Electricity output in GWh,4418.0
Mexico,Production,76.27348980821918
Mexico,Electricity,-76.27348980821918
Nicaragua,Electricity output in GWh,234.0
Nicaragua,Production,4.039834109589041
Nicaragua,Electricity,-4.039834109589041
North America,Electricity output in GWh,15840.0
North America,Production,273.46585268493146
North America,Electricity,-273.46585268493146
Portugal,Electricity output in GWh,1.0
Portugal,Production,0.0163067397260274
Portugal,Electricity,-0.0163067397260274
USA,Electricity output in GWh,11422.0
USA,Production,197.1923628767123
USA,Electricity,-197.1923628767123
World,Industry,0.6378104109589041
World,Residential,17.663271698630137
World,Commercial,0.3903576438356164
World,Other,0.6354206301369862
World,Electricity output in GWh,28008.0
World,Production,519.9903606575343
World,Total Consumption,19.326880465753426
World,Electricity,-498.5054478630137
