country,flow,value
Argentina,Production,1647.4736247054793
Argentina,Imports,35.79429780821918
Argentina,Exports,-371.5545973013699
Argentina,Total Consumption,366.8994096917809
Argentina,Oil Products,-579.0097534246576
Argentina,Electricity,-304.1621354931507
Austria,Production,196.45292151369864
Austria,Imports,345.1641773972603
Austria,Exports,-10.545098657534247
Austria,Total Consumption,157.68948169178083
Austria,Oil Products,-191.1860253219178
Austria,Electricity,-158.36701969863014
Belgium,Production,273.42772162328765
Belgium,Imports,1173.5843752671233
Belgium,Exports,-82.36444869863014
Belgium,Total Consumption,261.7551836164384
Belgium,Oil Products,-825.1146992260273
Belgium,Electricity,-387.91652289041093
Bolivia,Production,120.53745702054796
Bolivia,Exports,-45.79695638356164
Bolivia,Total Consumption,20.784335493150685
Bolivia,Oil Products,-32.30490653424657
Bolivia,Electricity,-13.577660232876712
Brazil,Production,3057.5646471506852
Brazil,Imports,690.1405009520548
Brazil,Exports,-100.63618570547945
Brazil,Total Consumption,968.6730454383562
Brazil,Oil Products,-1737.3022073835616
Brazil,Electricity,-746.3185497534247
Andean,Production,6503.549021691781
Andean,Imports,83.29863209589041
Andean,Exports,-3507.3887735890407
Andean,Total Consumption,492.3830402602739
Andean,Electricity,-455.7881106506849
Canada,Production,7521.785102205478
Canada,Imports,1246.629145671233
Canada,Exports,-3611.0679937328764
Canada,Total Consumption,1287.648031513699
Canada,Oil Products,-1935.0293188630135
Canada,Electricity,-1775.7387794109588
Central America,Production,252.09574978082193
Central America,Imports,104.09974123972601
Central America,Exports,-22.389409691780823
Central America,Total Consumption,165.00986734246572
Central America,Electricity,-109.4513039520548
Chile,Production,164.79859766438355
Chile,Imports,328.76902080136983
Chile,Exports,-0.603379493150685
Chile,Total Consumption,155.35630754794522
Chile,Oil Products,-201.5077849041096
Chile,Electricity,-128.13854150684932
China,Production,22044.62186971918
China,Imports,1380.407675349315
China,Exports,-1242.9006106369864
China,Total Consumption,9686.715839568493
China,Oil Products,-4038.774773972603
China,Electricity,-6834.084974136986
Colombia,Production,1465.1185926027397
Colombia,Imports,4.2820253424657535
Colombia,Exports,-848.9195570205479
Colombia,Total Consumption,166.39429347945202
Colombia,Oil Products,-312.067148890411
Colombia,Electricity,-106.0906345068493
Costa Rica,Production,25.446155246575344
