country,flow,value
Austria,Residential,0.004217260273972603
Austria,Production,0.004217260273972603
Austria,Total Consumption,0.004217260273972603
Finland,Industry,5.400884575342467
Finland,Residential,0.22972019178082193
Finland,Commercial,0.039100027397260276
Finland,Other,0.23460016438356168
Finland,Electricity output in GWh,6604.0
Finland,Production,43.94027742465753
Finland,Exports,-0.1710601095890411
Finland,Total Consumption,5.904325041095889
Finland,Electricity,-35.594439835616434
Germany,Residential,0.008032876712328768
Germany,Other,0.032131506849315074
Germany,Production,0.5824839726027398
Germany,Exports,-0.5423195890410959
Germany,Total Consumption,0.040164383561643834
Sweden,Industry,0.1346912602739726
Sweden,Electricity output in GWh,82.0
Sweden,Production,4.820529315068493
Sweden,Imports,2.062521424657534
Sweden,Total Consumption,0.1346912602739726
Sweden,Electricity,-3.9090588767123284
World,Industry,6.945104712328767
World,Residential,6.302394246575343
World,Commercial,0.06420276712328768
World,Other,0.3769427397260274
World,Electricity output in GWh,9693.0
World,Production,89.63895156164385
World,Imports,2.084531506849315
World,Exports,-1.2494336438356166
World,Total Consumption,13.688644465753425
World,Electricity,-56.353783041095895
Europe,Industry,5.88474490410959
Europe,Residential,6.361355561643836
Europe,Commercial,0.11850501369863013
Europe,Other,0.5646108219178082
Europe,Electricity output in GWh,8826.0
Europe,Production,65.66053342465754
Europe,Imports,2.075173205479452
Europe,Exports,-2.2229781369863013
Europe,Total Consumption,12.929216301369863
Europe,Electricity,-51.32970063013699
