country,flow,value
Argentina,Electricity output in GWh,78.0
Argentina,Production,0.13471134246575342
Argentina,Electricity,-0.13471134246575342
Austria,Residential,0.9068515342465754
Austria,Commercial,0.662752493150685
Austria,Other,0.01727068493150685
Austria,Electricity output in GWh,387.0
Austria,Production,2.255250219178082
Austria,Total Consumption,1.5868747123287672
Austria,Electricity,-0.668375506849315
Belgium,Residential,0.04412057534246576
Belgium,Commercial,0.00576358904109589
Belgium,Electricity output in GWh,88.0
Belgium,Production,0.2018661917808219
Belgium,Total Consumption,0.04988416438356164
Belgium,Electricity,-0.15198202739726027
Brazil,Other,1.45403101369863
Brazil,Electricity output in GWh,61.0
Brazil,Production,1.5593821917808222
Brazil,Total Consumption,1.45403101369863
Brazil,Electricity,-0.10535117808219178
Andean,Residential,1.1111476712328767
Andean,Electricity output in GWh,1.0
Andean,Production,1.1128747397260275
Andean,Total Consumption,1.1111476712328767
Andean,Electricity,-0.0017270684931506848
Canada,Electricity output in GWh,882.0
Canada,Production,1.5232744109589043
Canada,Electricity,-1.5232744109589043
Central America,Electricity output in GWh,306.0
Central America,Production,0.5284829589041096
Central America,Electricity,-0.5284829589041096
Chile,Electricity output in GWh,7.0
Chile,Production,0.012089479452054795
Chile,Electricity,-0.012089479452054795
China,Other,35.92260293150685
China,Electricity output in GWh,1102.0
China,Production,37.8258324109589
China,Total Consumption,35.92260293150685
China,Electricity,-1.9032294794520548
Costa Rica,Electricity output in GWh,306.0
Costa Rica,Production,0.5284829589041096
Costa Rica,Electricity,-0.5284829589041096
Southern Cone,Other,1.45403101369863
Southern Cone,Electricity output in GWh,146.0
Southern Cone,Production,1.7061830136986305
Southern Cone,Total Consumption,1.45403101369863
Southern Cone,Electricity,-0.25215200000000004
Denmark,Residential,0.1352334794520548
Denmark,Commercial,0.023496164383561644
Denmark,Electricity output in GWh,5582.0
Denmark,Production,9.79038980821918
Denmark,Total Consumption,0.15872964383561644
Denmark,Electricity,-9.60768202739726
Finland,Residential,0.0081533698630137
Finland,Electricity output in GWh,95.0
Finland,Production,0.17222487671232878
Finland,Total Consumption,0.0081533698630137
Finland,Electricity,-0.16407150684931507
France,Residential,0.35007276712328766
France,Electricity output in GWh,934.0
France,Production,1.9631547397260274
France,Total Consumption,0.35007276712328766
France,Electricity,-1.6130819726027397
Germany,Residential,3.5602713698630133
Germany,Commercial,0.2086138082191781
Germany,Electricity output in GWh,19192.0
Germany,Production,36.91478369863014
Germany,Total Consumption,3.7688851780821917
Germany,Electricity,-33.145898520547945
India,Other,1.032505808219178
India,Electricity output in GWh,3607.0
India,Production,7.262041863013698
India,Total Consumption,1.032505808219178
India,Electricity,-6.22953605479452
Israel,Residential,13.85072783561644
Israel,Electricity output in GWh,12.0
Israel,Production,13.871452657534249
Israel,Total Consumption,13.85072783561644
Israel,Electricity,-0.02072482191780822
Italy,Residential,0.32274090410958906
Italy,Electricity output in GWh,2370.0
Italy,Production,2.882256410958904
Italy,Total Consumption,0.32274090410958906
Italy,Electricity,-2.559515506849315
Japan,Residential,12.40629610958904
Japan,Commercial,0.3611179726027397
Japan,Electricity output in GWh,1736.0
Japan,Production,15.76558490410959
Japan,Total Consumption,12.767394
Japan,Electricity,-2.9981909041095887
LAC,Industry,0.06233512328767123
LAC,Residential,1.874130383561644
LAC,Commercial,0.5140840273972602
LAC,Other,1.45403101369863
LAC,Electricity output in GWh,480.0
LAC,Production,4.733593506849315
LAC,Total Consumption,3.904600630136986
LAC,Electricity,-0.8289928767123288
Mexico,Industry,0.06233512328767123
Mexico,Residential,0.7629827123287671
Mexico,Commercial,0.5140840273972602
Mexico,Electricity output in GWh,27.0
Mexico,Production,1.386052794520548
Mexico,Total Consumption,1.3394219452054796
Mexico,Electricity,-0.046630849315068494
Netherlands,Residential,0.26327753424657535
Netherlands,Commercial,0.04940219178082192
Netherlands,Electricity output in GWh,1570.0
Netherlands,Production,3.024177260273973
Netherlands,Total Consumption,0.31267972602739724
Netherlands,Electricity,-2.711497534246575
North America,Industry,0.06233512328767123
North America,Residential,26.154865835616437
North America,Commercial,0.5140840273972602
North America,Electricity output in GWh,14196.0
North America,Production,51.09030082191781
North America,Total Consumption,26.731305068493146
North America,Electricity,-24.358995753424658
Norway,Electricity output in GWh,255.0
Norway,Production,0.3765009315068493
Norway,Electricity,-0.3765009315068493
Peru,Residential,1.1111476712328767
Peru,Electricity output in GWh,1.0
Peru,Production,1.1128747397260275
Peru,Total Consumption,1.1111476712328767
Peru,Electricity,-0.0017270684931506848
Portugal,Residential,0.24554495890410963
Portugal,Commercial,0.1620833698630137
Portugal,Electricity output in GWh,499.0
Portugal,Production,1.2694355068493153
Portugal,Total Consumption,0.40762832876712324
Portugal,Electricity,-0.8618071780821918
Korea,Industry,0.0014459178082191781
Korea,Residential,0.5711576164383562
Korea,Commercial,0.08824115068493152
Korea,Electricity output in GWh,33.0
Korea,Production,0.7178379452054795
Korea,Total Consumption,0.6608446849315068
Korea,Electricity,-0.0569932602739726
Spain,Industry,0.010543150684931507
Spain,Residential,0.6147962191780822
Spain,Commercial,0.2479347397260274
Spain,Other,0.026388
Spain,Electricity output in GWh,12116.0
Spain,Production,21.82626989041096
Spain,Total Consumption,0.899662109589041
Spain,Electricity,-20.9251618630137
Sweden,Residential,0.08585136986301371
Sweden,Other,0.009599287671232876
Sweden,Electricity output in GWh,681.0
Sweden,Production,1.271564219178082
Sweden,Total Consumption,0.09543057534246575
Sweden,Electricity,-1.1761336438356165
United Kingdom,Other,0.39660320547945205
United Kingdom,Electricity output in GWh,1288.0
United Kingdom,Production,2.6210674246575345
United Kingdom,Total Consumption,0.39660320547945205
United Kingdom,Electricity,-2.224464219178082
USA,Residential,25.39188312328767
USA,Electricity output in GWh,13287.0
USA,Production,48.18097361643835
USA,Total Consumption,25.39188312328767
USA,Electricity,-22.789090493150685
World,Industry,2.485090904109589
