country,flow,value
Argentina,Electricity output in GWh,33181.5
Argentina,Production,57.30672320547945
Argentina,Electricity,-57.30672320547946
Austria,Electricity output in GWh,36992.75
Austria,Production,63.889013000000006
Austria,Electricity,-63.889013
Belgium,Electricity output in GWh,361.5
Belgium,Production,0.6243352602739726
Belgium,Electricity,-0.6243352602739726
Bolivia,Electricity output in GWh,2188.0
Bolivia,Production,3.778825863013698
Bolivia,Electricity,-3.778825863013698
Brazil,Electricity output in GWh,357458.25
Brazil,Production,617.3548811917809
Brazil,Electricity,-617.3548811917808
Andean,Electricity output in GWh,103854.70723972602
Andean,Production,268.42832524657535
Andean,Electricity,-268.42832524657535
Canada,Electricity output in GWh,364589.5
Canada,Production,629.6710383835616
Canada,Electricity,-629.6710383835617
Central America,Electricity output in GWh,103854.70723972602
Central America,Production,31.942131780821917
Central America,Electricity,-31.942131780821917
Chile,Electricity output in GWh,25733.75
Chile,Production,44.44394883561644
Chile,Electricity,-44.44394883561643
China,Electricity output in GWh,475813.5
China,Production,821.7625044657533
China,Electricity,-821.7625044657533
Colombia,Electricity output in GWh,43348.25
Colombia,Production,74.86539680821917
Colombia,Electricity,-74.86539680821919
Costa Rica,Electricity output in GWh,6830.75
Costa Rica,Production,11.797173109589043
Costa Rica,Electricity,-11.797173109589043
Croatia,Electricity output in GWh,5446.25
Croatia,Production,9.406046780821917
Croatia,Electricity,-9.406046780821917
Southern Cone,Electricity output in GWh,103854.70723972602
Southern Cone,Production,821.4278849452056
Southern Cone,Electricity,-821.4278849452054
Cuba,Electricity output in GWh,105.25
Cuba,Production,0.1817739589041096
Cuba,Electricity,-0.1817739589041096
Denmark,Electricity output in GWh,25.0
Denmark,Production,0.043176712328767124
Denmark,Electricity,-0.043176712328767124
Dominican Republic,Electricity output in GWh,1685.75
Dominican Republic,Production,2.911405712328767
Dominican Republic,Electricity,-2.911405712328767
Ecuador,Electricity output in GWh,8586.0
Ecuador,Production,14.828610082191782
Ecuador,Electricity,-14.828610082191778
El Salvador,Electricity output in GWh,1852.0
El Salvador,Production,3.198530849315068
El Salvador,Electricity,-3.198530849315068
Finland,Electricity output in GWh,14141.75
Finland,Production,24.4237708630137
Finland,Electricity,-24.4237708630137
France,Electricity output in GWh,57359.75
France,Production,99.06421700000001
France,Electricity,-99.064217
Germany,Electricity output in GWh,20339.25
Germany,Production,35.12727784931507
Germany,Electricity,-35.12727784931507
Haiti,Electricity output in GWh,217.75
Haiti,Production,0.3760691643835617
Haiti,Electricity,-0.3760691643835617
Honduras,Electricity output in GWh,2073.25
Honduras,Production,3.5806447534246577
Honduras,Electricity,-3.5806447534246577
India,Electricity output in GWh,111571.0
India,Production,192.69075884931507
India,Electricity,-192.69075884931507
Israel,Electricity output in GWh,18.25
Israel,Production,0.031519000000000005
Israel,Electricity,-0.031519
Italy,Electricity output in GWh,36875.0
Italy,Production,63.68565068493151
Italy,Electricity,-63.6856506849315
Jamaica,Electricity output in GWh,159.0
Jamaica,Production,0.2746038904109589
Jamaica,Electricity,-0.2746038904109589
Japan,Electricity output in GWh,78612.75
Japan,Production,135.7696036849315
Japan,Electricity,-135.7696036849315
LAC,Electricity output in GWh,103854.70723972602
LAC,Production,1179.0001457671235
LAC,Electricity,-1179.0001457671235
Mexico,Electricity output in GWh,31126.75
Mexico,Production,53.758029219178084
Mexico,Electricity,-53.758029219178084
Netherlands,Electricity output in GWh,100.75
Netherlands,Production,0.1740021506849315
Netherlands,Electricity,-0.1740021506849315
Nicaragua,Electricity output in GWh,395.25
Nicaragua,Production,0.6826238219178082
Nicaragua,Electricity,-0.6826238219178082
North America,Electricity output in GWh,663378.0
North America,Production,1145.6992428493152
North America,Electricity,-1145.6992428493154
Norway,Electricity output in GWh,131939.25
Norway,Production,227.8681216849315
Norway,Electricity,-227.86812168493148
Panama,Electricity output in GWh,3735.75
Panama,Production,6.451896123287671
Panama,Electricity,-6.451896123287671
Paraguay,Electricity output in GWh,53534.75
Paraguay,Production,92.45818001369865
Paraguay,Electricity,-92.45818001369865
Peru,Electricity output in GWh,19119.75
Peru,Production,33.02111782191781
Peru,Electricity,-33.02111782191781
Portugal,Electricity output in GWh,8155.75
Portugal,Production,14.0855388630137
Portugal,Electricity,-14.0855388630137
Slovenia,Electricity output in GWh,3584.0
Slovenia,Production,6.189813479452055
Slovenia,Electricity,-6.189813479452055
Korea,Electricity output in GWh,3460.5
Korea,Production,5.976520520547945
Korea,Electricity,-5.976520520547945
Spain,Electricity output in GWh,23631.75
Spain,Production,40.8136508630137
Spain,Electricity,-40.813650863013706
Sweden,Electricity output in GWh,67438.5
Sweden,Production,116.47090857534248
Sweden,Electricity,-116.47090857534248
Switzerland,Electricity output in GWh,33367.75
Switzerland,Production,57.62838971232877
Switzerland,Electricity,-57.62838971232877
United Kingdom,Electricity output in GWh,4943.25
United Kingdom,Production,8.537331328767124
United Kingdom,Electricity,-8.537331328767126
Uruguay,Electricity output in GWh,5711.5
Uruguay,Production,9.864151698630138
Uruguay,Electricity,-9.864151698630138
USA,Electricity output in GWh,267661.75
USA,Production,462.2701752465753
USA,Electricity,-462.2701752465754
Venezuela,Electricity output in GWh,82182.25
Venezuela,Production,141.9343746712329
Venezuela,Electricity,-141.9343746712329
World,Electricity output in GWh,3061361.25
World,Production,5287.180561027397
World,Electricity,-5287.180561027398
Guatemala,Electricity output in GWh,3608.0
Guatemala,Production,6.231263123287671
Guatemala,Electricity,-6.231263123287671
Europe,Electricity output in GWh,318968.5
Europe,Production,550.8804466575343
Europe,Electricity,-550.8804466575343
