country,flow,value
Argentina,Industry,91.2072452260274
Argentina,Transport,223.81666500684932
Argentina,Residential,22.676805938356164
Argentina,Commercial,5.491078719178082
Argentina,Other,125.10588956164383
Argentina,Electricity output in GWh,9708.75
Argentina,Imports,26.137625273972603
Argentina,Exports,-124.8547768150685
Argentina,Total Consumption,468.2976894726027
Argentina,Electricity,-47.66405297945206
Argentina,Production,606.2416221849315
Austria,Industry,14.94417305479452
Austria,Transport,151.4714728150685
Austria,Residential,28.980144047945203
Austria,Commercial,9.963392869863013
Austria,Other,34.269276246575345
Austria,Electricity output in GWh,1453.0
Austria,Imports,137.967002130137
Austria,Exports,-41.73662337671233
Austria,Total Consumption,239.62846907534245
Austria,Electricity,-8.178116143835616
Austria,Production,186.21183711643835
Belgium,Industry,18.999681315068493
Belgium,Transport,170.52936236301372
Belgium,Residential,64.0213195
Belgium,Commercial,22.345896602739728
Belgium,Other,145.25763601369863
Belgium,Electricity output in GWh,1084.0
Belgium,Imports,431.85281399999997
Belgium,Exports,-430.0127831780822
Belgium,Total Consumption,421.1539008150685
Belgium,Electricity,-4.966928493150684
Belgium,Production,750.3045334657535
Bolivia,Industry,1.3878451301369863
Bolivia,Transport,32.01713374657534
Bolivia,Residential,7.9005752328767125
Bolivia,Commercial,0.13611709589041093
Bolivia,Other,1.821725904109589
Bolivia,Electricity output in GWh,87.75
Bolivia,Imports,7.922299143835616
Bolivia,Exports,-10.277874972602739
Bolivia,Total Consumption,43.26341217123288
Bolivia,Electricity,-0.5399950753424658
Bolivia,Production,43.86360361643836
Brazil,Industry,239.938297130137
Brazil,Transport,918.5642717808221
Brazil,Residential,117.54031039041095
Brazil,Commercial,21.345703041095888
Brazil,Other,358.05075920547944
Brazil,Electricity output in GWh,13872.25
Brazil,Imports,259.46122999315065
Brazil,Exports,-185.03262587671236
Brazil,Total Consumption,1655.4393315068494
Brazil,Electricity,-63.212760253424655
Brazil,Production,1879.1767421438356
Andean,Industry,163.39337641780824
Andean,Transport,636.341494020548
Andean,Residential,82.4564803630137
Andean,Commercial,9.861199616438356
Andean,Other,100.0417929931507
Andean,Electricity output in GWh,50948.60514383562
Andean,Imports,106.1269832739726
Andean,Exports,-821.6500140684932
Andean,Total Consumption,992.0943584726026
Andean,Electricity,-121.21294162328765
Andean,Production,1800.6187724863014
Canada,Industry,135.58130803424658
Canada,Transport,1035.737158390411
Canada,Residential,44.720520780821914
Canada,Commercial,166.8066561849315
Canada,Other,440.7352477534246
Canada,Electricity output in GWh,10818.5
Canada,Imports,287.38148616438355
Canada,Exports,-432.7497700342466
Canada,Total Consumption,1823.5808760821917
Canada,Electricity,-57.111870719178086
Canada,Production,2088.6719627808216
Central America,Industry,37.58364117808219
Central America,Transport,128.87419737671232
Central America,Residential,13.48776230136986
Central America,Commercial,5.808116280821919
Central America,Other,10.90721069863014
Central America,Electricity output in GWh,50948.60514383562
Central America,Imports,233.27251562328766
Central America,Exports,-10.749670924657533
Central America,Total Consumption,196.6609228150685
Central America,Electricity,-59.81659553424658
Central America,Production,48.39842860958904
Chile,Industry,55.05949080136987
Chile,Transport,127.67480855479452
Chile,Residential,18.111817493150685
Chile,Commercial,5.136964410958904
Chile,Other,5.124011397260274
Chile,Electricity output in GWh,9245.75
Chile,Imports,115.4806858219178
Chile,Exports,-31.233195267123293
Chile,Total Consumption,211.10709265753425
Chile,Electricity,-40.22077937671233
Chile,Production,217.10179258219182
China,Industry,903.7604130000001
China,Transport,2710.922304965754
China,Residential,461.9334470958904
China,Commercial,369.280454760274
China,Other,1494.0640446643836
China,Electricity output in GWh,42862.75
China,Imports,1221.0808323150686
China,Exports,-386.1694424931507
China,Total Consumption,5939.960664486301
China,Electricity,-212.76283924657534
China,Production,6250.043928794521
Colombia,Industry,21.237379698630143
Colombia,Transport,133.69798502739727
Colombia,Residential,13.789145794520547
Colombia,Commercial,2.906781787671233
Colombia,Other,39.294232232876716
Colombia,Electricity output in GWh,133.5
Colombia,Imports,7.382273945205478
Colombia,Exports,-69.61733269178083
Colombia,Total Consumption,210.9255345821918
Colombia,Electricity,-0.48396576027397264
Colombia,Production,299.0973715821918
Costa Rica,Industry,5.245297794520548
Costa Rica,Transport,27.779530212328762
Costa Rica,Residential,0.8940591780821919
Costa Rica,Commercial,0.8226318424657535
Costa Rica,Other,2.2050748630136985
Costa Rica,Electricity output in GWh,550.75
Costa Rica,Imports,33.51109317808219
Costa Rica,Exports,-2.238632205479452
Costa Rica,Total Consumption,36.94660393150685
Costa Rica,Electricity,-3.0578149315068495
Costa Rica,Production,12.687105397260275
Croatia,Industry,10.448990308219178
Croatia,Transport,40.27780276027397
Croatia,Residential,5.773790794520547
Croatia,Commercial,2.4552638287671233
Croatia,Other,10.420353102739728
Croatia,Electricity output in GWh,2029.0
Croatia,Imports,28.843534938356164
Croatia,Exports,-38.401593869863014
Croatia,Total Consumption,69.37619577397261
Croatia,Electricity,-9.909768397260274
Croatia,Production,100.53048308904108
Southern Cone,Industry,390.1362677945205
Southern Cone,Transport,1308.0908542739728
Southern Cone,Residential,162.62481587671232
Southern Cone,Commercial,32.709457267123284
Southern Cone,Other,493.41525487671237
Southern Cone,Electricity output in GWh,50948.60514383562
Southern Cone,Imports,440.7871953630137
Southern Cone,Exports,-346.7485719589041
