country,flow,value
Argentina,Electricity output in GWh,6371.0
Argentina,Production,33.34288473972603
Argentina,Electricity,-33.34288473972603
Belgium,Electricity output in GWh,48234.0
Belgium,Production,252.43461668493148
Belgium,Electricity,-252.43461668493148
Brazil,Electricity output in GWh,15659.0
Brazil,Production,81.95201068493151
Brazil,Electricity,-81.95201068493151
Canada,Electricity output in GWh,93589.0
Canada,Production,489.80186610958907
Canada,Electricity,-489.80186610958907
China,Electricity output in GWh,86350.0
China,Production,451.9162490136986
China,Electricity,-451.9162490136986
Southern Cone,Electricity output in GWh,22030.0
Southern Cone,Production,115.29489542465753
Southern Cone,Electricity,-115.29489542465753
Finland,Electricity output in GWh,23187.0
Finland,Production,121.35011805479452
Finland,Electricity,-121.35011805479452
France,Electricity output in GWh,442383.0
France,Production,2315.229520630137
France,Electricity,-2315.229520630137
Germany,Electricity output in GWh,107971.0
Germany,Production,565.496486739726
Germany,Electricity,-565.0706438630137
India,Electricity output in GWh,33286.0
India,Production,174.20363531506848
India,Electricity,-174.20363531506848
Japan,Electricity output in GWh,2043.5839178082192
Japan,Production,532.5703476438356
Japan,Electricity,-532.5703476438356
LAC,Electricity output in GWh,32119.0
LAC,Production,168.09609857534244
LAC,Electricity,-168.09609857534244
Mexico,Electricity output in GWh,10089.0
Mexico,Production,52.801203150684934
Mexico,Electricity,-52.801203150684934
Netherlands,Electricity output in GWh,4141.0
Netherlands,Production,21.672098904109593
Netherlands,Electricity,-21.672098904109593
North America,Electricity output in GWh,925083.0
North America,Production,4841.459718383562
North America,Electricity,-4841.459718383562
Slovenia,Electricity output in GWh,6215.0
Slovenia,Production,32.52646331506849
Slovenia,Electricity,-32.52646331506849
Korea,Electricity output in GWh,3107.1769589041096
Korea,Production,809.7491566027396
Korea,Electricity,-809.7491566027396
Spain,Electricity output in GWh,57731.0
Spain,Production,302.13753928767125
Spain,Electricity,-302.13753928767125
Sweden,Electricity output in GWh,60475.0
Sweden,Production,316.4983949589041
Sweden,Electricity,-316.4983949589041
Switzerland,Electricity output in GWh,26710.0
Switzerland,Production,140.40651147945204
Switzerland,Electricity,-140.40651147945206
United Kingdom,Electricity output in GWh,68980.0
United Kingdom,Production,361.00964926027393
United Kingdom,Electricity,-361.00964926027393
USA,Electricity output in GWh,821405.0
USA,Production,4298.856649123288
USA,Electricity,-4298.856649123288
World,Electricity output in GWh,2583679.0
World,Production,13535.515745205481
World,Electricity,-13535.089902328766
Europe,Electricity output in GWh,906744.0
Europe,Production,4747.66817120548
Europe,Electricity,-4747.668151123288
