country,flow,value
Argentina,Heat and Waste,338.727834931507
Argentina,Industry,337.5584288219178
Argentina,Transport,352.1387426849315
Argentina,Residential,286.26369128767124
Argentina,Commercial,86.61501528767123
Argentina,Other,179.18863778082192
Argentina,Total Consumption,1241.764495780822
Argentina,Hydrocarbon Heat and Waste,12.609045917808203
Argentina,Electricity Heat and Waste,326.1187890136988
Austria,Heat and Waste,48.38346235616436
Austria,Industry,51.30720857534246
Austria,Transport,113.45223383561645
Austria,Residential,34.56141189041096
Austria,Commercial,16.252035835616436
Austria,Other,29.177798000000003
Austria,Total Consumption,244.7506881369863
Austria,Hydrocarbon Heat and Waste,1.389306109589029
Austria,Electricity Heat and Waste,46.99415624657533
Bolivia,Heat and Waste,23.670879452054805
Bolivia,Industry,29.33265178082192
Bolivia,Transport,53.96687397260275
Bolivia,Residential,25.6764678630137
Bolivia,Commercial,4.147093095890411
Bolivia,Other,21.660591808219177
Bolivia,Total Consumption,134.78363835616437
Bolivia,Hydrocarbon Heat and Waste,2.0432626027397305
Bolivia,Electricity Heat and Waste,21.627616849315075
Brazil,Heat and Waste,709.4409381917812
Brazil,Industry,1571.4653855068495
Brazil,Transport,1688.917188657534
Brazil,Residential,500.80503956164387
Brazil,Commercial,252.21222649315067
Brazil,Other,542.6063225753425
Brazil,Total Consumption,4556.006182876713
Brazil,Hydrocarbon Heat and Waste,72.26751427397267
Brazil,Electricity Heat and Waste,637.1734239178086
Canada,Heat and Waste,949.8335898904111
Canada,Industry,853.7627541095891
Canada,Transport,1232.7255213424658
Canada,Residential,686.5334430958903
Canada,Commercial,497.71089594520544
Canada,Other,613.5899220821918
Canada,Total Consumption,3871.561910273973
Canada,Hydrocarbon Heat and Waste,55.56953328767122
Canada,Electricity Heat and Waste,894.2640566027399
Chile,Heat and Waste,190.45571131506847
Chile,Industry,212.83177136986302
Chile,Transport,169.60370887671232
Chile,Residential,78.60248183561644
Chile,Commercial,34.33341876712329
Chile,Other,9.597721260273971
Chile,Total Consumption,504.9691422739726
Chile,Hydrocarbon Heat and Waste,8.30141578082194
Chile,Electricity Heat and Waste,182.15429553424653
China,Heat and Waste,13450.189002520548
China,Industry,19402.03389139726
China,Transport,5996.462418136987
China,Residential,6277.664091753425
China,Commercial,1566.3313330136987
China,Other,5027.728533698631
China,Total Consumption,36597.802788849316
China,Hydrocarbon Heat and Waste,319.46182358903934
China,Electricity Heat and Waste,13130.72717893151
Colombia,Heat and Waste,75.936048739726
Colombia,Industry,141.9993706849315
Colombia,Transport,201.6270530410959
Colombia,Residential,96.22719572602739
Colombia,Commercial,32.878664794520546
Colombia,Other,48.27303038356165
Colombia,Total Consumption,521.0053347123288
Colombia,Hydrocarbon Heat and Waste,0.6315046027397102
Colombia,Electricity Heat and Waste,75.3045441369863
Costa Rica,Heat and Waste,23.54299605479452
Costa Rica,Industry,17.678514082191782
Costa Rica,Transport,35.607131780821916
Costa Rica,Residential,9.980347260273973
Costa Rica,Commercial,7.362794219178081
Costa Rica,Other,3.6979548767123287
Costa Rica,Total Consumption,74.32676230136987
Costa Rica,Hydrocarbon Heat and Waste,0.0
Costa Rica,Electricity Heat and Waste,23.54299605479452
Croatia,Heat and Waste,70.20350676712323
Croatia,Industry,150.4196931232877
Croatia,Transport,168.97324854794522
Croatia,Residential,120.13080769863015
Croatia,Commercial,54.74005843835616
Croatia,Other,47.858694602739725
Croatia,Total Consumption,505.417698109589
Croatia,Hydrocarbon Heat and Waste,1.3454666849314947
Croatia,Electricity Heat and Waste,68.85804008219174
Cuba,Heat and Waste,85.34037849315068
Cuba,Industry,82.4556921369863
Cuba,Transport,9.710181534246576
Cuba,Residential,23.37370317808219
Cuba,Commercial,6.040381890410959
Cuba,Other,28.095588767123285
Cuba,Total Consumption,149.67552742465753
Cuba,Hydrocarbon Heat and Waste,5.121380630136983
Cuba,Electricity Heat and Waste,80.2189978630137
Denmark,Heat and Waste,17.513940520547948
Denmark,Industry,21.9557598630137
Denmark,Transport,39.71851873972603
Denmark,Residential,48.53757309589041
Denmark,Commercial,14.887952958904108
Denmark,Other,15.702948547945205
Denmark,Total Consumption,136.54621216438358
Denmark,Hydrocarbon Heat and Waste,0.4404827945205483
Denmark,Electricity Heat and Waste,17.0734577260274
Dominican Republic,Heat and Waste,48.44983399999998
Dominican Republic,Industry,30.966779890410958
Dominican Republic,Transport,38.63906076712329
Dominican Republic,Residential,28.842224575342467
Dominican Republic,Commercial,7.767028657534246
Dominican Republic,Other,8.631044876712329
Dominican Republic,Total Consumption,114.84613876712329
Dominican Republic,Hydrocarbon Heat and Waste,1.5154624383561632
Dominican Republic,Electricity Heat and Waste,46.934371561643815
Finland,Heat and Waste,66.44550613698632
Finland,Industry,42.43091997260274
Finland,Transport,81.65383030136987
Finland,Residential,85.41576704109589
Finland,Commercial,37.48387284931506
Finland,Other,20.334725342465752
Finland,Total Consumption,218.82381542465757
Finland,Hydrocarbon Heat and Waste,5.177650931506861
Finland,Electricity Heat and Waste,61.267855205479464
France,Heat and Waste,169.06472293150688
France,Industry,206.38593002739725
France,Transport,83.4288149041096
France,Residential,98.2829494520548
France,Commercial,54.46183975342466
France,Other,46.36935909589042
France,Total Consumption,411.9706408493151
France,Hydrocarbon Heat and Waste,1.0522867671232916
France,Electricity Heat and Waste,168.0124361643836
Germany,Heat and Waste,1721.5698685479454
Germany,Industry,509.87819389041096
Germany,Transport,879.573350931507
Germany,Residential,755.5964018630139
Germany,Commercial,452.4221194246576
Germany,Other,371.1859585479452
Germany,Total Consumption,2921.5173971232875
Germany,Hydrocarbon Heat and Waste,-14.721230602739979
Germany,Electricity Heat and Waste,1736.2910991506853
India,Heat and Waste,1478.4658197260276
India,Industry,1110.037427260274
India,Transport,1118.4390330958904
India,Residential,1066.8051274246577
India,Commercial,696.6744880547946
India,Other,429.5028360821918
India,Total Consumption,4228.81898109589
India,Hydrocarbon Heat and Waste,17.06474205479458
India,Electricity Heat and Waste,1461.401077671233
Israel,Heat and Waste,4403.588391999999
Israel,Industry,3921.343816136987
Israel,Transport,1727.6391085479454
Israel,Residential,3828.860623753425
Israel,Commercial,454.20290778082193
Israel,Other,1669.0003737260272
Israel,Total Consumption,11601.046870109589
Israel,Hydrocarbon Heat and Waste,1.353097917807645
Israel,Electricity Heat and Waste,4402.235294082191
Italy,Heat and Waste,147.0905476986302
Italy,Industry,42.50464169863014
Italy,Transport,113.40937843835617
Italy,Residential,40.2823262739726
Italy,Commercial,32.60456295890411
Italy,Other,48.780266383561646
