country,flow,value
United Kingdom,Production,989.9020609041097
United Kingdom,Imports,1012.2762733972603
United Kingdom,Exports,-726.4522013698629
United Kingdom,Oil Products,-1253.0350636164383
Portugal,Production,0.12422843835616439
Portugal,Imports,306.9869267123288
Portugal,Exports,-3.5553913972602738
Portugal,Oil Products,-313.68861517808216
Argentina,Production,593.3497236164383
Argentina,Imports,15.864931506849315
Argentina,Exports,-46.831671232876715
Argentina,Oil Products,-609.0733769041095
Guatemala,Production,9.977997643835616
Guatemala,Exports,-8.247133616438356
Guatemala,Oil Products,-1.2421638904109589
Venezuela,Production,2811.78303969863
Venezuela,Exports,-1925.605298520548
Venezuela,Oil Products,-835.5794540547946
Bolivia,Production,66.03358021917808
Bolivia,Oil Products,-61.169914356164384
USA,Other,60.202253945205484
USA,Production,11248.971828136984
USA,Imports,8779.547584054793
USA,Exports,-1020.8953894520548
USA,Total Consumption,60.202253945205484
USA,Oil Products,-17382.531212547943
Israel,Production,2.346403287671233
Israel,Imports,277.93829736986305
Israel,Exports,-0.6661263013698631
Israel,Oil Products,-286.5432956438356
Mexico,Production,2503.9631438356164
Mexico,Imports,10.26541397260274
Mexico,Exports,-1319.9209722191779
Mexico,Oil Products,-1072.6424984383561
Italy,Production,80.90701375342466
Italy,Imports,1351.097751589041
Italy,Exports,-36.236788821917806
Italy,Oil Products,-1447.6491943835615
Denmark,Production,142.8086227671233
Denmark,Imports,79.07686336986302
Denmark,Exports,-88.32011386301369
Denmark,Oil Products,-188.24612799999997
Dominican Republic,Imports,24.408839753424655
Dominican Republic,Oil Products,-24.590844657534245
Trinidad & Tobago,Production,92.24296920547945
Trinidad & Tobago,Imports,105.93506780821917
Trinidad & Tobago,Exports,-29.361128328767123
Trinidad & Tobago,Oil Products,-155.27552693150687
Nicaragua,Imports,12.700881780821918
Nicaragua,Oil Products,-13.42608989041096
China,Industry,56.85268493150685
China,Other,5.422191780821918
China,Production,4014.2706442191784
China,Imports,7651.455643835617
China,Exports,-59.061726027397256
China,Total Consumption,62.27487671232877
China,Electricity,-2.6307671232876713
China,Oil Products,-11150.369089863014
Canada,Production,4498.8013366301375
Canada,Imports,1045.1124643561643
Canada,Exports,-3385.128751506849
Canada,Oil Products,-1895.4386533972604
Cuba,Industry,8.573730301369864
Cuba,Electricity output in GWh,4034.0
Cuba,Production,53.85206408219179
Cuba,Imports,45.48156556164384
Cuba,Total Consumption,8.573730301369864
Cuba,Electricity,-27.86460339726028
Cuba,Oil Products,-60.955115232876715
Finland,Production,1.426980301369863
Finland,Imports,249.2566700821918
Finland,Oil Products,-298.5545549589041
France,Production,18.8566358630137
France,Imports,1135.115385561644
France,Exports,-0.5060712328767123
France,Oil Products,-1214.2234164931508
Switzerland,Imports,62.29995936986301
Switzerland,Exports,-0.3317377260273972
Switzerland,Oil Products,-62.32068419178082
Germany,Industry,23.0
Germany,Transport,23.0
Germany,Residential,23.0
Germany,Commercial,23.0
Germany,Other,23.0
Germany,Production,23.0
Germany,Imports,23.0
Germany,Exports,23.0
Germany,Total Consumption,23.0
Germany,Electricity,23.0
Germany,Oil Products,23.0
Chile,Production,5.153130575342465
Chile,Imports,172.85360997260275
Chile,Oil Products,-203.29759016438356
Jamaica,Imports,24.752626794520552
Jamaica,Oil Products,-24.752626794520552
Netherlands,Other,53.8172817260274
Netherlands,Production,32.558936219178086
Netherlands,Imports,1261.339732712329
Netherlands,Exports,-16.511738739726027
Netherlands,Total Consumption,53.8172817260274
Netherlands,Oil Products,-1244.2700303561642
Croatia,Production,15.279836849315068
Croatia,Imports,61.177304602739724
Croatia,Oil Products,-77.34861002739726
Japan,Industry,0.38706416438356167
Japan,Other,1.9458639726027396
Japan,Electricity output in GWh,11715.0
Japan,Production,8.936434767123288
Japan,Imports,3285.1572712876714
Japan,Total Consumption,2.3329281369863013
Japan,Electricity,-48.16882389041096
Japan,Oil Products,-3352.0796893150687
Sweden,Imports,408.65991079452056
Sweden,Exports,-28.076510684931506
Sweden,Oil Products,-427.5848060273973
Colombia,Industry,0.1418405205479452
Colombia,Production,933.2268824657535
Colombia,Exports,-656.9271714520548
Colombia,Total Consumption,0.1418405205479452
Colombia,Electricity,-5.126541753424657
Colombia,Oil Products,-312.84078520547945
Uruguay,Imports,42.00363117808219
Uruguay,Oil Products,-43.44304235616439
Ecuador,Production,563.9186490136987
Ecuador,Exports,-387.5260547945206
Ecuador,Electricity,-6.667287671232876
Ecuador,Oil Products,-165.05553424657535
Spain,Production,2.8854896438356166
Spain,Imports,1374.360601068493
Spain,Exports,-69.77898931506849
Spain,Oil Products,-1344.3364993424657
Brazil,Production,2698.563437972603
Brazil,Imports,160.91964701369864
