product,flow,value
Coal and coal products,Industry,23.374611897260277
"Crude, NGL and feedstocks",Industry,3.1694468150684934
Coal and coal products,Transport,0.08811061643835617
Coal and coal products,Residential,3.038164506849315
Gas,Industry,61.336897780821914
Combustible renewables and waste,Industry,24.879586410958904
Gas,Residential,9.854918910958906
Combustible renewables and waste,Residential,138.57899688356164
Combustible renewables and waste,Commercial,0.6721057739726027
Combustible renewables and waste,Other,8.898645102739724
Oil Products,Industry,74.91515545890411
Oil Products,Transport,205.34749997260272
Oil Products,Residential,46.29184685616438
Oil Products,Commercial,5.96626354109589
Oil Products,Other,43.36688566438356
Electricity,Industry,23.85254295890411
Electricity,Residential,13.949532219178083
Electricity,Commercial,8.915991095890412
Electricity,Other,2.009444191780822
Coal and coal products,Electricity output in GWh,1390.75
Gas,Electricity output in GWh,8076.5
Hydro,Electricity output in GWh,20117.5
Combustible renewables and waste,Electricity output in GWh,248.5
Oil Products,Electricity output in GWh,6090.75
Coal and coal products,Production,40.251349493150684
"Crude, NGL and feedstocks",Production,4173.883598239726
Gas,Production,257.1157755890411
Hydro,Production,34.74430041095891
Combustible renewables and waste,Production,179.53773154109587
Coal and coal products,Imports,5.480194171232876
"Crude, NGL and feedstocks",Imports,56.90037009589041
Coal and coal products,Exports,-1.0276057534246574
"Crude, NGL and feedstocks",Exports,-2519.0321628561646
Gas,Exports,-21.18149095890411
Coal and coal products,Total Consumption,26.500887020547946
"Crude, NGL and feedstocks",Total Consumption,3.1694468150684934
Gas,Total Consumption,71.19181669178083
Combustible renewables and waste,Total Consumption,173.0293341712329
Oil Products,Imports,11.967781369863015
Electricity,Imports,0.009930643835616438
Oil Products,Exports,-1184.9728757739726
Oil Products,Total Consumption,375.8876765958904
Electricity,Total Consumption,48.727510465753426
Electricity,Production,141.22563897945207
Coal and coal products,Electricity,-8.151823534246574
Gas,Electricity,-59.52443478767123
Hydro,Electricity,-34.74430041095891
Combustible renewables and waste,Electricity,-1.6852975342465752
Oil Products,Electricity,-37.11978271232877
"Crude, NGL and feedstocks",Oil Products,-1671.612273630137
All products,Heat and Waste,77.01777599999991
All products,Industry,211.5282513630137
All products,Transport,205.43562063013695
All products,Residential,211.7134543561644
All products,Commercial,15.554370452054796
All products,Other,54.27494985616439
All products,Total Consumption,698.506671760274
All primary,Production,4685.532755273973
All primary,Imports,62.38056426712328
All primary,Exports,-2541.2412595684937
All primary,Total Consumption,273.89148469863017
All primary,Electricity,-141.22563897945207
Oil Products,Production,1681.4161837739728
All products,Hydrocarbon Heat and Waste,-9.803910143835765
All products,Electricity Heat and Waste,86.82168614383568
