product,flow,value
Coal and coal products,Industry,45.38854484931507
"Crude, NGL and feedstocks",Industry,13.69780194520548
Coal and coal products,Transport,0.026106849315068494
Coal and coal products,Residential,3.548503205479452
"Crude, NGL and feedstocks",Commercial,0.10131465753424657
"Crude, NGL and feedstocks",Other,0.04052586301369863
Gas,Industry,199.11218024657538
Combustible renewables and waste,Industry,30.01614917808219
Gas,Transport,0.6413047123287672
Gas,Residential,8.050448630136987
Combustible renewables and waste,Residential,132.53439271232875
Gas,Commercial,10.132309205479451
Combustible renewables and waste,Commercial,1.6568812328767122
Combustible renewables and waste,Other,19.033841123287672
Oil Products,Industry,111.30402169863015
Oil Products,Transport,456.45213334246574
Oil Products,Residential,68.28969397260275
Oil Products,Commercial,14.40220490410959
Oil Products,Other,77.02532690410959
Electricity,Industry,76.70774712328767
Electricity,Transport,0.2504249315068493
Electricity,Residential,59.18318312328766
Electricity,Commercial,35.65360197260274
Electricity,Other,9.144827671232878
Coal and coal products,Electricity output in GWh,4350.0
Gas,Electricity output in GWh,24283.0
Hydro,Electricity output in GWh,94446.0
Combustible renewables and waste,Electricity output in GWh,541.0
Oil Products,Electricity output in GWh,9191.0
Coal and coal products,Production,333.02967367123284
"Crude, NGL and feedstocks",Production,3912.6351335068493
Gas,Production,580.460129479452
Hydro,Production,163.1147109041096
Combustible renewables and waste,Production,203.4736909041096
Coal and coal products,Imports,6.345189397260274
"Crude, NGL and feedstocks",Imports,23.519038000000002
Coal and coal products,Exports,-286.98656986301364
"Crude, NGL and feedstocks",Exports,-2284.9912824931507
Gas,Exports,-40.61426482191781
Coal and coal products,Total Consumption,48.96315490410958
"Crude, NGL and feedstocks",Total Consumption,13.839642465753425
Gas,Total Consumption,217.93624279452052
Combustible renewables and waste,Total Consumption,183.24130441095892
Oil Products,Imports,58.997422849315065
Electricity,Imports,0.5509348493150685
Oil Products,Exports,-797.6584320547946
Electricity,Exports,-0.005181205479452055
Oil Products,Total Consumption,727.4733406575342
Electricity,Total Consumption,180.9397848219178
Electricity,Production,390.3854175068493
Coal and coal products,Electricity,-23.666682273972604
"Crude, NGL and feedstocks",Electricity,-0.20262931506849313
Gas,Electricity,-144.56824449315067
Hydro,Electricity,-163.1147109041096
Combustible renewables and waste,Electricity,-3.301291424657534
Oil Products,Electricity,-55.53185909589042
"Crude, NGL and feedstocks",Oil Products,-1641.776633232877
All products,Heat and Waste,232.64773353424698
All products,Industry,476.22644504109593
All products,Transport,457.3699497534247
All products,Residential,271.6062216438356
All products,Commercial,61.9463521369863
All products,Other,105.24448139726027
All products,Total Consumption,1372.3934700547943
All primary,Production,5192.713338465753
All primary,Imports,29.864227397260276
All primary,Exports,-2612.5921171780824
All primary,Total Consumption,463.98034457534243
All primary,Oil Products,-1641.776633232877
All primary,Electricity,-390.3854175068493
Oil Products,Production,1614.5850041643835
All products,Hydrocarbon Heat and Waste,27.191629068493512
All products,Electricity Heat and Waste,205.45610446575347
