flow,period,value
Industry,1971-1974,24.879586410958904
Residential,1971-1974,138.57899688356164
Commercial,1971-1974,0.6721057739726027
Other,1971-1974,8.898645102739724
Electricity output in GWh,1971-1974,248.5
Production,1971-1974,179.53773154109587
Total Consumption,1971-1974,173.0293341712329
Electricity,1971-1974,-1.6852975342465752
Industry,1971,28.838228219178085
Residential,1971,147.5228369589041
Commercial,1971,1.534118794520548
Other,1971,7.882561506849315
Electricity output in GWh,1971,235.0
Production,1971,192.286424
Total Consumption,1971,185.7777655616438
Electricity,1971,-1.5859107671232877
Industry,1972,27.505694465753425
Residential,1972,134.3152613972603
Commercial,1972,1.0660631506849314
Other,1972,11.741133753424657
Electricity output in GWh,1972,239.0
Production,1972,181.1624963287671
Total Consumption,1972,174.62817284931504
Electricity,1972,-1.6247497260273973
Industry,1973,20.587881452054795
Residential,1973,137.3605249589041
Other,1973,7.912303232876712
Electricity output in GWh,1973,242.0
Production,1973,172.3380599452055
Total Consumption,1973,165.86070964383563
Electricity,1973,-1.6448921643835617
Industry,1974,22.586541506849315
Residential,1974,135.11736421917809
Commercial,1974,0.08824115068493152
Other,1974,8.058581917808219
Electricity output in GWh,1974,278.0
Production,1974,172.36394589041095
Total Consumption,1974,165.85068863013697
Electricity,1974,-1.8856374794520547
Industry,1975,28.371678739726025
Residential,1975,137.7516256438356
Commercial,1975,0.9950926849315069
Other,1975,18.51063978082192
Electricity output in GWh,1975,470.0
Production,1975,193.84837671232876
Total Consumption,1975,185.62903684931507
Electricity,1975,-2.980940301369863
Industry,1976,29.17691438356164
Residential,1976,136.94456252054795
Commercial,1976,1.030577917808219
Other,1976,19.88938265753425
Electricity output in GWh,1976,466.0
Production,1976,195.14558589041096
Total Consumption,1976,187.04141739726026
Electricity,1976,-2.919569123287671
Industry,1977,27.909948986301373
Residential,1977,139.19987298630136
Commercial,1977,1.0675090684931507
Other,1977,19.464021753424657
Electricity output in GWh,1977,453.0
Production,1977,195.83328046575343
Total Consumption,1977,187.64135279452057
Electricity,1977,-2.8581778630136982
Industry,1978,28.774145945205483
Residential,1978,139.96584794520547
Commercial,1978,1.1053840821917809
Other,1978,20.266807369863013
Electricity output in GWh,1978,438.0
Production,1978,198.30304865753422
Total Consumption,1978,190.112165260274
Electricity,1978,-2.710011452054795
Industry,1979,29.325663178082188
Residential,1979,141.68970328767122
Commercial,1979,1.142797205479452
Other,1979,19.51197802739726
Electricity output in GWh,1979,401.0
Production,1979,199.61897443835616
Total Consumption,1979,191.67012161643837
Electricity,1979,-2.438098575342466
Industry,1980,31.13265879452054
Residential,1980,139.03937610958903
Commercial,1980,1.1797283561643834
Other,1980,18.078069369863012
Electricity output in GWh,1980,312.0
Production,1980,200.84569512328767
Total Consumption,1980,193.3252958630137
Electricity,1980,-1.9767503835616438
Industry,1981,28.861684219178084
Residential,1981,154.39687079452057
Commercial,1981,1.2214390684931506
Other,1981,17.392784657534246
Electricity output in GWh,1981,320.0
Production,1981,209.4965008767123
Total Consumption,1981,201.8727988219178
Electricity,1981,-2.028060383561644
Industry,1982,29.568577369863018
Residential,1982,159.94718695890415
Commercial,1982,1.258852191780822
Other,1982,20.22027693150685
Electricity output in GWh,1982,414.0
Production,1982,219.54862189041097
Total Consumption,1982,210.99491353424656
Electricity,1982,-2.636631123287671
Industry,1983,33.64373605479452
Residential,1983,161.6738337260274
Commercial,1983,1.296265315068493
Other,1983,16.20297504109589
Electricity output in GWh,1983,408.0
Production,1983,221.20453917808223
Total Consumption,1983,212.81676997260269
Electricity,1983,-2.559435178082192
Industry,1984-1987,37.33860329452055
Residential,1984-1987,156.05106603424656
Other,1984-1987,19.237655287671235
Electricity output in GWh,1984-1987,1661.424808219178
Production,1984-1987,219.061267260274
Total Consumption,1984-1987,212.62731457534247
Electricity,1984-1987,-2.7284770273972603
Industry,1984,34.4808421369863
Residential,1984,160.02960427397264
Other,1984,18.38930317808219
Electricity output in GWh,1984,459.0
Production,1984,221.27840147945207
Total Consumption,1984,212.8997696712329
Electricity,1984,-2.6754901643835614
Industry,1985,39.31878271232876
Residential,1985,158.5823811232877
Other,1985,18.930257178082194
Electricity output in GWh,1985,476.0
Production,1985,222.4327258630137
Total Consumption,1985,216.8314210136986
Electricity,1985,-2.784355726027397
Industry,1986,37.200111479452055
Residential,1986,155.81093824657538
Other,1986,20.120046712328765
Electricity output in GWh,1986,475.0
Production,1986,219.1088620547945
Total Consumption,1986,213.1310763561644
Electricity,1986,-2.7594136438356167
Industry,1987,38.35467684931507
Residential,1987,149.78134049315068
Other,1987,19.511014082191778
Electricity output in GWh,1987,457.0
Production,1987,213.42507964383563
Total Consumption,1987,207.64699126027395
Electricity,1987,-2.6946485753424665
Industry,1988,32.18556810958905
Residential,1988,154.2286221917808
Commercial,1988,1.4780091506849315
Other,1988,24.544494958904107
Electricity output in GWh,1988,446.0
Production,1988,218.77029638356163
Total Consumption,1988,212.43671449315073
Electricity,1988,-2.8572340000000005
Industry,1989,31.31086816438356
Residential,1989,151.91358728767125
Commercial,1989,1.5134943835616437
Other,1989,25.610558109589043
Electricity output in GWh,1989,452.0
Production,1989,216.89281227397257
Total Consumption,1989,210.34850794520545
Electricity,1989,-2.8869757260273974
Industry,1990,34.745947150684934
Residential,1990,146.0498483561644
Commercial,1990,1.5489796164383562
Other,1990,22.671790410958902
Electricity output in GWh,1990,442.0
Production,1990,211.70200750684933
Total Consumption,1990,205.01660569863014
Electricity,1990,-2.7301538904109592
Industry,1991,37.12576720547945
Residential,1991,145.92049895890412
Commercial,1991,1.5840029589041098
Other,1991,17.463293232876712
Electricity output in GWh,1991,439.0
Production,1991,208.8231851506849
Total Consumption,1991,202.0935221917808
Electricity,1991,-2.719590657534247
Industry,1992,24.199623479452054
Residential,1992,121.08336630136988
Commercial,1992,1.6204521369863016
Other,1992,24.631792246575344
Electricity output in GWh,1992,473.0
Production,1992,190.54800906849317
Total Consumption,1992,171.53521408219177
Electricity,1992,-2.79248901369863
Industry,1993,30.01614917808219
Residential,1993,132.53439271232875
Commercial,1993,1.6568812328767122
Other,1993,19.033841123287672
Electricity output in GWh,1993,541.0
Production,1993,203.4736909041096
Total Consumption,1993,183.24130441095892
Electricity,1993,-3.301291424657534
Industry,1994,30.317060739726028
Residential,1994,132.17596575342463
Commercial,1994,1.6933304109589038
Other,1994,22.034943945205477
Electricity output in GWh,1994,612.0
Production,1994,207.113548
