product,flow,value
Coal and coal products,Industry,7.1162853150684935
Coal and coal products,Transport,0.24881835616438355
Gas,Industry,41.216524732876714
Combustible renewables and waste,Industry,25.88116062328767
Combustible renewables and waste,Transport,0.6429715342465754
Gas,Residential,26.42706990410959
Combustible renewables and waste,Residential,8.588400342465754
Gas,Other,2.221165719178082
Oil Products,Industry,56.64584839726027
Oil Products,Transport,171.65896054794518
Oil Products,Residential,35.489575650684934
Oil Products,Commercial,13.344932732876712
Oil Products,Other,60.55602183561644
Electricity,Industry,20.401860109589038
Electricity,Transport,0.500418095890411
Electricity,Residential,9.860697561643834
Electricity,Commercial,6.737294191780822
Electricity,Other,0.503008698630137
Coal and coal products,Electricity output in GWh,663.25
Gas,Electricity output in GWh,6085.25
Nuclear,Electricity output in GWh,259.0
Hydro,Electricity output in GWh,2767.5
Combustible renewables and waste,Electricity output in GWh,61.5
Oil Products,Electricity output in GWh,16048.75
Coal and coal products,Production,7.061666773972604
"Crude, NGL and feedstocks",Production,445.6704413630137
Gas,Production,113.60605338356164
Nuclear,Production,1.355487698630137
Hydro,Production,4.77966205479452
Combustible renewables and waste,Production,44.66011856849315
Coal and coal products,Imports,10.397926315068494
"Crude, NGL and feedstocks",Imports,49.810387431506854
Gas,Imports,18.976722349315068
Coal and coal products,Exports,-0.24570059589041093
"Crude, NGL and feedstocks",Exports,-0.7504765273972602
Coal and coal products,Total Consumption,7.365103671232875
Gas,Total Consumption,69.86476035616438
Combustible renewables and waste,Total Consumption,35.112537520547946
Oil Products,Imports,17.70197008219178
Electricity,Imports,0.06087916438356165
Oil Products,Exports,-3.083223924657534
Electricity,Exports,-0.009930643835616437
Oil Products,Total Consumption,337.6953341438356
Electricity,Total Consumption,38.00327865753424
Electricity,Production,164.3058258630137
Coal and coal products,Electricity,-5.769518308219178
Gas,Electricity,-31.514697390410962
Nuclear,Electricity,-1.355487698630137
Hydro,Electricity,-4.779662054794521
Combustible renewables and waste,Electricity,-1.0595966849315068
Oil Products,Electricity,-119.8268637260274
"Crude, NGL and feedstocks",Oil Products,-484.3062538356165
All products,Heat and Waste,140.46790273972607
All products,Industry,151.26168419863015
All products,Transport,173.05116351369864
All products,Residential,80.3657434589041
All products,Commercial,20.08222190410959
All products,Other,63.28017617123288
All products,Total Consumption,488.04101434931505
All primary,Production,617.1334298424656
All primary,Imports,79.18503609589041
All primary,Exports,-0.9961771232876712
All primary,Total Consumption,112.3424015479452
All primary,Oil Products,-484.3062538356165
All primary,Electricity,-164.3058258630137
Oil Products,Production,467.8564184520548
All products,Hydrocarbon Heat and Waste,16.449835383561663
All products,Electricity Heat and Waste,124.01806735616441
