product,flow,value
Coal and coal products,Industry,3.856945589041096
Gas,Industry,57.07206279452054
Combustible renewables and waste,Industry,29.89786506849315
Gas,Residential,50.67062317808219
Combustible renewables and waste,Residential,5.517019890410959
Gas,Other,1.8842116438356165
Oil Products,Industry,37.65346695890411
Oil Products,Transport,210.57168134246575
Oil Products,Residential,32.255353726027394
Oil Products,Commercial,23.72761164383562
Oil Products,Other,80.17319038356165
Electricity,Industry,27.933605808219177
Electricity,Transport,0.4611272876712329
Electricity,Residential,15.472806630136988
Electricity,Commercial,10.754455506849316
Electricity,Other,0.5405724383561644
Coal and coal products,Electricity output in GWh,894.0
Gas,Electricity output in GWh,8711.0
Nuclear,Electricity output in GWh,2816.0
Hydro,Electricity output in GWh,14685.0
Combustible renewables and waste,Electricity output in GWh,84.0
Oil Products,Electricity output in GWh,11649.0
Coal and coal products,Production,5.900529506849316
"Crude, NGL and feedstocks",Production,532.9999258082191
Gas,Production,171.5622848767123
Nuclear,Production,14.737657835616439
Hydro,Production,25.36200082191781
Combustible renewables and waste,Production,41.72483010958904
Coal and coal products,Imports,10.972608356164384
"Crude, NGL and feedstocks",Imports,25.921892328767125
Gas,Imports,40.31951849315068
Coal and coal products,Exports,-0.04094758904109589
Coal and coal products,Total Consumption,3.856945589041096
Gas,Total Consumption,109.62689761643836
Combustible renewables and waste,Total Consumption,35.41488495890411
Oil Products,Imports,13.75941410958904
Electricity,Imports,0.0345413698630137
Oil Products,Exports,-61.21889482191781
Electricity,Exports,-0.005181205479452055
Oil Products,Total Consumption,384.3812839726028
Electricity,Total Consumption,55.16256767123288
Electricity,Production,179.88914479452055
Coal and coal products,Electricity,-6.890963123287672
Gas,Electricity,-46.90262161643836
Nuclear,Electricity,-14.737657835616439
Hydro,Electricity,-25.36200082191781
Combustible renewables and waste,Electricity,-1.4501953150684932
Oil Products,Electricity,-84.54570608219177
"Crude, NGL and feedstocks",Oil Products,-540.952072109589
All products,Heat and Waste,136.8878504109589
All products,Industry,156.4139462191781
All products,Transport,211.03282871232878
All products,Residential,103.91580342465754
All products,Commercial,34.482067150684934
All products,Other,82.59797446575342
All products,Total Consumption,588.4425798082192
All primary,Production,792.287228958904
All primary,Imports,77.2140191780822
All primary,Exports,-0.04094758904109589
All primary,Total Consumption,148.89872816438356
All primary,Oil Products,-540.952072109589
All primary,Electricity,-179.88914479452055
Oil Products,Production,525.3694761369863
All products,Hydrocarbon Heat and Waste,15.58259597260269
All products,Electricity Heat and Waste,121.3052544383562
