flow,period,value
Industry,1971-1974,41.216524732876714
Residential,1971-1974,26.42706990410959
Other,1971-1974,2.221165719178082
Electricity output in GWh,1971-1974,6085.25
Production,1971-1974,113.60605338356164
Imports,1971-1974,18.976722349315068
Total Consumption,1971-1974,69.86476035616438
Electricity,1971-1974,-31.514697390410962
Industry,1971,31.685601863013698
Residential,1971,23.73399778082192
Other,1971,2.617010821917808
Electricity output in GWh,1971,5417.0
Production,1971,113.49547079452054
Total Consumption,1971,58.036610465753434
Electricity,1971,-24.601006246575345
Industry,1972,40.53702871232877
Residential,1972,24.152169260273972
Other,1972,2.4163495616438357
Electricity output in GWh,1972,5868.0
Production,1972,111.50809693150684
Imports,1972,18.436074602739726
Total Consumption,1972,67.10554753424658
Electricity,1972,-29.60329947945205
Industry,1973,44.22172934246575
Residential,1973,27.53565709589041
Other,1973,2.0844712602739723
Electricity output in GWh,1973,6543.0
Production,1973,115.39305717808219
Imports,1973,29.13546473972603
Total Consumption,1973,73.84185769863014
Electricity,1973,-35.336644739726026
Industry,1974,48.421739013698634
Residential,1974,30.286455479452055
Other,1974,1.7668312328767124
Electricity output in GWh,1974,6513.0
Production,1974,114.02758863013699
Imports,1974,28.33535005479452
Total Consumption,1974,80.4750257260274
Electricity,1974,-36.51783909589041
Industry,1975,51.15269619178083
Residential,1975,32.58584635616439
Other,1975,1.4992561095890413
Electricity output in GWh,1975,7301.0
Production,1975,129.47593515068493
Imports,1975,28.552860273972602
Total Consumption,1975,85.23779865753424
Electricity,1975,-39.720506876712335
Industry,1976,55.60343202739726
Residential,1976,37.05341106849315
Other,1976,1.5661498904109588
Electricity output in GWh,1976,7757.0
Production,1976,133.3919625479452
Imports,1976,34.67031761643836
Total Consumption,1976,94.22301306849315
Electricity,1976,-40.06877224657534
Industry,1977,56.637464082191784
Residential,1977,35.654284767123286
Other,1977,1.6999374520547945
Electricity output in GWh,1977,8038.0
Production,1977,134.92704528767123
Imports,1977,37.91999780821918
Total Consumption,1977,93.99168630136988
Electricity,1977,-41.152869205479455
Industry,1978,53.73647098630137
Residential,1978,39.5366544109589
Other,1978,2.3826717260273975
Electricity output in GWh,1978,6653.0
Production,1978,127.84289147945205
Imports,1978,40.48696380821918
Total Consumption,1978,95.65581720547945
Electricity,1978,-36.23646750684932
Industry,1979,59.13753630136986
Residential,1979,41.58744783561644
Other,1979,2.0011703287671234
Electricity output in GWh,1979,7416.0
Production,1979,150.34474638356164
Imports,1979,33.502498
Total Consumption,1979,102.72615446575342
Electricity,1979,-38.83707117808219
Industry,1980,58.37105928767123
Residential,1980,47.93623194520548
Other,1980,2.2493259726027395
Electricity output in GWh,1980,8744.0
Production,1980,171.61277150684933
Imports,1980,37.853104027397265
Total Consumption,1980,108.55661720547945
Electricity,1980,-48.36824005479452
Industry,1981,57.07206279452054
Residential,1981,50.67062317808219
Other,1981,1.8842116438356165
Electricity output in GWh,1981,8711.0
Production,1981,171.5622848767123
Imports,1981,40.31951849315068
Total Consumption,1981,109.62689761643836
Electricity,1981,-46.90262161643836
Industry,1982,58.036610465753434
Residential,1982,51.53720991780822
Other,1982,2.8677570684931504
Electricity output in GWh,1982,10234.0
Production,1982,186.1634641369863
Imports,1982,41.73547367123288
Total Consumption,1982,112.4415774520548
Electricity,1982,-58.18720682191782
Industry,1983,70.42212150684932
Residential,1983,66.48968695890412
Other,1983,2.9514797260273973
Electricity output in GWh,1983,10502.0
Production,1983,213.18339046575343
Imports,1983,40.13566602739726
Total Consumption,1983,139.8633082739726
Electricity,1983,-60.83747375342465
Industry,1984-1987,78.09311210273974
Transport,1984-1987,0.26271523287671233
Residential,1984-1987,70.52149321232878
Commercial,1984-1987,14.162925589041096
Other,1984-1987,2.9468407397260274
Electricity output in GWh,1984-1987,12319.0
Production,1984-1987,259.7755112739726
Imports,1984-1987,39.2362800479452
Total Consumption,1984-1987,165.98709189726026
