product,flow,value
Coal and coal products,Industry,16.938264410958904
Coal and coal products,Transport,2.501096410958904
Coal and coal products,Residential,27.480601767123286
Coal and coal products,Commercial,0.8155679315068495
Coal and coal products,Other,0.18464571232876714
Gas,Industry,22.18380319178082
Combustible renewables and waste,Industry,0.704242301369863
Gas,Transport,0.3722284452054794
Combustible renewables and waste,Transport,0.049151164383561645
Gas,Residential,1.600139
Combustible renewables and waste,Residential,12.514910643835616
Gas,Commercial,0.7213573493150683
Gas,Other,2.797951369863014
Combustible renewables and waste,Other,0.009594267123287672
Oil Products,Industry,42.13686647945206
Oil Products,Transport,66.25477552054794
Oil Products,Residential,54.71793288356164
Oil Products,Commercial,0.22171241780821918
Oil Products,Other,20.52287037671233
Electricity,Industry,20.29521363013699
Electricity,Transport,2.9286763972602743
Electricity,Residential,9.869764671232877
Electricity,Commercial,7.46439002739726
Electricity,Other,1.3302745068493151
Coal and coal products,Electricity output in GWh,3395.25
Gas,Electricity output in GWh,4489.75
Hydro,Electricity output in GWh,18482.25
Combustible renewables and waste,Electricity output in GWh,214.75
Oil Products,Electricity output in GWh,3780.0
Coal and coal products,Production,20.7251532739726
"Crude, NGL and feedstocks",Production,50.57601597260274
Gas,Production,36.097287876712336
Hydro,Production,31.92011165753425
Combustible renewables and waste,Production,13.474638589041096
Coal and coal products,Imports,60.83498858219178
"Crude, NGL and feedstocks",Imports,122.62287716438355
Gas,Imports,28.723327958904115
Combustible renewables and waste,Imports,0.3478085
Coal and coal products,Exports,-0.7116425890410958
Combustible renewables and waste,Exports,-0.08691572602739725
Coal and coal products,Total Consumption,47.92018627397259
Gas,Total Consumption,27.67548437671233
Combustible renewables and waste,Total Consumption,13.277893356164384
Oil Products,Imports,54.851705383561644
Electricity,Imports,5.011521000000001
Oil Products,Exports,-3.1790360616438362
Electricity,Exports,-8.735512438356164
Oil Products,Total Consumption,183.854172739726
Electricity,Total Consumption,41.88831923287671
Electricity,Production,92.51349139041095
Coal and coal products,Electricity,-17.64912379452055
Gas,Electricity,-22.63575793835616
Hydro,Electricity,-31.920111657534246
Combustible renewables and waste,Electricity,-0.4572614657534247
Oil Products,Electricity,-19.851236534246574
"Crude, NGL and feedstocks",Oil Products,-172.6790656027397
All products,Heat and Waste,53.90028644520544
All products,Industry,102.25840005479454
All products,Transport,72.1059329589041
All products,Residential,106.18333892465753
All products,Commercial,9.223027726027397
All products,Other,24.845346273972606
All products,Total Consumption,314.616055979452
All primary,Production,152.793207369863
All primary,Imports,212.52900220547946
All primary,Exports,-0.7985583150684931
All primary,Total Consumption,88.8735640068493
All primary,Oil Products,-172.6790656027397
All primary,Electricity,-92.51349139041095
Oil Products,Production,162.66838419178083
All products,Hydrocarbon Heat and Waste,10.010681410958881
All products,Electricity Heat and Waste,43.88960503424656
