product,flow,value
Coal and coal products,Industry,18.821110465753424
Coal and coal products,Transport,0.04102791780821918
Coal and coal products,Residential,20.726247753424655
Peat,Residential,0.004217260273972603
Coal and coal products,Commercial,0.8806442739726027
Coal and coal products,Other,0.3849555342465753
Gas,Industry,21.580905671232873
Combustible renewables and waste,Industry,5.268482684931507
Gas,Transport,0.8337925205479452
Combustible renewables and waste,Transport,0.03835698630136986
Gas,Residential,11.984590164383564
Combustible renewables and waste,Residential,20.853307780821915
Gas,Commercial,4.806793095890411
Gas,Other,10.180225315068494
Combustible renewables and waste,Other,0.0038356986301369867
Oil Products,Industry,13.88227695890411
Oil Products,Transport,74.79614336986302
Oil Products,Residential,37.43159890410959
Oil Products,Commercial,10.518931561643836
Oil Products,Other,37.30678808219179
Electricity,Industry,29.582956219178083
Electricity,Transport,3.854816876712329
Electricity,Residential,12.95819490410959
Electricity,Commercial,10.548934356164384
Electricity,Other,1.4714623561643838
Heat,Industry,0.001927890410958904
Heat,Residential,3.3933883561643836
Heat,Commercial,4.715539616438357
Heat,Other,0.04747430136986301
Coal and coal products,Electricity output in GWh,4227.0
Gas,Electricity output in GWh,3421.0
Hydro,Electricity output in GWh,30606.0
Combustible renewables and waste,Electricity output in GWh,599.0
Oil Products,Electricity output in GWh,3119.0
Coal and coal products,Production,18.23579490410959
Peat,Production,0.004217260273972603
"Crude, NGL and feedstocks",Production,26.11361701369863
Gas,Production,20.852424164383564
Hydro,Production,52.858658301369864
Combustible renewables and waste,Production,28.577621616438353
Coal and coal products,Imports,58.98230095890411
"Crude, NGL and feedstocks",Imports,120.13659136986301
Gas,Imports,42.88345208219178
Combustible renewables and waste,Imports,0.6805051506849316
Coal and coal products,Exports,-0.06763682191780822
Combustible renewables and waste,Exports,-0.1865434794520548
Coal and coal products,Total Consumption,40.85400602739726
Peat,Total Consumption,0.004217260273972603
Gas,Total Consumption,49.38628668493151
Combustible renewables and waste,Total Consumption,26.16398315068493
Oil Products,Imports,50.85100142465753
Electricity,Imports,7.59219309589041
Oil Products,Exports,-5.190162136986301
Electricity,Exports,-13.631751616438358
Oil Products,Total Consumption,173.93571879452054
Electricity,Total Consumption,58.416364712328765
Electricity,Production,106.70833260273972
Coal and coal products,Electricity,-19.933543397260273
Gas,Electricity,-17.237167753424657
Hydro,Electricity,-52.85865830136986
Combustible renewables and waste,Electricity,-2.811185534246575
Oil Products,Electricity,-13.867777616438355
"Crude, NGL and feedstocks",Oil Products,-150.17613630136987
All products,Heat and Waste,45.08341602739725
All products,Industry,89.13765989041096
All products,Transport,79.56413767123288
All products,Residential,107.35154512328768
All products,Commercial,31.47082282191781
All products,Other,49.39476136986302
All products,Total Consumption,348.760576630137
All primary,Production,146.64233326027397
All primary,Imports,222.68284956164382
All primary,Exports,-0.254180301369863
All primary,Total Consumption,116.40849312328767
All primary,Oil Products,-150.17613630136987
All primary,Electricity,-106.70833260273972
Oil Products,Production,143.68201736986302
All products,Hydrocarbon Heat and Waste,6.494118931506847
All products,Electricity Heat and Waste,38.5892970958904
