flow,period,value
Industry,1971-1974,0.704242301369863
Transport,1971-1974,0.049151164383561645
Residential,1971-1974,12.514910643835616
Other,1971-1974,0.009594267123287672
Electricity output in GWh,1971-1974,214.75
Production,1971-1974,13.474638589041096
Imports,1971-1974,0.3478085
Exports,1971-1974,-0.08691572602739725
Total Consumption,1971-1974,13.277893356164384
Electricity,1971-1974,-0.4572614657534247
Industry,1971,0.7088009589041097
Transport,1971,0.04795627397260274
Residential,1971,12.400532520547946
Other,1971,0.013916958904109588
Electricity output in GWh,1971,233.0
Production,1971,13.351986602739725
Imports,1971,0.23307391780821918
Exports,1971,-0.07048849315068492
Total Consumption,1971,13.171186630136987
Electricity,1971,-0.34336531506849316
Industry,1972,0.611442493150685
Transport,1972,0.05034605479452055
Residential,1972,11.868213863013697
Other,1972,0.0081533698630137
Electricity output in GWh,1972,211.0
Production,1972,12.593321561643837
Imports,1972,0.4335343561643836
Exports,1972,-0.06426301369863015
Total Consumption,1972,12.538175863013699
Electricity,1972,-0.4234530958904109
Industry,1973,0.6843408493150684
Transport,1973,0.05034605479452055
Residential,1973,13.109333479452054
Other,1973,0.0081533698630137
Electricity output in GWh,1973,202.0
Production,1973,14.000842219178082
Imports,1973,0.455584602739726
Exports,1973,-0.06617082191780821
Total Consumption,1973,13.852173753424658
Electricity,1973,-0.5380621643835616
Industry,1974,0.8123849041095892
Transport,1974,0.04795627397260274
Residential,1974,12.681562712328766
Other,1974,0.0081533698630137
Electricity output in GWh,1974,213.0
Production,1974,13.95240397260274
Imports,1974,0.26904112328767127
Exports,1974,-0.14674057534246576
Total Consumption,1974,13.550037178082192
Electricity,1974,-0.5241652876712328
Industry,1975,0.8272457260273972
Transport,1975,0.04795627397260274
Residential,1975,12.830231178082192
Other,1975,0.0038356986301369867
Electricity output in GWh,1975,218.0
Production,1975,14.00467791780822
Imports,1975,0.3050083287671233
Exports,1975,-0.1285260273972603
Total Consumption,1975,13.70926887671233
Electricity,1975,-0.4718913424657534
Industry,1976,1.0574278082191781
Transport,1976,0.04219268493150685
Residential,1976,12.868106191780821
Other,1976,0.0038356986301369867
Electricity output in GWh,1976,254.0
Production,1976,13.982607589041097
Imports,1976,0.6646803835616438
Exports,1976,-0.13858720547945205
Total Consumption,1976,13.971582465753425
