flow,period,value
Industry,1971-1974,20.29521363013699
Transport,1971-1974,2.9286763972602743
Residential,1971-1974,9.869764671232877
Commercial,1971-1974,7.46439002739726
Other,1971-1974,1.3302745068493151
Imports,1971-1974,5.011521000000001
Exports,1971-1974,-8.735512438356164
Total Consumption,1971-1974,41.88831923287671
Production,1971-1974,92.51349139041095
Industry,1971,18.766326246575343
Transport,1971,2.7443118356164384
Residential,1971,8.436729589041096
Commercial,1971,6.512775287671233
Other,1971,1.1968584657534247
Imports,1971,3.7477386301369866
Exports,1971,-8.239843780821918
Total Consumption,1971,37.65700142465754
Production,1971,88.53232238356165
Industry,1972,19.603954465753425
Transport,1972,2.8721149041095893
Residential,1972,9.502330849315069
Commercial,1972,7.277866630136986
Other,1972,1.331569808219178
Imports,1972,5.191567890410959
Exports,1972,-7.813257863013699
Total Consumption,1972,40.58783665753425
Production,1972,91.09493054794521
Industry,1973,20.93379720547945
Transport,1973,3.025824
Residential,1973,10.483305753424657
Commercial,1973,7.852980438356163
Other,1973,1.3971984109589042
Imports,1973,5.631970356164384
Exports,1973,-8.303745315068493
Total Consumption,1973,43.69310580821917
Production,1973,96.3751613150685
Industry,1974,21.876776602739728
Transport,1974,3.072454849315069
Residential,1974,11.056692493150685
Commercial,1974,8.213937753424657
Other,1974,1.3954713424657534
Imports,1974,5.474807123287672
Exports,1974,-10.58520279452055
Total Consumption,1974,45.61533304109589
Production,1974,94.0515513150685
Industry,1975,20.54520679452055
Transport,1975,3.013734520547945
Residential,1975,11.7216138630137
Commercial,1975,8.592165753424657
Other,1975,1.4956413150684933
Imports,1975,4.179505753424658
Exports,1975,-12.023850849315068
Total Consumption,1975,45.36836224657534
Production,1975,95.45194279452055
Industry,1976,21.89232021917808
Transport,1976,3.272794794520548
Residential,1976,12.742311342465754
Commercial,1976,9.282993150684932
Other,1976,1.5819947397260274
Imports,1976,5.467898849315069
Exports,1976,-9.248451780821917
Total Consumption,1976,48.77241424657534
Production,1976,105.21046216438356
Industry,1977,22.481250575342465
Transport,1977,3.2866113424657533
Residential,1977,13.243161205479453
Commercial,1977,9.828746794520548
Other,1977,1.6545316164383561
Imports,1977,4.160508
Exports,1977,-10.966884931506849
Total Consumption,1977,50.494301534246574
Production,1977,101.62436509589041
Industry,1978,22.87674926027397
Transport,1978,3.474861808219178
Residential,1978,14.082516493150685
Commercial,1978,10.481578684931506
Other,1978,1.7460662465753423
Imports,1978,5.079308438356165
Exports,1978,-9.849471616438358
Total Consumption,1978,52.661772493150686
Production,1978,103.80667679452057
Industry,1979,23.968256547945206
Transport,1979,3.7891882739726026
Residential,1979,14.479742246575343
Commercial,1979,10.997972164383562
Other,1979,1.8030595068493154
Imports,1979,4.929053479452055
Exports,1979,-11.552361150684932
Total Consumption,1979,55.038218739726034
Production,1979,108.89546402739727
Industry,1980,24.476014684931503
Transport,1980,3.93253495890411
Residential,1980,15.142936547945206
Commercial,1980,11.61798975342466
Other,1980,1.8514174246575341
Imports,1980,5.464444712328767
Exports,1980,-12.32436076712329
Total Consumption,1980,57.02089336986302
Production,1980,104.88356424657533
Industry,1981,29.653766027397257
Transport,1981,3.733922082191781
Residential,1981,12.832118904109588
Commercial,1981,8.946214794520548
Other,1981,1.4576458082191783
Imports,1981,4.942870027397261
Exports,1981,-12.851116657534247
Total Consumption,1981,56.623667616438354
Production,1981,109.09459904109589
Industry,1982,29.32044180821918
Transport,1982,3.7770987945205476
Residential,1982,12.664593260273973
Commercial,1982,10.016997260273973
Other,1982,1.4386480547945206
Imports,1982,5.3970890410958905
Exports,1982,-12.890839232876713
Total Consumption,1982,57.21777917808219
Production,1982,106.1535821369863
Industry,1983,29.582956219178083
Transport,1983,3.854816876712329
Residential,1983,12.95819490410959
Commercial,1983,10.548934356164384
Other,1983,1.4714623561643838
Imports,1983,7.59219309589041
Exports,1983,-13.631751616438358
Total Consumption,1983,58.416364712328765
Production,1983,106.70833260273972
Industry,1984-1987,29.107580616438362
Transport,1984-1987,4.7075569452054795
Residential,1984-1987,15.383430835616439
Commercial,1984-1987,13.653771739726025
Other,1984-1987,1.6355338630136986
Imports,1984-1987,9.244565876712327
Exports,1984-1987,-13.612322095890413
Total Consumption,1984-1987,64.487874
Production,1984-1987,116.29205155479451
Industry,1984,29.184003397260277
Transport,1984,4.05861095890411
Residential,1984,13.53676284931507
Commercial,1984,13.277702575342465
Other,1984,1.5370909589041097
Imports,1984,9.32789693150685
Exports,1984,-11.614535616438356
Total Consumption,1984,61.594170739726025
Production,1984,110.00950353424659
Industry,1985,29.816110465753425
Transport,1985,4.220955397260274
Residential,1985,14.372664
Commercial,1985,14.063518739726026
Other,1985,1.6320797260273971
Imports,1985,10.450491452054793
Exports,1985,-13.419322191780822
Total Consumption,1985,64.10532832876713
Production,1985,115.55124460273971
Industry,1986,30.042356438356165
Transport,1986,4.281402794520548
Residential,1986,14.564368602739728
Commercial,1986,14.440019671232877
Other,1986,1.6545316164383561
Imports,1986,10.296782356164384
Exports,1986,-12.825210630136985
Total Consumption,1986,64.98267912328767
Production,1986,115.17765558904111
Industry,1987,27.38785216438356
Transport,1987,6.269258630136986
Residential,1987,19.059927890410957
Commercial,1987,12.833845972602742
Other,1987,1.7184331506849313
Imports,1987,6.9030927671232885
Exports,1987,-16.59021994520548
Total Consumption,1987,67.26931780821917
Production,1987,124.4298024931507
Industry,1988,28.677972328767122
Transport,1988,6.27789397260274
Residential,1988,19.543507068493152
Commercial,1988,13.81482087671233
Other,1988,1.7443391780821917
Imports,1988,9.623225643835616
Exports,1988,-14.305308328767124
Total Consumption,1988,70.05853342465754
