product,flow,value
"Crude, NGL and feedstocks",Production,0.8501956164383561
Gas,Production,0.31689534246575346
Combustible renewables and waste,Production,0.6697802739726026
"Crude, NGL and feedstocks",Exports,0.833836712328767
"Crude, NGL and feedstocks",Total Consumption,0.016358904109589067
Gas,Total Consumption,0.18275232876712327
Oil Products,Imports,8.51
Oil Products,Total Consumption,3.71
Electricity,Total Consumption,1.8
Electricity,Production,4.818865753424657
Gas,Electricity,-0.03318520547945206
Oil Products,Electricity,-4.785680547945205
All products,Heat and Waste,-3.2180301369863002
All products,Industry,1.1638191780821916
All products,Transport,2.748295890410959
All products,Residential,0.8670219178082192
All products,Other,1.277396712328767
All products,Total Consumption,6.057736438356165
All primary,Production,1.836871232876712
All primary,Total Consumption,0.19911123287671234
All primary,Electricity,-4.818865753424657
All products,Hydrocarbon Heat and Waste,0.0
All products,Electricity Heat and Waste,-3.2180301369863002
