product,flow,value
Coal and coal products,Industry,19.502022280821915
Coal and coal products,Residential,2.620103479452055
Coal and coal products,Other,0.2355590890410959
Gas,Industry,91.21444971232877
Combustible renewables and waste,Industry,11.666347671232876
Combustible renewables and waste,Transport,0.9600994657534246
Gas,Residential,69.0673366849315
Solar/Wind/Other,Residential,0.07265234931506849
Combustible renewables and waste,Residential,4.142996328767123
Gas,Commercial,32.73440939041095
Solar/Wind/Other,Commercial,0.009945705479452055
Combustible renewables and waste,Commercial,0.12844067808219176
Gas,Other,20.29365726027397
Combustible renewables and waste,Other,0.19986299315068493
Oil Products,Industry,18.999681315068493
Oil Products,Transport,170.52936236301372
Oil Products,Residential,64.0213195
Oil Products,Commercial,22.345896602739728
Oil Products,Other,145.25763601369863
Electricity,Industry,68.55900620547946
Electricity,Transport,2.8932714931506855
Electricity,Residential,39.10385305479452
Electricity,Commercial,29.71766756164384
Electricity,Other,1.5150708356164386
Heat,Industry,7.399173109589042
Heat,Residential,0.28294302054794523
Heat,Commercial,0.9172792123287672
Heat,Other,0.360636
Coal and coal products,Electricity output in GWh,8817.75
Gas,Electricity output in GWh,23975.75
Nuclear,Electricity output in GWh,47008.75
Hydro,Electricity output in GWh,361.5
Solar/Wind/Other,Electricity output in GWh,443.5
Combustible renewables and waste,Electricity output in GWh,3347.25
Oil Products,Electricity output in GWh,1084.0
Coal and coal products,Production,0.36351277397260273
"Crude, NGL and feedstocks",Production,2.5553484520547944
Nuclear,Production,246.02221219178082
Hydro,Production,0.6243352602739726
Geothermal,Production,0.06618086301369862
Solar/Wind/Other,Production,0.8476944178082191
Combustible renewables and waste,Production,32.32274454109589
Coal and coal products,Imports,109.08823800684934
"Crude, NGL and feedstocks",Imports,738.3097616301369
Gas,Imports,302.34423524657535
Combustible renewables and waste,Imports,8.601027020547944
Coal and coal products,Exports,-16.79227691780822
"Crude, NGL and feedstocks",Exports,-68.08479034931506
Gas,Exports,-2.974247910958904
Combustible renewables and waste,Exports,-1.0859796643835617
Coal and coal products,Total Consumption,22.357669787671234
Gas,Total Consumption,213.3098430068493
Solar/Wind/Other,Total Consumption,0.08260307534246575
Combustible renewables and waste,Total Consumption,17.097747136986303
Oil Products,Imports,431.85281399999997
Electricity,Imports,28.56355404109589
Oil Products,Exports,-430.0127831780822
Electricity,Exports,-13.95384989041096
Oil Products,Total Consumption,421.1539008150685
Electricity,Total Consumption,141.78886915068492
Electricity,Production,401.28383722602746
Coal and coal products,Electricity,-43.03555460273973
Gas,Electricity,-83.37677190410957
Nuclear,Electricity,-246.02221219178082
Hydro,Electricity,-0.6243352602739726
Solar/Wind/Other,Electricity,-0.7650913424657534
Combustible renewables and waste,Electricity,-22.492943431506845
Oil Products,Electricity,-4.966928493150684
"Crude, NGL and feedstocks",Oil Products,-781.4101013835617
All products,Heat and Waste,292.71576313013713
All products,Industry,217.34068029452055
All products,Transport,174.3827333219178
All products,Residential,179.3111943767123
All products,Commercial,85.85364417123289
All products,Other,167.86242219178084
All products,Total Consumption,815.7906329726027
All primary,Production,282.8020285
All primary,Imports,1158.3432619041096
All primary,Exports,-88.93729484246575
All primary,Total Consumption,252.84786300684928
All primary,Oil Products,-781.4101013835617
All primary,Electricity,-401.28383722602746
Oil Products,Production,750.3045334657535
All products,Hydrocarbon Heat and Waste,31.10556791780823
All products,Electricity Heat and Waste,261.6101952123289
