flow,period,value
Electricity output in GWh,1971-1974,56.0
Production,1971-1974,0.126246698630137
Electricity,1971-1974,-0.12624167808219178
Electricity output in GWh,1973,116.0
Production,1973,0.17312857534246578
Electricity,1973,-0.17312857534246578
Electricity output in GWh,1974,108.0
Production,1974,0.33185821917808217
Electricity,1974,-0.3318381369863014
Electricity output in GWh,1975,83.0
Production,1975,0.38365019178082194
Electricity,1975,-0.3836501917808219
Electricity output in GWh,1976,57.0
Production,1976,0.36159994520547944
Electricity,1976,-0.3615798630136986
Electricity output in GWh,1977,247.0
Production,1977,0.8656027123287672
Electricity,1977,-0.8656027123287671
Electricity output in GWh,1978,260.0
Production,1978,1.3456474246575343
Electricity,1978,-1.3456474246575343
Electricity output in GWh,1979,315.0
Production,1979,1.4573847397260273
Electricity,1979,-1.4573847397260273
Electricity output in GWh,1980,300.0
Production,1980,1.152396493150685
Electricity,1980,-1.152396493150685
Electricity output in GWh,1981,291.0
Production,1981,1.1245826575342466
Electricity,1981,-1.1245625753424657
Electricity output in GWh,1982,262.0
Production,1982,1.1605498630136988
Electricity,1982,-0.9294038356164384
Electricity output in GWh,1983,219.0
Production,1983,2.29183997260274
Electricity,1983,-2.098568958904109
Electricity output in GWh,1984-1987,388.25
Production,1984-1987,3.393749835616438
Electricity,1984-1987,-3.3224078493150686
Electricity output in GWh,1984,230.0
Production,1984,2.358010794520548
Electricity,1984,-2.177210821917808
Electricity output in GWh,1985,314.0
Production,1985,3.170395698630137
Electricity,1985,-3.1224193424657534
Electricity output in GWh,1986,477.0
Production,1986,4.0806009589041095
Electricity,1986,-4.0393521369863015
Electricity output in GWh,1987,532.0
Production,1987,3.965991890410959
Electricity,1987,-3.950649095890411
Electricity output in GWh,1988,594.0
Production,1988,4.3381349863013705
Electricity,1988,-4.305541589041097
Industry,1989,0.23642764383561643
Residential,1989,3.7214108767123286
Electricity output in GWh,1989,641.0
Production,1989,8.224500986301368
Total Consumption,1989,3.957838520547945
Electricity,1989,-4.056642904109589
Industry,1990,3.8384097260273973
Residential,1990,3.7214108767123286
Electricity output in GWh,1990,723.0
Production,1990,15.152254684931506
Total Consumption,1990,7.559820602739727
Electricity,1990,-7.391973643835616
Industry,1991,4.149181643835617
Residential,1991,3.7214108767123286
Electricity output in GWh,1991,807.0
Production,1991,15.785285534246574
Total Consumption,1991,7.8705925205479454
Electricity,1991,-7.676357561643836
Industry,1992,4.476240219178082
Residential,1992,3.559789397260274
Electricity output in GWh,1992,869.0
Production,1992,16.415906520547946
Total Consumption,1992,8.036029616438356
Electricity,1992,-8.206286438356162
Industry,1993,2.9282044657534247
Residential,1993,3.6087096164383565
Other,1993,0.035485232876712326
Electricity output in GWh,1993,874.0
Production,1993,13.74666191780822
Imports,1993,1.3749071780821918
Total Consumption,1993,6.572399315068493
Electricity,1993,-8.397629561643836
Industry,1994,3.3233617534246576
Residential,1994,3.541092876712329
Other,1994,0.14198109589041097
Electricity output in GWh,1994,883.0
Production,1994,13.700653616438357
Imports,1994,1.6041453972602742
Total Consumption,1994,7.006435726027397
Electricity,1994,-8.18566202739726
Industry,1995,5.298666219178082
Residential,1995,3.4053774246575346
Electricity output in GWh,1995,1042.0
Production,1995,16.428397643835616
Imports,1995,1.7144367945205479
Total Consumption,1995,8.704043643835616
Electricity,1995,-9.338540493150685
Industry,1996,4.545784849315069
Residential,1996,4.214870493150685
Electricity output in GWh,1996,1049.0
Production,1996,15.803520164383562
Imports,1996,2.095697205479452
Total Consumption,1996,8.760655342465753
Electricity,1996,-8.94527093150685
Industry,1997,5.173514000000001
Residential,1997,3.3602929041095893
Electricity output in GWh,1997,899.0
Production,1997,16.008298273972603
Imports,1997,1.7988422465753424
Total Consumption,1997,8.53380690410959
Electricity,1997,-9.087754082191779
Industry,1998,6.135049342465754
Residential,1998,3.370374164383562
Electricity output in GWh,1998,1004.0
Production,1998,17.14579378082192
Imports,1998,1.575849589041096
Total Consumption,1998,9.505403424657533
Electricity,1998,-9.03543997260274
Industry,1999-2002,8.20579944520548
Residential,1999-2002,3.1566042534246583
Commercial,1999-2002,0.04639990410958905
Electricity output in GWh,1999-2002,1445.5
Production,1999-2002,19.80929487671233
Imports,1999-2002,2.2587395
Total Consumption,1999-2002,11.408798582191784
Electricity,1999-2002,-10.360593520547944
Industry,1999,7.521463616438357
Residential,1999,3.17903104109589
Commercial,1999,0.028295808219178084
Electricity output in GWh,1999,1201.0
Production,1999,18.181191424657538
Imports,1999,2.1820104657534247
Total Consumption,1999,10.728770383561645
Electricity,1999,-9.455057369863013
Industry,2000,7.624083616438356
Residential,2000,3.0500230410958906
Commercial,2000,0.013916958904109588
Electricity output in GWh,2000,1336.0
Production,2000,18.70005501369863
Imports,2000,2.0971230410958905
Total Consumption,2000,10.688023616438358
Electricity,2000,-9.873228849315069
Industry,2001,8.671450246575343
Residential,2001,3.4202382465753427
Commercial,2001,0.07864186301369863
Electricity output in GWh,2001,1583.0
Production,2001,21.797090465753428
Imports,2001,2.0299882739726027
Total Consumption,2001,12.170330356164383
Electricity,2001,-11.254381589041097
Industry,2002,9.006200301369862
Residential,2002,2.9771246849315074
Commercial,2002,0.06474498630136986
Electricity output in GWh,2002,1662.0
Production,2002,20.558842602739727
Imports,2002,2.7258362191780825
Total Consumption,2002,12.04806997260274
Electricity,2002,-10.859706273972602
Industry,2003,10.092867780821917
Residential,2003,3.812041808219178
Commercial,2003,0.058037534246575345
Electricity output in GWh,2003,1623.0
Production,2003,25.062414684931504
Imports,2003,3.199635369863014
Total Consumption,2003,13.962947123287671
Electricity,2003,-13.610946465753424
Industry,2004,10.23147506849315
Residential,2004,3.7760746027397265
Commercial,2004,0.09591254794520548
Other,2004,0.023496164383561644
Electricity output in GWh,2004,1947.0
Production,2004,25.671949369863015
Imports,2004,4.133838849315069
Total Consumption,2004,14.126978465753425
Electricity,2004,-14.934543643835616
Industry,2005-2008,11.666347671232876
Transport,2005-2008,0.9600994657534246
Residential,2005-2008,4.142996328767123
Commercial,2005-2008,0.12844067808219176
Other,2005-2008,0.19986299315068493
Electricity output in GWh,2005-2008,3347.25
Production,2005-2008,32.32274454109589
Imports,2005-2008,8.601027020547944
Exports,2005-2008,-1.0859796643835617
Total Consumption,2005-2008,17.097747136986303
Electricity,2005-2008,-22.492943431506845
Industry,2005,11.346458438356166
Residential,2005,3.8571263287671234
Commercial,2005,0.11844476712328768
Other,2005,0.030203616438356163
Electricity output in GWh,2005,2250.0
Production,2005,26.64410819178082
Imports,2005,5.647333232876713
Total Consumption,2005,15.352253232876713
Electricity,2005,-16.49127498630137
Industry,2006,12.225074410958904
Residential,2006,4.20912698630137
Commercial,2006,0.12085463013698629
Other,2006,0.0714725205479452
Electricity output in GWh,2006,3105.0
Production,2006,29.395388547945206
Imports,2006,8.683559808219178
Total Consumption,2006,16.62646830136986
Electricity,2006,-20.925904904109586
Industry,2007,10.56813293150685
Transport,2007,1.8069353698630137
Residential,2007,4.010574356164383
Commercial,2007,0.15872964383561644
Other,2007,0.30980797260273973
Electricity output in GWh,2007,3641.0
Production,2007,33.205361890410956
Imports,2007,9.068615753424657
Exports,2007,-0.839576191780822
Total Consumption,2007,16.854220438356162
Electricity,2007,-24.548029424657535
Industry,2008,12.52572490410959
Transport,2008,2.0334624931506853
Residential,2008,4.495157643835617
Commercial,2008,0.11573367123287671
Other,2008,0.3879678630136986
Electricity output in GWh,2008,4393.0
Production,2008,40.04611953424658
Imports,2008,11.004599287671233
Exports,2008,-3.5043424657534246
Total Consumption,2008,19.558046575342466
Electricity,2008,-28.006564410958905
Industry,2009,13.122808630136987
Transport,2009,5.735353479452055
Residential,2009,4.535924493150684
Commercial,2009,0.13300435616438358
Other,2009,0.7025754794520548
Electricity output in GWh,2009,5262.0
Production,2009,44.7544697260274
Imports,2009,10.936982547945206
Exports,2009,-0.10414624657534247
Total Consumption,2009,24.229626273972602
Electricity,2009,-31.342577945205473
Industry,2010,14.899078493150684
Transport,2010,7.274954712328768
Residential,2010,5.123388849315068
Commercial,2010,0.14354750684931505
Other,2010,0.6474297808219177
Electricity output in GWh,2010,5627.0
Production,2010,51.10480016438357
Imports,2010,12.327593999999998
Exports,2010,-0.8578309041095892
Total Consumption,2010,28.088399342465753
Electricity,2010,-34.588161369863016
Industry,2011,53.861623205479454
Transport,2011,6.989385945205479
Residential,2011,4.8975244383561645
Commercial,2011,0.23417843835616436
Other,2011,0.6522294246575343
Electricity output in GWh,2011,5860.0
Production,2011,97.81386961643835
Imports,2011,10.311261616438356
Exports,2011,-2.3931144657534245
Total Consumption,2011,66.63488120547946
Electricity,2011,-39.14685906849315
Industry,2012,49.13487772602739
Transport,2012,7.153638191780822
Residential,2012,11.379292821917806
Commercial,2012,0.8437131232876712
Other,2012,0.7363336438356164
Electricity output in GWh,2012,6661.0
Production,2012,96.44970641095891
Imports,2012,13.549876520547945
Exports,2012,-3.099565808219178
Total Consumption,2012,69.24783542465754
Electricity,2012,-37.612639863013705
Industry,2013,16.63106712328767
Transport,2013,6.806858904109588
Residential,2013,12.267427753424657
Commercial,2013,0.728602
Other,2013,0.9735846575342465
Electricity output in GWh,2013,6268.0
Production,2013,61.02500126027398
Imports,2013,13.414020493150685
Exports,2013,-2.241734904109589
Total Consumption,2013,37.40752035616438
Electricity,2013,-34.099380904109594
Industry,2014,16.832491506849312
Transport,2014,7.980341698630137
Residential,2014,9.15026994520548
Commercial,2014,0.8758245479452056
Other,2014,0.9414129863013699
Electricity output in GWh,2014,5671.0
Production,2014,56.81135578082192
