flow,period,value
Imports,1971-1974,693.4003226506849
Exports,1971-1974,-3.0091457397260277
Oil Products,1971-1974,-688.6687323424658
Imports,1971,632.9354789863014
Exports,1971,-1.4763824931506848
Oil Products,1971,-620.1401908219178
Imports,1972,741.7158118082191
Exports,1972,-1.701925589041096
Oil Products,1972,-748.4620425753425
Imports,1973,772.0225703835616
Exports,1973,-6.7667346849315075
Oil Products,1973,-763.7794532054794
Imports,1974,626.9274294246576
Exports,1974,-2.091540191780822
Oil Products,1974,-622.2932427671233
Imports,1975,604.1461107397259
Exports,1975,-1.2098114794520547
Oil Products,1975,-600.1065778630137
Imports,1976,599.2863609041096
Oil Products,1976,-600.1270817808219
Imports,1977,749.8153814794521
Oil Products,1977,-747.7443452054794
Imports,1978,692.5556104383562
Exports,1978,-4.136670438356164
Oil Products,1978,-694.6121473698631
Imports,1979,701.9225672328766
Oil Products,1979,-697.1424432876712
Imports,1980,686.215903479452
Exports,1980,-0.7790886301369863
Oil Products,1980,-689.41051830137
Imports,1981,592.7951940547945
Exports,1981,-1.753135178082192
Oil Products,1981,-601.0919106027397
Imports,1982,518.9179113698631
Exports,1982,-9.927169616438356
Oil Products,1982,-511.81014090410963
Imports,1983,471.88690430136984
Exports,1983,-2.6799484109589042
Oil Products,1983,-474.19547273972603
Imports,1984-1987,503.88347890410955
Exports,1984-1987,-10.455070191780822
Oil Products,1984-1987,-513.6573460890412
Imports,1984,479.5553896438356
Exports,1984,-9.28468005479452
Oil Products,1984,-484.948863890411
Imports,1985,419.1846862739726
Exports,1985,-3.3635863835616444
Oil Products,1985,-419.6258518630136
Imports,1986,547.3428480821917
Exports,1986,-11.029059397260275
Oil Products,1986,-566.6226960547946
Imports,1987,569.4509916164384
Exports,1987,-18.14295493150685
Oil Products,1987,-583.4319725479452
Imports,1988,581.5279799452055
Exports,1988,-54.85836263013699
Oil Products,1988,-604.8395689041096
Imports,1989,607.8268551780822
Exports,1989,-59.362095369863006
Oil Products,1989,-619.0938283013699
Imports,1990,594.1834358082192
Exports,1990,-46.72318723287671
Oil Products,1990,-606.2490375342466
Imports,1991,665.2638515616438
Exports,1991,-46.23394487671233
Oil Products,1991,-671.1375914246576
Imports,1992,667.9833819726027
Exports,1992,-57.588576767123286
Oil Products,1992,-668.5344975616439
Imports,1993,633.9044849041096
Exports,1993,-53.368806219178076
Oil Products,1993,-648.505905150685
Imports,1994,647.4564298904111
Exports,1994,-59.40286221917809
Oil Products,1994,-657.6285821643836
Imports,1995,593.2905614794521
Exports,1995,-51.7379715890411
Oil Products,1995,-601.003287890411
Imports,1996,708.7741893424658
Exports,1996,-55.733504383561645
Oil Products,1996,-728.7365908493151
Imports,1997,736.0301015068493
Exports,1997,-58.05743569863014
Oil Products,1997,-757.8554676986302
Imports,1998,761.0841620000001
Exports,1998,-52.00297619178083
Oil Products,1998,-783.5277986301371
Imports,1999-2002,742.1158089041096
Exports,1999-2002,-58.73523979452056
Oil Products,1999-2002,-825.1146992260273
Imports,1999,722.9656115616439
Exports,1999,-62.66451139726028
Oil Products,1999,-740.1528549863012
Imports,2000,767.3245826027397
Exports,2000,-70.43131915068493
Oil Products,2000,-785.7252322191781
Imports,2001,727.4075915616438
Exports,2001,-46.091240821917815
Oil Products,2001,-824.4350626301369
Imports,2002,750.765449890411
Exports,2002,-55.753887808219176
Oil Products,2002,-950.1456470684932
Imports,2003,804.6133167945205
Exports,2003,-61.339468301369855
Oil Products,2003,-940.4399639452055
Imports,2004,782.5194516986301
Exports,2004,-62.21603589041096
Oil Products,2004,-892.4365771506849
Production,2005-2008,2.5553484520547944
Imports,2005-2008,738.3097616301369
Exports,2005-2008,-68.08479034931506
Oil Products,2005-2008,-781.4101013835617
Imports,2005,728.7558898356165
Exports,2005,-65.88539372602739
Oil Products,2005,-767.9898654520548
Imports,2006,720.6337678630136
Exports,2006,-56.42660106849315
Oil Products,2006,-766.8548802191781
Imports,2007,750.2001763561644
Exports,2007,-70.85941123287671
Oil Products,2007,-806.8087019999999
Production,2008,10.221393808219178
Imports,2008,753.6492124657534
Exports,2008,-79.16775536986302
Oil Products,2008,-783.9869578630137
Production,2009,12.412561753424658
Imports,2009,686.3206120273973
Exports,2009,-88.64958230136986
Oil Products,2009,-718.1602041369863
Production,2010,14.724102356164385
Imports,2010,720.3159069315069
Exports,2010,-97.06167104109589
Oil Products,2010,-727.2550070684931
Production,2011,7.331947972602739
Imports,2011,658.9099866575342
Exports,2011,-77.00030449315068
Oil Products,2011,-683.3449533424657
Imports,2012,684.2820486575342
Exports,2012,-65.14480265753424
Oil Products,2012,-720.4432079452055
Imports,2013,629.1592638082192
Exports,2013,-55.24426202739726
Oil Products,2013,-663.4347454520548
Imports,2014,725.4806450136987
Exports,2014,-68.29941375342466
Oil Products,2014,-721.7637927945206
