flow,period,value
Electricity output in GWh,1971-1974,181.25
Production,1971-1974,0.3130311643835616
Electricity,1971-1974,-0.3130311643835616
Electricity output in GWh,1971,134.0
Production,1971,0.23142717808219176
Electricity,1971,-0.23142717808219176
Electricity output in GWh,1972,180.0
Production,1972,0.3108723287671233
Electricity,1972,-0.3108723287671233
Electricity output in GWh,1973,171.0
Production,1973,0.2953287123287671
Electricity,1973,-0.2953287123287671
Electricity output in GWh,1974,240.0
Production,1974,0.4144964383561644
Electricity,1974,-0.4144964383561644
Electricity output in GWh,1975,183.0
Production,1975,0.31605353424657534
Electricity,1975,-0.31605353424657534
Electricity output in GWh,1976,109.0
Production,1976,0.18825046575342466
Electricity,1976,-0.18825046575342466
Electricity output in GWh,1977,224.0
Production,1977,0.38686334246575343
Electricity,1977,-0.38686334246575343
Electricity output in GWh,1978,223.0
Production,1978,0.3851362739726028
Electricity,1978,-0.3851362739726028
Electricity output in GWh,1979,234.0
Production,1979,0.40413402739726023
Electricity,1979,-0.40413402739726023
Electricity output in GWh,1980,278.0
Production,1980,0.48012504109589044
Electricity,1980,-0.48012504109589044
Electricity output in GWh,1981,381.0
Production,1981,0.6580130958904109
Electricity,1981,-0.6580130958904109
Electricity output in GWh,1982,333.0
Production,1982,0.5751138082191781
Electricity,1982,-0.5751138082191781
Electricity output in GWh,1983,336.0
Production,1983,0.5802950136986301
Electricity,1983,-0.5802950136986301
Electricity output in GWh,1984-1987,352.5
Production,1984-1987,0.6087916438356165
Electricity,1984-1987,-0.6087916438356165
Electricity output in GWh,1984,351.0
Production,1984,0.6062010410958905
Electricity,1984,-0.6062010410958905
Electricity output in GWh,1985,287.0
Production,1985,0.4956686575342466
Electricity,1985,-0.4956686575342466
Electricity output in GWh,1986,343.0
Production,1986,0.592384493150685
Electricity,1986,-0.592384493150685
Electricity output in GWh,1987,429.0
Production,1987,0.7409123835616438
Electricity,1987,-0.7409123835616438
Electricity output in GWh,1988,359.0
Production,1988,0.6200175890410959
Electricity,1988,-0.6200175890410959
Electricity output in GWh,1989,305.0
Production,1989,0.5267558904109589
Electricity,1989,-0.5267558904109589
Electricity output in GWh,1990,266.0
Production,1990,0.4594002191780822
Electricity,1990,-0.4594002191780822
Electricity output in GWh,1991,229.0
Production,1991,0.39549868493150686
Electricity,1991,-0.39549868493150686
Electricity output in GWh,1992,341.0
Production,1992,0.5889303561643836
Electricity,1992,-0.5889303561643836
Electricity output in GWh,1993,254.0
Production,1993,0.438675397260274
Electricity,1993,-0.438675397260274
Electricity output in GWh,1994,346.0
Production,1994,0.597565698630137
Electricity,1994,-0.597565698630137
Electricity output in GWh,1995,338.0
Production,1995,0.5837491506849315
Electricity,1995,-0.5837491506849315
Electricity output in GWh,1996,239.0
Production,1996,0.4127693698630137
Electricity,1996,-0.4127693698630137
Electricity output in GWh,1997,305.0
Production,1997,0.5267558904109589
Electricity,1997,-0.5267558904109589
Electricity output in GWh,1998,389.0
Production,1998,0.6718296438356165
Electricity,1998,-0.6718296438356165
Electricity output in GWh,1999-2002,400.5
Production,1999-2002,0.6916909315068492
Electricity,1999-2002,-0.6916909315068492
Electricity output in GWh,1999,341.0
Production,1999,0.5889303561643836
Electricity,1999,-0.5889303561643836
Electricity output in GWh,2000,460.0
Production,2000,0.7944515068493151
Electricity,2000,-0.7944515068493151
Electricity output in GWh,2001,441.0
Production,2001,0.7616372054794521
Electricity,2001,-0.7616372054794521
Electricity output in GWh,2002,360.0
Production,2002,0.6217446575342466
Electricity,2002,-0.6217446575342466
Electricity output in GWh,2003,247.0
Production,2003,0.42658591780821925
Electricity,2003,-0.42658591780821925
Electricity output in GWh,2004,317.0
Production,2004,0.5474807123287672
Electricity,2004,-0.5474807123287672
Electricity output in GWh,2005-2008,361.5
Production,2005-2008,0.6243352602739726
Electricity,2005-2008,-0.6243352602739726
Electricity output in GWh,2005,288.0
Production,2005,0.4973957260273973
Electricity,2005,-0.4973957260273973
Electricity output in GWh,2006,359.0
Production,2006,0.6200175890410959
Electricity,2006,-0.6200175890410959
Electricity output in GWh,2007,389.0
Production,2007,0.6718296438356165
Electricity,2007,-0.6718296438356165
Electricity output in GWh,2008,410.0
Production,2008,0.7080980821917808
Electricity,2008,-0.7080980821917808
Electricity output in GWh,2009,328.0
Production,2009,0.5664784657534246
Electricity,2009,-0.5664784657534246
Electricity output in GWh,2010,312.0
Production,2010,0.5388453698630137
Electricity,2010,-0.5388453698630137
Electricity output in GWh,2011,196.0
Production,2011,0.3385054246575343
Electricity,2011,-0.3385054246575343
Electricity output in GWh,2012,357.0
Production,2012,0.6165634520547946
Electricity,2012,-0.6165634520547946
Electricity output in GWh,2013,380.0
Production,2013,0.6562860273972603
Electricity,2013,-0.6562860273972603
Electricity output in GWh,2014,274.0
Production,2014,0.4732167671232877
Electricity,2014,-0.4732167671232877
