product,flow,value
Gas,Industry,0.07897321917808219
Combustible renewables and waste,Industry,0.8723151849315068
Combustible renewables and waste,Residential,3.2984347328767125
Oil Products,Industry,3.034921232876712
Oil Products,Transport,7.564238684931507
Oil Products,Residential,2.30296048630137
Oil Products,Other,0.8266884452054795
Electricity,Industry,0.9153463013698631
Electricity,Residential,0.3385054246575343
Electricity,Commercial,0.16148090410958904
Electricity,Other,0.007771808219178081
Gas,Electricity output in GWh,48.75
Hydro,Electricity output in GWh,963.25
Combustible renewables and waste,Electricity output in GWh,11.0
Oil Products,Electricity output in GWh,131.25
"Crude, NGL and feedstocks",Production,47.07257218493151
Gas,Production,22.73426610958904
Hydro,Production,1.663598726027397
Combustible renewables and waste,Production,4.371330849315069
"Crude, NGL and feedstocks",Exports,-31.31243457534247
Gas,Exports,-21.18149095890411
Gas,Total Consumption,0.07897321917808219
Combustible renewables and waste,Total Consumption,4.170744897260274
Oil Products,Imports,0.31157520547945206
Oil Products,Exports,-0.02173897260273973
Oil Products,Total Consumption,13.72881889041096
Electricity,Total Consumption,1.4231044383561644
Electricity,Production,3.3890003972602734
Gas,Electricity,-0.24340118493150686
Hydro,Electricity,-1.663598726027397
Combustible renewables and waste,Electricity,-0.11018094520547944
Oil Products,Electricity,-1.3718195410958904
"Crude, NGL and feedstocks",Oil Products,-16.14985764383562
All products,Heat and Waste,2.4670219520547985
All products,Industry,4.901555938356164
All products,Transport,7.564243705479453
All products,Residential,5.939900643835616
All products,Commercial,0.16148090410958904
All products,Other,0.8344602534246577
All products,Total Consumption,19.40164144520548
All primary,Production,75.84176786986302
All primary,Exports,-52.49392553424658
All primary,Total Consumption,4.249718116438356
All primary,Oil Products,-16.14985764383562
All primary,Electricity,-3.3890003972602734
Oil Products,Production,15.648731650684931
All products,Hydrocarbon Heat and Waste,0.5011259931506888
All products,Electricity Heat and Waste,1.9658959589041096
