product,flow,value
Gas,Industry,6.011282794520548
Combustible renewables and waste,Industry,5.015266328767123
Gas,Transport,0.05006490410958904
Gas,Residential,0.016828876712328765
Combustible renewables and waste,Residential,10.434084301369863
Gas,Commercial,0.016828876712328765
Oil Products,Industry,1.1652290136986303
Oil Products,Transport,20.84234290410959
Oil Products,Residential,5.512280493150684
Oil Products,Other,0.2628959726027397
Electricity,Industry,1.7823346849315067
Electricity,Residential,1.78924295890411
Electricity,Commercial,0.9360711232876714
Electricity,Other,0.058720328767123284
Gas,Electricity output in GWh,1644.0
Hydro,Electricity output in GWh,1263.0
Combustible renewables and waste,Electricity output in GWh,45.0
Oil Products,Electricity output in GWh,67.0
"Crude, NGL and feedstocks",Production,36.04098745205479
Gas,Production,61.362683315068494
Hydro,Production,2.181287506849315
Combustible renewables and waste,Production,16.357407095890412
Gas,Exports,-39.865078575342466
Gas,Total Consumption,6.095005452054794
Combustible renewables and waste,Total Consumption,15.449350630136987
Oil Products,Imports,3.8630505753424655
Electricity,Imports,0.022451890410958908
Oil Products,Exports,-4.859087123287671
Electricity,Exports,-0.005181205479452055
Oil Products,Total Consumption,27.782768465753424
Electricity,Total Consumption,4.566369095890411
Electricity,Production,12.946105424657535
Gas,Electricity,-9.831518136986302
Hydro,Electricity,-2.181287506849315
Combustible renewables and waste,Electricity,-0.5179197260273972
Oil Products,Electricity,-0.41538005479452056
"Crude, NGL and feedstocks",Oil Products,-34.44055726027398
All products,Heat and Waste,15.33590632876713
All products,Industry,13.97411282191781
All products,Transport,20.89240780821918
All products,Residential,17.752436630136987
All products,Commercial,0.9529000000000001
All products,Other,0.32161630136986297
All products,Total Consumption,53.89349364383562
All primary,Production,115.94236536986301
All primary,Exports,-39.865078575342466
All primary,Total Consumption,21.544356082191783
All primary,Oil Products,-34.44055726027398
All primary,Electricity,-12.946105424657535
Oil Products,Production,27.43948347945205
All products,Hydrocarbon Heat and Waste,7.001073780821926
All products,Electricity Heat and Waste,8.334832547945204
