flow,period,value
Production,1971-1974,75.84176786986302
Exports,1971-1974,-52.49392553424658
Total Consumption,1971-1974,4.249718116438356
Oil Products,1971-1974,-16.14985764383562
Electricity,1971-1974,-3.3890003972602734
Production,1971,46.09108016438356
Exports,1971,-25.170497041095892
Total Consumption,1971,3.7417541369863017
Oil Products,1971,-14.653352794520547
Electricity,1971,-3.070828191780822
Production,1972,76.06280753424657
Exports,1972,-53.40997471232876
Total Consumption,1972,4.331588191780822
Oil Products,1972,-15.547090657534246
Electricity,1972,-3.3271974520547944
Production,1973,91.70739723287672
Exports,1973,-67.49795356164384
Total Consumption,1973,4.435513534246575
Oil Products,1973,-16.54477394520548
Electricity,1973,-3.4461844383561644
Production,1974,89.50578654794522
Exports,1974,-63.89727682191781
Total Consumption,1974,4.4900166027397255
Oil Products,1974,-17.85421317808219
Electricity,1974,-3.7117915068493152
Production,1975,85.64149087671233
Exports,1975,-56.63093736986301
Total Consumption,1975,5.4236176164383565
Oil Products,1975,-22.07354191780822
Electricity,1975,-3.976976849315069
Production,1976,87.73088227397261
Exports,1976,-56.26576279452055
Total Consumption,1976,6.214293671232877
Oil Products,1976,-23.653207123287668
Electricity,1976,-4.180027890410959
Production,1977,83.72199482191783
Exports,1977,-47.0394415890411
Total Consumption,1977,6.28594693150685
Oil Products,1977,-27.768610520547945
Electricity,1977,-4.66557512328767
Production,1978,81.04202632876714
Exports,1978,-41.05974808219178
Total Consumption,1978,6.321753479452053
Oil Products,1978,-29.244330301369864
Electricity,1978,-5.113207178082193
Production,1979,79.54455753424658
Exports,1979,-35.97588098630137
Total Consumption,1979,6.222507287671233
Oil Products,1979,-31.717733369863012
Electricity,1979,-5.415725315068493
Production,1980,87.66113682191782
Exports,1980,-38.06673838356164
Total Consumption,1980,14.651645808219177
Oil Products,1980,-26.854067506849315
Electricity,1980,-5.055571287671233
Production,1981,90.63384342465754
Imports,1981,0.6222065479452055
Exports,1981,-40.96427734246575
Total Consumption,1981,17.152099589041097
Oil Products,1981,-25.627768547945205
Electricity,1981,-5.715532356164384
Production,1982,94.76499126027399
Imports,1982,2.8405256164383563
Exports,1982,-42.31291701369863
Total Consumption,1982,19.16664465753425
Oil Products,1982,-24.48458978082192
Electricity,1982,-5.1485116712328765
Production,1983,96.57823243835617
Imports,1983,3.4897828767123293
Exports,1983,-46.13463843835617
Total Consumption,1983,20.31777597260274
Oil Products,1983,-24.775580739726028
Electricity,1983,-5.465227917808219
Production,1984-1987,93.1370685479452
Imports,1984-1987,0.9975627945205481
Exports,1984-1987,-42.97103052054795
Total Consumption,1984-1987,18.842056191780824
Oil Products,1984-1987,-23.310248472602737
Electricity,1984-1987,-5.8035023972602735
Production,1984,95.32215158904108
Imports,1984,2.028944
Exports,1984,-43.78138712328768
Total Consumption,1984,19.861990547945208
Oil Products,1984,-24.131243616438358
Electricity,1984,-5.653357890410959
Production,1985,94.88136756164383
Imports,1985,1.2173623835616438
Exports,1985,-43.028887315068495
Total Consumption,1985,20.249958410958904
Oil Products,1985,-23.507711643835616
Electricity,1985,-5.5161764383561644
Production,1986,93.44583224657534
Imports,1986,0.743944794520548
Exports,1986,-43.872580356164384
Total Consumption,1986,20.572016520547947
Oil Products,1986,-22.219037397260276
Electricity,1986,-5.936617205479452
Production,1987,88.89892279452054
Exports,1987,-41.201267287671236
Total Consumption,1987,14.684259287671235
Oil Products,1987,-23.383001232876712
Electricity,1987,-6.10785805479452
Production,1988,93.02308202739727
Exports,1988,-43.27877002739726
Total Consumption,1988,15.958875999999998
Oil Products,1988,-24.110458547945203
Electricity,1988,-6.29773517808219
Production,1989,95.4515009863014
Exports,1989,-42.91237043835616
Total Consumption,1989,16.487158136986302
Oil Products,1989,-25.690123753424658
Electricity,1989,-7.019790383561645
Production,1990,98.86880723287672
Exports,1990,-42.779004602739725
Total Consumption,1990,17.77527008219178
Oil Products,1990,-27.332124082191783
Electricity,1990,-8.126720794520548
Production,1991,101.44932871232878
Exports,1991,-43.31455649315068
Total Consumption,1991,18.816210410958906
Oil Products,1991,-29.535321260273975
Electricity,1991,-7.947145835616439
Production,1992,101.57247271232877
Exports,1992,-41.63395819178082
Total Consumption,1992,19.03376079452055
Oil Products,1992,-29.119619890410956
Electricity,1992,-9.555608904109588
Production,1993,103.38744095890411
Exports,1993,-41.92370405479452
Total Consumption,1993,19.759852520547945
Oil Products,1993,-29.82631221917808
Electricity,1993,-9.530887726027398
Production,1994,111.87724778082192
Exports,1994,-43.48884983561644
Total Consumption,1994,20.660458493150685
Oil Products,1994,-32.00872432876712
Electricity,1994,-11.477695561643836
Production,1995,115.94236536986301
Exports,1995,-39.865078575342466
Total Consumption,1995,21.544356082191783
Oil Products,1995,-34.44055726027398
Electricity,1995,-12.946105424657535
Production,1996,119.3591093150685
Exports,1996,-34.53566652054795
Total Consumption,1996,20.2782341369863
Oil Products,1996,-35.02253917808219
Electricity,1996,-12.960785506849316
Production,1997,116.39086095890411
Exports,1997,-26.922828931506853
Total Consumption,1997,20.869333369863014
Oil Products,1997,-32.75698679452055
Electricity,1997,-15.302790794520547
Production,1998,120.27066008219177
Exports,1998,-26.80458498630137
Total Consumption,1998,21.188178328767123
Oil Products,1998,-32.923267342465756
Electricity,1998,-17.13776090410959
Production,1999-2002,120.53745702054796
Exports,1999-2002,-45.79695638356164
Total Consumption,1999-2002,20.784335493150685
Oil Products,1999-2002,-32.30490653424657
Electricity,1999-2002,-13.577660232876712
Production,1999,104.22281997260274
Exports,1999,-17.51598890410959
Total Consumption,1999,21.160886630136986
Oil Products,1999,-31.759303506849314
Electricity,1999,-13.369036383561642
Production,2000,111.30892175342466
Exports,2000,-37.31578490410959
Total Consumption,2000,20.514621616438355
Oil Products,2000,-31.13575145205479
Electricity,2000,-14.381219013698631
Production,2001,125.01218605479451
Exports,2001,-63.069689698630135
Total Consumption,2001,20.3075541369863
Oil Products,2001,-31.343602136986306
Electricity,2001,-12.920641205479452
Production,2002,141.60590030136984
Exports,2002,-65.28636202739726
Total Consumption,2002,21.154279589041096
Oil Products,2002,-34.98096904109589
Electricity,2002,-13.639744328767126
Production,2003,161.62941191780823
Exports,2003,-87.34189021917808
Total Consumption,2003,21.76283024657534
Oil Products,2003,-35.81235169863014
Electricity,2003,-15.796551643835617
Production,2004,216.14328463013698
Exports,2004,-138.18447720547945
Total Consumption,2004,23.091709041095893
Oil Products,2004,-40.86308317808219
Electricity,2004,-15.708872794520548
Production,2005-2008,302.51416071232876
Exports,2005-2008,-184.48817255479452
Total Consumption,2005-2008,29.213222986301368
Oil Products,2005-2008,-45.399389232876715
Electricity,2005-2008,-20.274142390410958
Production,2005,279.63462002739726
Exports,2005,-170.918831369863
Total Consumption,2005,25.294022602739723
Oil Products,2005,-42.54665364383562
Electricity,2005,-17.77677624657534
Production,2006,294.2165003013699
Exports,2006,-160.86675052054795
Total Consumption,2006,27.062299753424657
Oil Products,2006,-44.14710391780822
Electricity,2006,-19.082821589041092
Production,2007,311.5219274246575
Exports,2007,-202.6986990410959
Total Consumption,2007,28.848188986301373
Oil Products,2007,-46.28794589041097
Electricity,2007,-20.99261794520548
Production,2008,337.44703290410956
Exports,2008,-232.43859758904108
Total Consumption,2008,30.177087863013696
Oil Products,2008,-40.842298109589045
Electricity,2008,-29.00844487671233
Production,2009,285.0627360547945
Exports,2009,-164.95154865753426
Total Consumption,2009,39.16637895890411
Oil Products,2009,-41.94390673972603
Electricity,2009,-25.178329095890412
Production,2010,336.22609589041093
Exports,2010,-195.45292375342464
Total Consumption,2010,52.8475126849315
Oil Products,2010,-43.398841452054796
Electricity,2010,-30.32688093150685
Production,2011,361.5326096164384
Exports,2011,-211.51755257534248
Total Consumption,2011,57.91625789041096
Oil Products,2011,-45.31104767123288
Electricity,2011,-33.522138383561646
Production,2012,403.33931482191787
Exports,2012,-245.4809569589041
Total Consumption,2012,56.69823279452055
Oil Products,2012,-46.89071287671233
Electricity,2012,-34.489919287671235
Production,2013,440.2784381369864
Exports,2013,-287.6454063287671
Total Consumption,2013,46.637436273972604
Oil Products,2013,-51.775143726027395
Electricity,2013,-31.879415095890412
Production,2014,465.11010843835606
Exports,2014,-310.0713907123288
Total Consumption,2014,47.639939287671226
Oil Products,2014,-56.493314109589036
Electricity,2014,-36.6772314520548
Production,2015,422.40984610958907
Exports,2015,-265.06434726027396
Total Consumption,2015,45.841759753424654
Oil Products,2015,-63.165260849315075
Electricity,2015,-34.9484961369863
Production,2016,439.403818520548
Exports,2016,-271.711372
Total Consumption,2016,49.14483849315069
Oil Products,2016,-61.169914356164384
Electricity,2016,-44.932679095890414
