flow,period,value
Heat and Waste,1971-1974,2.4670219520547985
Industry,1971-1974,4.901555938356164
Transport,1971-1974,7.564243705479453
Residential,1971-1974,5.939900643835616
Commercial,1971-1974,0.16148090410958904
Other,1971-1974,0.8344602534246577
Total Consumption,1971-1974,19.40164144520548
Hydrocarbon Heat and Waste,1971-1974,0.5011259931506888
Electricity Heat and Waste,1971-1974,1.9658959589041096
Heat and Waste,1971,2.130981616438355
Industry,1971,4.179204520547945
Transport,1971,6.715746000000001
Residential,1971,5.44400104109589
Commercial,1971,0.14334668493150685
Other,1971,0.6950245753424658
Total Consumption,1971,17.177322821917805
Hydrocarbon Heat and Waste,1971,0.37272547945205403
Electricity Heat and Waste,1971,1.7582561369863008
Heat and Waste,1972,2.428398876712329
Industry,1972,5.146443205479453
Transport,1972,7.2255123561643835
Residential,1972,5.708282684931506
Commercial,1972,0.15543616438356164
Other,1972,0.7974638356164384
Total Consumption,1972,19.033178410958904
Hydrocarbon Heat and Waste,1972,0.5087622465753423
Electricity Heat and Waste,1972,1.9196366301369867
Heat and Waste,1973,2.49820457534247
Industry,1973,5.015266328767123
Transport,1973,7.77467997260274
Residential,1973,6.070364602739727
Commercial,1973,0.16407150684931507
Other,1973,0.9226763013698629
Total Consumption,1973,19.947038630136987
Hydrocarbon Heat and Waste,1973,0.4889411232876739
Electricity Heat and Waste,1973,2.009263452054796
Heat and Waste,1974,2.8105027397260294
Industry,1974,5.265309698630136
Transport,1974,8.541036493150685
Residential,1974,6.536954246575342
Commercial,1974,0.1830692602739726
Other,1974,0.9226763013698629
Total Consumption,1974,21.449025917808218
Hydrocarbon Heat and Waste,1974,0.6340751232876727
Electricity Heat and Waste,1974,2.1764276164383567
Heat and Waste,1975,3.1181217534246635
Industry,1975,6.572680465753424
Transport,1975,10.257019616438356
Residential,1975,6.879596602739726
Commercial,1975,0.20206701369863012
Other,1975,1.0679910410958904
Total Consumption,1975,24.979394904109586
Hydrocarbon Heat and Waste,1975,0.7784058356164429
Electricity Heat and Waste,1975,2.3397159178082205
Heat and Waste,1976,3.1638288219178037
Industry,1976,7.639205506849316
Transport,1976,11.30900515068493
Residential,1976,7.305861205479452
Commercial,1976,0.22106476712328765
Other,1976,1.0268426301369864
Total Consumption,1976,27.50197926027397
Hydrocarbon Heat and Waste,1976,0.7471378630136947
Electricity Heat and Waste,1976,2.416690958904109
Heat and Waste,1977,3.662308986301369
Industry,1977,6.885962657534247
Transport,1977,12.975445506849313
Residential,1977,7.641193643835616
Commercial,1977,0.22624597260273974
Other,1977,1.1100029863013698
Total Consumption,1977,28.838850767123287
Hydrocarbon Heat and Waste,1977,0.9500483287671244
Electricity Heat and Waste,1977,2.7122606575342445
Heat and Waste,1978,4.664309945205485
Industry,1978,6.748379561643835
Transport,1978,14.561095205479452
Residential,1978,8.050026904109588
Commercial,1978,0.252152
Other,1978,1.0294332328767124
Total Consumption,1978,30.641066821917807
Hydrocarbon Heat and Waste,1978,1.6512180547945228
Electricity Heat and Waste,1978,3.013091890410962
Heat and Waste,1979,7.088812876712328
Industry,1979,6.09245501369863
Transport,1979,14.65124416438356
Residential,1979,8.298805095890412
Commercial,1979,0.2832392328767123
Other,1979,1.710460520547945
Total Consumption,1979,31.036224109589043
Hydrocarbon Heat and Waste,1979,3.9113683287671215
Electricity Heat and Waste,1979,3.177444547945207
Heat and Waste,1980,4.351931452054796
Industry,1980,5.806966575342466
Transport,1980,14.293259013698632
Residential,1980,17.29436183561644
Commercial,1980,0.30569112328767123
Other,1980,1.7515486849315072
Total Consumption,1980,39.45186739726028
Hydrocarbon Heat and Waste,1980,1.7384350136986306
Electricity Heat and Waste,1980,2.613496438356165
Heat and Waste,1981,4.797153643835614
Industry,1981,6.471867863013698
Transport,1981,13.676253753424659
Residential,1981,18.930719068493154
Commercial,1981,0.3315971506849315
Other,1981,2.748770082191781
Total Consumption,1981,42.15918783561644
Hydrocarbon Heat and Waste,1981,1.6998571232876678
Electricity Heat and Waste,1981,3.097296520547946
Heat and Waste,1982,4.204387589041101
Industry,1982,8.107180821917808
Transport,1982,11.229620246575342
Residential,1982,20.10251495890411
