flow,period,value
Industry,1971-1974,0.8723151849315068
Residential,1971-1974,3.2984347328767125
Electricity output in GWh,1971-1974,11.0
Production,1971-1974,4.371330849315069
Total Consumption,1971-1974,4.170744897260274
Electricity,1971-1974,-0.11018094520547944
Industry,1971,0.5704145753424658
Residential,1971,3.171339561643836
Electricity output in GWh,1971,8.0
Production,1971,3.907954356164384
Total Consumption,1971,3.7417541369863017
Electricity,1971,-0.08105172602739726
Industry,1972,0.8861267123287672
Residential,1972,3.262472547945205
Electricity output in GWh,1972,12.0
Production,1972,4.358739315068493
Total Consumption,1972,4.148599260273973
Electricity,1972,-0.11989068493150686
Industry,1973,1.0346746849315067
Residential,1973,3.3344069589041094
Electricity output in GWh,1973,12.0
Production,1973,4.582695917808219
Total Consumption,1973,4.369061561643836
Electricity,1973,-0.11989068493150686
Industry,1974,0.9980447671232877
Residential,1974,3.4255198630136987
Electricity output in GWh,1974,12.0
Production,1974,4.635933808219178
Total Consumption,1974,4.423564630136986
Electricity,1974,-0.11989068493150686
Industry,1975,1.2570046301369864
Residential,1975,3.5171147397260274
Electricity output in GWh,1975,15.0
Production,1975,5.024383643835616
Total Consumption,1975,4.774119369863014
Electricity,1975,-0.16160139726027395
Industry,1976,1.64021301369863
Residential,1976,3.6082276438356162
Electricity output in GWh,1976,19.0
Production,1976,5.563409753424658
Total Consumption,1976,5.248440657534247
Electricity,1976,-0.19805057534246573
Industry,1977,1.7035522465753423
Residential,1977,3.6998225205479454
Electricity output in GWh,1977,19.0
Production,1977,5.782566712328767
Total Consumption,1977,5.403394849315069
Electricity,1977,-0.19805057534246573
Industry,1978,1.568840904109589
Residential,1978,3.8038884383561644
Electricity output in GWh,1978,17.0
Production,1978,5.784494602739726
Total Consumption,1978,5.372729342465752
Electricity,1978,-0.18128194520547947
Industry,1979,1.7275705479452055
Residential,1979,3.895483315068493
Electricity output in GWh,1979,22.0
Production,1979,6.0396187671232875
Total Consumption,1979,5.623053863013698
Electricity,1979,-0.21100358904109584
Industry,1980,1.4851182465753425
Residential,1980,12.417321232876713
Electricity output in GWh,1980,32.0
