flow,period,value
Industry,1981,0.3150092602739726
Imports,1981,0.6222065479452055
Total Consumption,1981,0.3150092602739726
Industry,1982,1.44523501369863
Imports,1982,2.8405256164383563
Total Consumption,1982,1.44523501369863
Industry,1983,1.7790211232876714
Imports,1983,3.4897828767123293
Total Consumption,1983,1.7790211232876714
Industry,1984-1987,0.5076326232876712
Imports,1984-1987,0.9975627945205481
Total Consumption,1984-1987,0.5076326232876712
Industry,1984,1.0325660547945206
Imports,1984,2.028944
Total Consumption,1984,1.0325660547945206
Industry,1985,0.6194552876712329
Imports,1985,1.2173623835616438
Total Consumption,1985,0.6194552876712329
Industry,1986,0.37850915068493146
Imports,1986,0.743944794520548
Total Consumption,1986,0.37850915068493146
